1QU0000001	Walk to Dad.
1QU3000017	Enter the Enclave Mobile Platform.
1QU3000018	Destroy the Enclave Mobile Platform with an Orbital Strike.
1QU3000019	Escape from the Enclave Mobile Platform.
1QU3000020	Board the Captured Vertibird.
1QU3000021	(Optional) Clear the security breach in the Presidential Metro.
1QU3000022	Find the Access Terminal to lower the ramp on the Mobile Platform.
1QU3000023	[Move this into WQ03] Discover what's happened to Megaton's water shipment.
1QU3000024	Meet with Officers Davis and Lorin along the river north of Project Purity.
1QU3000025	Discover who is ordering the attacks on the caravans.
1QU3000026	Deal with Split Jack and his gang.
1QU3000027	Report to Officer Lepelletier that the job is done.
1QU3000028	Consult with Officer Lepelletier at Rivet City.
1QU3000029	Ask Bigsley for a reward for helping Officer Lepelletier at Rivet City.
1QU3000030	Report to Officer Lepelletier that the job is done, OR extort her for "Protection" money.
1QU3000031	Collect caps from gang at Wilhelm's Wharf once a week.
1QU3000032	Discover what Bigsley at Project Purity knows about Griffon's water supply.
1QU3000033	Discover what Griffon at Underworld is doing with Aqua Pura.
1QU3000034	Discover the location and proof of Griffon's bottling operation.
1QU3000035	Confront Griffon about the operation in the Museum Authority building.
1QU3000036	Discover who is supplying Griffon with Aqua Pura.
1QU3000037	Ask about holy water at the Monastery of Eternal Light.
1QU3000038	Investigate the area around Megaton to learn about the water situation.
1QU3000039	(Optional) Become irradiated to gain entrance to the Monastery.
1QU3000040	Stop the Apostles of Eternal Light.
1QU3000041	Report back to Bigsley.
1QU3000042	Drink the Holy Water.
1QU3000043	Speak with Brother Gerard.
1QU3000044	Gain entrance to the Monastery.
1QU3000052	Cycle the airlock.
1QU3000053	Tell your follower to start the purifer.
1QU4000001	Recover Soil Survey 01.
1QU4000002	Recover Soil Survey 03.
1QU4000003	Recover Soil Survey 02.
1QU4000004	Enter data aboard the survey vessel.
1QU4000005	Retrieve the Blackhall Family's Book from the ritual site.
1QU4000006	Return the Krivbeknih to Obadiah OR Marcella.
1QU4000007	Take the Krivbeknih to Obadiah OR Take it to the Dunwich Building in the Capital Wasteland.
1QU4000008	Retrieve the Krivbeknih from the ritual site.
1QU4000009	Investigate Marcella's Death Scene
1QU4000010	Return the Blackhall Family's Book to Obadiah.
1QU4000011	Return the Krivbeknih to Marcella
1QU4000012	Take the Krivbeknih to the Dunwich Building in the Capital Wasteland.
1QU4000013	Bring Marguerite ten Refined Punga Fruit, or twenty Wild Punga Fruit.
1QU4000014	Bring Marguerite three bags of Yeast.
1QU4000015	Bring Marguerite 24 bottles of Purified Water.
1QU4000016	Bring Marguerite six Fission Batteries.
1QU4000017	Collect Moonshine from Marguerite when the batch is done brewing.
1QU4000018	Recover the dead Chinese spy's mission debriefing from the locker in Point Lookout.
1QU4000019	Use the password holotape to access safety deposit box 1207 at the Point Lookout Bank.
1QU4000020	Search for clues about the fate of Agent Yang.
1QU4000021	Investigate Agent Yang's fate at the Turtledove Detention Camp.
1QU4000022	Activate the Chinese submarine self-destruct protocol.
1QU4000023	Return to the Motel Safehouse Terminal for further instruction.
1QU4000024	Use the Cryptochromatic Spectacles and Sequence Note to access the Spy Bunker.
1QU4000025	Escape the double-cross!
1QU4000026	Investigate the spy at Motel Room 1D.
1QU4000027	Recover the dead Chinese spy's locker key from motel room 1D.
1QU4000028	Listen to the Espionage Debriefing Holotape.
1QU4000029	Recover the Cryptochromatic Spectacles from the Toilet Tank in Motel room 1D.
1QU4000030	Seek the Spy's extraction details and payment in the spy bunker.
1QU4000031	Confirm Submarine Self-Destruct by activating the Failsafe Lever.
1QU4000032	Get clear of the Submarine before it self-destructs!
1QU4000033	Investigate the riverboat.
1QU4000034	Secure passage to Point Lookout.
1QU4000035	Rest during the trip to Point Lookout.
1QU4000036	Investigate the mansion.
1QU4000037	Help the mansion's owner repel the invaders.
1QU4000038	Talk to the mansion's owner.
1QU4000039	Leave the Duchess Gambit.
1QU4000040	Block off the breach upstairs in the West wing.
1QU4000041	Block off the breach in the East wing.
1QU4000042	Fend off the last of the invaders.
1QU4000043	Investigate the Tribals at the Cathedral.
1QU4000044	Collect seeds from the giant Punga plant.
1QU4000045	Return to the Cathedral.
1QU4000046	Talk with Desmond about his offer.
1QU4000047	Find the location of the Tribal leader.
1QU4000048	Find more information from the tribe's leader.
1QU4000049	Learn more about the Brain.
1QU4000050	Return to Desmond with the information.
1QU4000051	Speak with Desmond.
1QU4000052	Install the Cogwave Jammer on the Ferris Wheel.
1QU4000053	Return to the Mansion.
1QU4000054	Install the Cogwave Jammer on the Ferris Wheel OR use the Trash Compactor to destroy it.
1QU4000055	Use the Trash Compactor to destroy the Cogwave Jammer.
1QU4000056	Start the Ferris wheel.
1QU4000057	Find Desmond.
1QU4000058	Return to Desmond when you're ready.
1QU4000059	Travel with Desmond to the Professor.
1QU4000060	Kill Desmond OR kill the Professor.
1QU4000061	Kill Desmond.
1QU4000062	Kill the Professor.
1QU4000063	Talk to the Professor OR kill the Professor.
1QU4000064	Talk to the Professor.
1QU4000067	Travel to the Lighthouse.
1QU4000068	Find Desmond and stop him.
1QU4000073	Talk to Desmond.
1QU4000075	Enter the arena and signal Plik to begin the Safari.
1QU4000076	Survive Plik's Safari.
1QU4000077	Pay Plik 1,000 caps to participate in his Safari.
1QU4000078	Let Plik know you survived the Safari.
1QU5000001	Investigate the strange radio signal coming from the Wasteland.
1QU5000002	Find a way out of the holding cell.
1QU5000003	Retrieve your equipment.
1QU5000004	Release Sally from her holding cell.
1QU5000005	Reach the engineering core of the ship.
1QU5000006	(Optional) Free additional prisoners from their holding cells.
1QU5000007	Stage a fight with Somah to draw the guards' attention.
1QU5000008	Defeat the alien guards.
1QU5000009	Continue to look for a way out of the Holding Cells.
1QU5000010	Release the humans in stasis.
1QU5000011	Destroy the generator in the Cryo Labs.
1QU5000012	Destroy the generator in the Hangar.
1QU5000013	Destroy the generator in the Robot Assembly.
1QU5000014	Gain access to the upper level of the alien ship.
1QU5000015	Speak to Sally.
1QU5000017	Find a way to activate the Access Teleporter.
1QU5000018	(Optional) Request help from the people you've revived.
1QU5000019	Reach the bridge of the alien ship.
1QU5000020	Disable the Death Ray.
1QU5000021	Secure the bridge.
1QU5000022	Defeat the attacking alien ship.
1QU5000023	Return to the Capital Wasteland.
1QU5000024	(Optional) Set the alien ship to self-destruct.
1QU5000025	Activate the Engine Core Teleporter.
1QU5000026	Defeat the Alien Captain.
