1DE0000001	볼트 101 제어 단말기[CRLF][CRLF]
1DE0000120	"중국 침략" 안전 장치 서브루틴[CRLF][CRLF]환영합니다, 브라운 박사[CRLF]
1DE0000121	전환 제어 기록[CRLF][CRLF]환영합니다, 브라운 박사[CRLF]
1DE0000122	이 퍽은 혈액 팩을 소비하여 체력을 회복하게 해줍니다.
1DE0000123	동심 퍽은 아이들과의 관계를 크게 개선시켜주며, 대화 선택시 특별한 문장을 추가해줍니다.
1DE0000124	핍-보이 버튼을 누르고 있으면 핍-보이 전등을 사용할 수 있습니다.
1DE0000125	핍-보이 전등은 당신을 더욱 노출시키므로 들키고 싶지 않을 때는 꺼두는 것이 좋습니다.
1DE0000126	워싱턴 DC 대중 교통 지하철[CRLF]메레스티역 원격 제어 구간 단말기[CRLF]
1DE0000127	롭코 서비스 단말기 [CRLF]버전 6.0.3.2.1.a[CRLF][CRLF]------------------------------------[CRLF]더 많은 최상의[CRLF]롭코 제품은[CRLF]당신의 보조 진열실에 있습니다.[CRLF]
1DE0000128	 (주) 소프트락 솔루션스[CRLF]"여러분의 안전이 우리의 안전입니다"[CRLF]>\ 환영합니다, 고객님[CRLF][CRLF]
1DE0000129	롭코 안내 단말기[CRLF]V 6.0.3.2.1.a[CRLF][CRLF]------------------------------------[CRLF]더 많은 최상의[CRLF]롭코 상품은[CRLF]당신의 보조 진열실에 있습니다.[CRLF]
1DE0000130	볼트-텍 원격 제어 단말기 07b[CRLF]
1DE0000131	B 구역 단말기[CRLF]
1DE0000132	수리 구역 단말기[CRLF]
1DE0000135	A 구역 단말기[CRLF]
1DE0000136	A 구역 비상 단말기[CRLF]
1DE0000137	(주)볼트-텍 - 볼트 101[CRLF][CRLF]정착! 새로운 삶![CRLF]
1DE0000138	당신은 친애하는 아버지를 따라 지식 추구에 시간을 쏟아부었습니다. 각 등급 마다, 과학과 의학 스킬에 5점의 보너스를 얻습니다.
1DE0000139	당신은 다양한 형태의 구식 무기 사용과 관리에 매료 되었습니다. 총기광 퍽의 각 등급이 오를 때마다 소형 화기와 수리 기술에 5점을 추가로 얻습니다.
1DE0000140	-롭코 불법 침입자 관리 시스템-[CRLF]=========================[CRLF]
1DE0000158	불량배 퍽을 얻으면 사람들에게 영향을 주기 위한 당신의 교활한 매력을 사용할 수 있습니다. 등급이 오를 때마다 화술과 흥정 기술이 5점씩 오릅니다.
1DE0000159	당신은 충분히 오랫동안 참아 왔습니다! 분노 폭발! 퍽은 체력이 20% 이하가 되면 힘이 10점 오르고 50%의 피해 저항력을 갖게 합니다.
1DE0000160	청부 살인 업자 퍽은 당신이 죽인 모든 선한 사람이나 구울의 시체에서 귀를 얻을 수 있게 합니다. 이 귀는 특정한 인물에게 팔거나 할 수 있습니다...
1DE0000161	강철 위장 퍽이 있으면 방사능 오염된 물을 마실 때 50%의 방사능 절감효과가 있습니다.
1DE0000162	경직권 퍽을 가지고 있으면 V.A.T.S. 에서 가끔 특수한 손공격을 할 수 있습니다. 공격에 맞은 적은 30초간 기절 상태가 됩니다. 이를 위해서는 무기를 들면 안됩니다는 것을 주의 하십시오.
1DE0000163	당신은 영구적으로 신체를 향상시켰다. 사이보그 퍽은 피해, 독, 방사능 저항력에 즉시 10%를 추가하며 에너지 무기 기술에 10점을 추가합니다.
1DE0000164	질서의 수호자 퍽이 있으면 악한 캐릭터의 시체에서 손가락을 얻을 수 있습니다. 이 손가락은 어떤 선한 캐릭터에게 팔거나 교환할 수 있습니다.
1DE0000165	공평한 중재 퍽이 있으면 중립의 카르마를 유지하는 한 화술 기술에 추가로 30점을 얻습니다.
1DE0000166	집중 사격 퍽이 있으면 V.A.T.S. 에서 공격 부위의 연속 사격시 명중률이 조금 증가 합니다.
1DE0000167	침입자 퍽이 있으면 망가진 자물쇠에 다시 자물쇠 따기를 시도할 수 있습니다. "강제로 따기"로 망가진 자물쇠도 마찬가지입니다.
1DE0000168	혹독한 훈련 퍽을 얻으면 S.P.E.C.I.A.L. 특성 중 하나에 1점을 올릴 수 있습니다.
1DE0000169	커먼웰스의 진보된 기술로 인해 반응 속도가 상승하여, V.A.T.S.에서의 적중 확률이 높아졌습니다.
1DE0000170	리벳시티 진료소 컴퓨터 시스템[CRLF]의사만 열람 하십시오. 무단 사용은 의회 규율에 따라 벌금, 감금 혹은 추방될 수 있습니다..[CRLF]
1DE0000171	당신이 이 컴퓨터를 사용하려면 상급 권한이 필요합니다.[CRLF]
1DE0000172	안녕하세요, 국장님![CRLF]
1DE0000175	LOB 그룹 접수실[CRLF][CRLF]어서오세요, 워링씨[CRLF][CRLF]항상 방문객들에게 I.D.를 묻는것과 미소로 인사하는 것을 잊지 마세요.[CRLF]
1DE0000176	국립기록보관소 유지 보수용 단말기[CRLF]유닛들의 현재 문제점들[CRLF]
1DE0000177	워터칩 서비스 제공중.[CRLF][CRLF]시스템 일시중지됨. 정화명령을 수행하지 마십시오 - 생명 시스템이 손상될 수 있습니다.[CRLF]
1DE0000178	시스템 비활성 - 워터칩이 지정위치에 없습니다![CRLF][CRLF]서비스를 위해 당신의 볼트-텍 담당자에게 즉시 연락 하십시오. 수리가 완료될 때까지 안전 거리 밖으로 철수하십시오.[CRLF]
1DE0000179	*****------ 야전 작전[CRLF]*****------ 엔클레이브[CRLF]*****------[CRLF]-----------[CRLF]----------- 신의 축복이 있기를[CRLF]
1DE0000180	--마리포사 역--[CRLF]작업 단말기 6c[CRLF]
1DE0000181	볼트 101 보안 구획 단말기[CRLF]
1DE0000182	로봇의 전투 억제장치를 종료하면 기계는 혼란스러워하며 아군과 적을 가리지 않고 공격할 것입니다.
1DE0000183	오류 0x0AABFF00[CRLF]"주 전원이 사용 불가능 합니다"[CRLF]"플러그와 코드의 연결을 확인해 주세요.""[CRLF]
1DE0000184	공학관에 오신 것을 환영합니다[CRLF]#최고의 편의를 제공할 수 있게 업그레이드 되었습니다.[CRLF]
1DE0000185	#행운이 있기를[CRLF]
1DE0000190	공학관 경비[CRLF][CRLF]
1DE0000191	천문관 제어 단말기[CRLF]
1DE0000193	갤럭시 뉴스 라디오 제어 단말기[CRLF]
1DE0000194	환영합네다, 동무![CRLF][CRLF]
1DE0000197	일지 작성 프로그램 ⓒ 2072 파그소프트[CRLF]사용자: 좆까 하하하[CRLF]
1DE0000198	무기의 피해는 피해의 근사값을 나타낸다. 무기의 상태나 관련 기술 같은 요인에 의해 변형될 수 있습니다.
1DE0000199	미스터 핸디 원격 접속 단말기[CRLF]
1DE0000201	역사 알고리즘 실행. 캐피탈 포스트 항목 처리중. 미국 문화 참조 문서 분석중.
1DE0000202	트랜퀄리티레인 시뮬레이션 로딩 중. 잠시 기다려 주십시오.
1DE0000203	볼트-텍 테스트용 시뮬레이션 실행. 활성 프로그램: 트랜퀄리티레인
1DE0000204	당신이 보고 듣는 현실을 받아 들여 주십시오.
1DE0000205	환영합니다, 오버시어님.[CRLF]
1DE0000206	볼트 101 제어 단말기[CRLF]
1DE0000207	주의: 이 의료 기록들은 기밀문서 입니다![CRLF]
1DE0000208	마이얼럭은 얼굴을 제외한 몸전체에 자연적인 갑옷으로 무장되어 있습니다... V.A.T.S.을 사용하여 얼굴을 공격해서 가까이 오기 전에 죽이는 것이 좋습니다.
1DE0000209	탈론 컴퍼니의 용병은 더럽고 비열하기 그지 없습니다. 이 무자비한 기회주의자들과 만나면 목숨을 걸고 싸울 준비를 하십시오.
1DE0000210	레이더들은 아무때나 갖고 싶은 무엇이든 차지하려 합니다. 그들이 가장 좋아하는 취미는 고문과 살인입니다.
1DE0000211	리벳시티 컴퓨터 시스템에 오신 것을 환영합니다. 오늘은 무엇을 도와 드릴까요?[CRLF]
1DE0000214	-***------- 야전 작전[CRLF]*-*-*------ 엔클레이브 [CRLF]-***-------[CRLF]-----------[CRLF]----------- 신의 축복이 있기를[CRLF][CRLF]
1DE0000216	일기장 프로그램 ⓒ 2072 파그소프트[CRLF]이사벨라 프라우드의 일기[CRLF][CRLF]
1DE0000218	이게 뭔가를 빛나게 합니다.
1DE0000219	은신 기술이 높을수록 더 쉽게 숨고, 쉽게 훔칠 수 있습니다.
1DE0000220	높은 매력은 흥정과 화술 기술에 보너스를 줍니다.
1DE0000221	저일지 작성 소프트웨어 ⓒ 2072 파그소프트[CRLF]사용자: 진입금지[CRLF]
1DE0000222	국제 재해 구원 단체[CRLF]응답 장치 MD-478[CRLF][CRLF]낸시 크로이던, 사회자[CRLF]
1DE0000223	불만사항 기록자료 - 2077년 8월[CRLF]손님, 가능한 자세히 기술해 주셔야 합니다.[CRLF]
1DE0000224	간호 부서 01[CRLF]병원 내 관계자만 이용 가능[CRLF]
1DE0000225	간호 부서 02[CRLF]병원 내 관계자만 이용 가능[CRLF]
1DE0000226	간호 부서 03[CRLF]병원 내 관계자만 이용 가능[CRLF]
1DE0000227	높은 지구력은 체력과 면역력, 그리고 대형 화기 기술과 격투 기술에 보너스를 줍니다.
1DE0000228	지능이 높을수록 레벨업 할 때, 더 많은 기술 점수를 받을 수 있게 됩니다.
1DE0000230	행운을 올리면 모든 기술 점수가 오르고 모든 무기의 치명타 확률이 높아집니다.
1DE0000231	격투 기술은 너클이나 파워 장갑 같은 맨손 격투에 사용되는 무기, 아니면 맨손으로 싸울 때 사용 됩니다.
1DE0000232	의학 기술은 스팀팩의 효력을 결정합니다.
1DE0000233	근접 무기 기술은 단순한 쇠파이프에서 최첨단 초강력 쇠망치에 이르는 모든 근접 무기의 효과를 결정합니다.
1DE0000234	높은 인지력은 폭발물, 자물쇠 따기, 에너지 무기 기술에 보너스를 줍니다.
1DE0000235	수리 기술은 무기와 복장을 수리 할 수 있게 해 줍니다.
1DE0000237	소형 화기 기술은 10mm 권총, BB탄 총, 돌격 소총, 전투 산탄총 같은 모든 전통적인 발사형 무기의 효력을 결정합니다.
1DE0000240	힘은 들고다닐 수 있는 무게에 영향을 주고, 모든 근접 공격의 세기를 결정합니다.
1DE0000241	안녕하세요![CRLF]오늘은 어떻게 도와 드릴까요?[CRLF]
1DE0000242	보조 지휘 단말기[CRLF]진행하기 전에 특급A 권한을 획득하여 주십시오[CRLF]
1DE0000243	** !! SELECTIVE ACCESS !! **[CRLF]DC Transit Authority Personnel Only[CRLF][CRLF]
1DE0000244	일기장 프로그램 ⓒ 2072 파그소프트[CRLF]라이언 브릭의 일기[CRLF]
1DE0000245	로봇 프로토콜 조작원의 역할을 맡게 되신것을 축하드립니다. 당신의 믿을만한 동료들은 시설 도처에 배치된 표준 프로텍트론 모델들이 될 것입니다. [CRLF][CRLF]"기본 조작" 은 당신의 훈련 교본에 상세히 기술돼 있는 것처럼, 당신의 프로텍트론들의 일상 기능 제어를 포함합니다.[CRLF][CRLF]"해충 박멸" 은 당신의 프로텍트론들이 구내의 모든 바퀴벌레, 쥐, 혹은 원하지 않는 다른 해충을 추적하고 박멸 하도록 명령합니다.[CRLF][CRLF]"전체 해체" 는 당신의 프로텍트론들의 인간형 안전 프로토콜을 제거하는데, 혹시 만일에 있을 범죄자의 침입이나 공산주의자를 공격하기 위한 것입니다.[CRLF][CRLF]"로봇 일시정지" 는 당신의 프로텍트론들의 정기 점검, 혹은 예기치 못한 공격 명령의 경우를 위해 당신이 로봇을 일시적으로 정지하게 합니다.[CRLF][CRLF]이 조작법은 매우 간단하고 그럴만한 가치가 있으며, 아주 안전하다는 걸 알게 되시리라 믿습니다! 즐기십시오![CRLF]
1DE0000246	알링턴 공공 도서관 - 버지니아 추천 도서관![CRLF]안내 접수대[CRLF][CRLF]어서오세요, 먼슨 도서관장님![CRLF]
1DE0000247	알링턴 공공 도서관 - 버지니아 주재![CRLF]안내 접수대[CRLF][CRLF]어서오세요, 메이어 사서님![CRLF]
1DE0000248	 콘스탄틴 요새, MD[CRLF]어서 오십시오, 지휘관님.[CRLF] (보안)[CRLF](모든 정보는 USAF에 보고/수집 됩니다)[CRLF][CRLF]
1DE0000249	일기장 프로그램 ⓒ 2072 파그소프트[CRLF]사용자: 라이언 브릭[CRLF]
1DE0000250	 콘스탄틴 요새, MD[CRLF]======================[CRLF]USAF 간편 지휘 시스템[CRLF]어서 오십시오, 지휘관님.[CRLF]
1DE0000251	당신은 황무지에서 생존하는 방법에 대한 책을 써서 그 비밀을 다른 사람들에게 공유했습니다. 당신은 독과 방사능 저항력에 6% 보너스를 얻었습니다. 또한 최대 HP가 15점 증가했습니다.
1DE0000252	당신은 황무지의 가장 위험한 것들에 대한 시험을 겪었고, 살아 남았을 뿐만 아니라 몇가지를 배울 수 있었습니다. 당신은 독과 방사능 저항력에 4% 보너스를 얻었습니다. 또한 최대 HP가 10점 증가했습니다.
1DE0000253	당신은 황무지의 가장 위험한 것들에 대한 시험을 겪었고, 여전히 살아남아 그 경험을 이야기 할 수 있습니다. 당신은 독과 방사능 저항력에 2% 보너스를 얻었습니다. 또한 최대 HP가 5점 증가했습니다.
1DE0000254	*******관계자외 접근 금지*******[CRLF]이 방은 항상 잠겨져 있습니다. 정식 허가 없이, 이 단말기의 사용은 엄격히 금지되어 있습니다.[CRLF]**이 구역은 감시를 받고 있습니다.** [CRLF]
1DE0000257	LOB 그룹 고용자 단말기[CRLF][CRLF]환영합니다 맥 앤드류 부인[CRLF][CRLF][CRLF]
1DE0000258	L.O.B. 그룹 회장 업무 지원 단말기[CRLF][CRLF][CRLF][CRLF]
1DE0000259	롭코 로봇 마스터 단말기를 사용해주셔서 감사합니다![CRLF]어떻게 도와드릴까요?[CRLF]
1DE0000260	스테이츠먼 호텔 레스토랑[CRLF]월 - 목 오전 7 - 오전 2[CRLF]일 오전 7 - 오후 9[CRLF][CRLF]기억하세요, 화장실을 이용한 다음엔, 반드시 뒷정리를 해 주시길 바랍니다. 주위를 둘러봐서 만일 어느 화장실 휴지라도 바닥 여기저기 버려져 있다면 그걸 주워야 할 겁니다. 고객분들은 항상 깨끗한 화장실을 원하고 있습니다.[CRLF]
1DE0000261	누카-콜라 포장 제어 단말기 3C[CRLF]소프트웨어 버전 2.01.3a[CRLF]
1DE0000262	MDCTA 서비스 단말기 - [CRLF]저수지 가스/물 교환 456-12 제어 목록:[CRLF]
1DE0000263	라일리 레인저스 열람 전용[CRLF]라일리에게 먼저 부탁하길 바란다, 멍청아![CRLF]
1DE0000266	롭코 생산 시설 보안 단말기를 사용해주셔서 감사합니다.[CRLF]
1DE0000267	루즈벨트 학술원[CRLF]EDU-OSv6.19.03[CRLF]환영합니다, 스위니 교장.[CRLF]
1DE0000268	운송 단말기[CRLF]
