1DE0000001	Vault 101 Access Terminal[CRLF]
1DE0000047	ERROR 0x00B636C6[CRLF]"No Input Device Recognized."[CRLF]"Reconnect Keyboard."
1DE0000048	ERROR 0xF141A013[CRLF]"No Data Storage Detected."[CRLF]"Check Tape Drive Connection."
1DE0000056	Super Mutants are often accompanied by Centaurs, which serve as "watchdogs" and alert their masters to danger.
1DE0000057	Throughout the years since the bombs first fell, dogs have remained largely unaltered by radiation.
1DE0000058	Deathclaws are some of the most frightening creatures ever encountered by settlers in the Capital Wasteland. Their speed and ferocity are matched only by the size of their claws...
1DE0000059	Eyebots spread President Eden's pre-recorded Enclave message throughout the Capital Wasteland.
1DE0000060	Feral Ghouls have lost the ability to reason, and will attack any human on sight.
1DE0000061	Ghouls, both "normal" and Feral, are not only immune to radiation... they're healed by it.
1DE0000062	A Glowing One is a unique Feral Ghoul that has become a living conduit of radiation.
1DE0000063	Mirelurk Kings use a devastating sonic attack to debilitate their foes from afar.
1DE0000064	The Mister Gutsy model of robot was commissioned by the U.S. Army just before the atomic apocalypse of 2077.
1DE0000065	The sturdy Protectron model of robot was created before the great war, and served as a security automaton in both the private and business sectors.
1DE0000066	The Robobrain, constructed by General Atomics International before the great nuclear war, is unique in that it uses an actual organic brain as its central processor.
1DE0000067	Vault 101 Information
1DE0000068	W. Brandice Personal Notes
1DE0000069	Nuka-Cola Marketing Department[CRLF]Nuka-Cola Quantum Campaign Directives
1DE0000070	Nuka-Cola Research Department[CRLF]Security Clearance NKC002 Only!
1DE0000071	Os Abysmi vel Daath
1DE0000072	Abraham Washington - Private Notes[CRLF]Current Expeditions and Status
1DE0000073	Information[CRLF]Feel Free to Browse our Collection
1DE0000074	If you're successfully hidden, your first attack against an opponent will always result in a critical hit.
1DE0000075	A Glowing One uses its special ability to deliver radiation to its enemies, and heal any nearby Feral Ghouls.
1DE0000076	Mister Gutsy is a combat variant of the popular Mister Handy, and is equipped with a Plasma weapon and flamethrower.
1DE0000077	Zoe Hammerstein's Personal Diary
1DE0000078	The Capital Wasteland lacks an institutional system of crime and punishment. If you wrong someone, prepare to pay with your life.
1DE0000079	Sleeping in a rented or owned bed will give you a "Well Rested" bonus that boosts your earned XP for several hours.
1DE0000080	Intelligence determines your effectiveness with the Science, Repair and Medicine skills.
1DE0000081	The Medicine skill determines the effectiveness of drugs that help manage radiation, like Rad-X and RadAway.
1DE0000082	The Church of the Children of Atom believe the war of 2077 was actually a great holy event perpetuated by their god, Atom.
1DE0000083	Perception determines when red tick marks (which indicate threats) appear on your compass.
1DE0000084	With the second rank of the Animal Friend perk, animals will come to your aid in combat (but not against other animals).
1DE0000085	The higher your Repair skill, the better the starting condition of any custom-made weapons.
1DE0000086	Security Chief Harkness and his officers are authorized to use deadly force when dealing with any and all transgressors.
1DE0000087	If you want to stay hidden, stick to the shadows, move slowly, try to stay behind your opponent... and turn off your Pip-Boy light!
1DE0000088	If you have the Robotics Expert perk and sneak up on a hostile robot undetected, you can put that robot into a permanent shutdown state.
1DE0000089	After sleeping in a safe bed, you will wake well rested. You earn 10% more experience points for several hours.
1DE0000090	Your body has been genetically enhanced with the strength and flame resistance of the Grayditch Fire Ants! Your Strength has increased by 1 and you are now 25% resistant to fire.
1DE0000091	Your body has been genetically enhanced with the perception and flame resistance of the Grayditch Fire Ants! Your Perception has increased by 1 and you are now 25% resistant to fire.
1DE0000092	The Overseer is the incontestable leader of Vault 101, and his word is law.
1DE0000093	At age 10, every Vault 101 resident receives a Pip-Boy 3000 personal information processor.
1DE0000094	At age 16, every Vault 101 resident takes the Generalized Occupational Aptitude Test, or G.O.A.T., which helps determine job placement.
1DE0000095	Vault 101 security officers are hand-picked by the Overseer himself for their discretion and loyalty.
1DE0000096	Vault 101's residents remain protected from the outside world, with the exception of the occasional Radroach attack.
1DE0000097	National Archives Robotics Maintenance Terminal[CRLF]Current Issues Listed by Unit - P. Brantseg - Robotics Team
1DE0000098	National Archives Robotics Terminal[CRLF]BGWIN009 Button Gwinnett Pod
1DE0000099	National Archives Robotics Terminal[CRLF]JHANC003 John Hancock Pod
1DE0000100	In general, the higher your Barter skill, the lower your prices on purchased items.
1DE0000101	The Big Guns skill determines your combat effectiveness with the Fat Man, Rock-It Launcher, Missile Launcher, Flamer, Gatling Laser and Minigun.
1DE0000102	The Energy Weapons skill determines your effectiveness with the Alien Blaster, Laser Pistol, Laser Rifle, Mesmetron, Plasma Rifle and Plasma Pistol.
1DE0000104	New Amended Espionage Act, 50 U.S.C, 31 and 32 prohibits unauthorized use, subject to a fine of $500.00, and possible imprisonment.[CRLF][CRLF]IN CASE OF EMERGENCY: Activate Containment Doors to gain access to tunnel system. Stay clear of the tracks, and have a nice day.
1DE0000105	Welcome to Metro Security[CRLF]
1DE0000106	Doctor Weston Lesko[CRLF]Private - Please Do Not Access Without Permission
1DE0000107	Field Report[CRLF]Protector Casdin[CRLF]0700 Surface Patrol (Fairfax)[CRLF][CRLF][CRLF]
1DE0000108	Field Report[CRLF]Defender Rockfowl[CRLF]0300 SpecOps Recon Patrol[CRLF][CRLF][CRLF]
1DE0000109	Vault-Tec Residential Computer Network v10.1[CRLF][CRLF]Welcome, Ms. Gomez...
1DE0000110	Vault-Tec Residential Computer Network v10.1[CRLF][CRLF]Welcome, Beatrice...
1DE0000111	LOUNGER #37 MONITOR STATION[CRLF]RESIDENT ID: 374 -- NEUSBAUM, G.
1DE0000112	LOUNGER #37 MONITOR STATION[CRLF]RESIDENT ID: 375 -- NEUSBAUM, P.
1DE0000113	LOUNGER #37 MONITOR STATION[CRLF]RESIDENT ID: 377 -- NEUSBAUM, T.
1DE0000114	LOUNGER #37 MONITOR STATION[CRLF]RESIDENT ID: 226 -- ROCKWELL, R.
1DE0000115	LOUNGER #37 MONITOR STATION[CRLF]RESIDENT ID: 115 -- ROCKWELL, J.[CRLF]
1DE0000116	LOUNGER #37 MONITOR STATION[CRLF]RESIDENT ID: 227 -- SIMPSON, M.
1DE0000117	LOUNGER #37 MONITOR STATION[CRLF]RESIDENT ID: HENDERSON, M.
1DE0000118	LOUNGER #37 MONITOR STATION[CRLF]RESIDENT ID: 642 -- DITHERS, T.[CRLF][CRLF]WARNING: INCONSISTENT READINGS. PLEASE CHECK POD CONNECTIONS
1DE0000119	LOUNGER #37 MONITOR STATION[CRLF]RESIDENT: 999 -- BRAUN, S.
1DE0000120	"Chinese Invasion" Failsafe Subroutine Access[CRLF][CRLF]Welcome, Dr. Braun
1DE0000121	Version Control Notes[CRLF][CRLF]Welcome, Dr. Braun
1DE0000122	This perk allows you to regain health by consuming Bloodpacks.
1DE0000123	The Child at Heart perk greatly improves your interactions with children, usually in the form of unique dialogue choices.
1DE0000124	Press and hold your Pip-Boy button to turn the Pip-Boy light off and on.
1DE0000125	The light generated from your Pip-Boy light actually makes you less stealthy. If you want to effectively sneak, turn it off.
1DE0000126	Washington DC Metro Transit Authority[CRLF]Meresti Trainyard Remote Access Entry Terminal
1DE0000127	RobCo Service Terminal[CRLF]V 6.0.3.2.1.a[CRLF][CRLF]------------------------------------[CRLF]For More Top Of The Line [CRLF]RobCo Products See[CRLF]Your Local Showroom.[CRLF]
1DE0000128	SoftLock Solutions, Inc[CRLF]"Your Security is Our Security"[CRLF]>\ Welcome, USER[CRLF]
1DE0000129	RobCo Service Terminal[CRLF]V 6.0.3.2.1.a[CRLF][CRLF]------------------------------------[CRLF]For More Top Of The Line [CRLF]RobCo Products See[CRLF]Your Local Showroom.
1DE0000130	Vault-Tec Remote Access Terminal 07b
1DE0000131	Sector B Terminal
1DE0000132	Repair Sector Terminal
1DE0000135	Sector A Terminal
1DE0000136	Sector A Emergency Terminal
1DE0000137	Vault-Tec Inc. -  Vault 101[CRLF]Settle in and stay a while!
1DE0000138	Just like dear old Dad, you've devoted your time to intellectual pursuits. You gain an additional 5 points to both the Science and Medicine skills.
1DE0000139	You're obsessed with using and maintaining a wide variety of conventional firearms. With each rank of the Gun Nut perk, you gain an additional 5 points to the Small Guns and Repair skills.
1DE0000140	-RobCo Trespasser Management System-[CRLF]====================================
1DE0000158	Take the Scoundrel perk, and you can use your wily charms to influence people -- each rank raises your Speech and Barter skills by 5 points.
1DE0000159	You've been pushed around long enough! With the Nerd Rage! perk, your Strength is raised to 10 and you gain 50% to damage resistance whenever your Health drops to 20% or below.
1DE0000160	Once you have the Contract Killer perk, any good character you kill will have an ear on their corpse. This ear can then be sold to a certain person (whose identity is disclosed when you take the perk) for caps and negative Karma.
1DE0000161	With the Lead Belly perk, you take 50% less radiation every time you drink from an irradiated water source.
1DE0000162	With Paralyzing Palm, you will sometimes perform a special V.A.T.S. palm strike that paralyzes your opponent for 30 seconds. Note that in order to perform the Paralyzing Palm, you must be completely unarmed.
1DE0000163	You've made permanent enhancements to your body! The Cyborg perk instantly adds +10% to your Damage, Poison, and Radiation Resistances, and 10 points to the Energy Weapons skill.
1DE0000164	Once you have the Lawbringer perk, any evil character you kill will have a finger on their corpse. This finger can then be sold to a certain person (whose identity is disclosed when you take the perk) for caps and positive Karma.
1DE0000165	With the Impartial Mediation perk, you gain an extra 30 points to Speech... so long as you maintain a Neutral Karma level.
1DE0000166	With Concentrated Fire, your accuracy to hit any body part in V.A.T.S. increases slightly with each subsequent hit on that body part.
1DE0000167	With Infiltrator, if a lock is broken, and can't normally be picked again, you can attempt to pick it again one more time. This includes locks previously broken by a "Force Lock" attempt.
1DE0000168	With the Intense Training perk, you can put a single point into any of your S.P.E.C.I.A.L. attributes.
1DE0000169	Advanced technology from the Commonwealth has increased your reaction speed, giving you a higher chance to hit in V.A.T.S.
1DE0000170	Rivet City Clinic Computer System[CRLF]For doctor's eyes only. Unauthorized use will result in fine, confinement, or possible banishment by order of the City Council.
1DE0000171	You better have permission to be using this computer.
1DE0000172	Good morning, chief!
1DE0000175	LOB Enterprises Front Desk[CRLF][CRLF]Welcome Ms. Warring[CRLF][CRLF]Please remember to always ask for I.D. and greet visitors with a smile.
1DE0000176	National Archives Maintenance Terminal[CRLF]Current Issues Listed by Unit
1DE0000177	Water Chip Undergoing Service. [CRLF][CRLF]System temporarily suspended. Do not run purge - vital systems may be compromised.
1DE0000178	System Inactive - No Water Chip Located![CRLF][CRLF]Contact your Vault-Tec representative immediately for service. Evacuate to safe distance until repairs are complete.
1DE0000179	*****------  FIELD OPERATIONS[CRLF]*****------      ENCLAVE [CRLF]*****------[CRLF]-----------[CRLF]-----------  GOD BLESS AMERICA
1DE0000180	--Mariposa Station--[CRLF]Utitlity Terminal 6c
1DE0000181	Vault 101 Security Cell Terminal
1DE0000182	Disable a robot's Combat Inhibitor, and the confused machine will go into a killing frenzy, attacking friend and foe alike.
1DE0000183	ERROR 0x0AABFF00[CRLF]"Primary power source unavailable"[CRLF]"Check all cords and plugs for connection"
1DE0000184	Welcome to the Museum of Technology[CRLF]#System Upgrades Courtesy of Prime
1DE0000185	#Good Luck
1DE0000190	Museum of Technology Security[CRLF]
1DE0000191	Planetarium Access Terminal
1DE0000193	Galaxy News Radio Access Terminal
1DE0000194	Welcome, Comrade!
1DE0000197	Journal-It Software  2072 PagSoft[CRLF]USER: suk me  hahaha
1DE0000198	A weapon's DAM indicates its approximate damage, and is modified by factors like the weapon's condition, and your associated skill.
1DE0000199	Mr. Handy Remote Access Terminal
1DE0000201	Historical algorithms engaged. Processing Capital Post articles. Extrapolating American cultural references.
1DE0000202	Loading Tranquility Lane simulation. Please stand by.
1DE0000203	Vault-Tec prototype simulation engaged. Active program: Tranquility Lane.
1DE0000204	Accept your perceived reality.
1DE0000205	Welcome, Overseer.
1DE0000206	Vault 101 Access Terminal
1DE0000207	Remember: Medical files are confidential!
1DE0000208	Mirelurks are naturally armored throughout their body... with the exception of the face. Try using V.A.T.S. to target this area, and kill them before they get close enough to attack.
1DE0000209	No job is too nasty for the mercenaries of Talon Company. If you encounter these heartless opportunists, be prepared for a fight to the death.
1DE0000210	Raiders take whatever they want, whenever they want, and their favorite pastimes are torture and murder.
1DE0000211	Welcome to the Rivet City computer system. What would you like to do today?
1DE0000214	-***-------  FIELD OPERATIONS[CRLF]*-*-*------      ENCLAVE [CRLF]-***-------[CRLF]-----------[CRLF]-----------  GOD BLESS AMERICA[CRLF]
1DE0000216	Journal-It Software  2072 PagSoft[CRLF]Isabella Proud's Journal
1DE0000218	This is to make something glow.
1DE0000219	The higher your Sneak skill, the easier it is to remain undetected, steal an item or pick someone's pocket.
1DE0000220	High Charisma gives bonuses to both the Barter and Speech skills.
1DE0000221	Journal-It Software  2072 PagSoft[CRLF]USER: NO ENTRY
1DE0000222	National Catastrophe Relief Auxiliary[CRLF]Response Unit MD-478[CRLF][CRLF]Nancy Kroydon, Presiding Officer
1DE0000223	Complaint Database - August 2077[CRLF]Please have guest be as descriptive as possible.
1DE0000224	Nurse's Station 01[CRLF]Hospital Use Only
1DE0000225	Nurse's Station 02[CRLF]Hospital Use Only
1DE0000226	Nurse's Station 03[CRLF]Hospital Use Only
1DE0000227	A high Endurance gives bonuses to Health, environmental resistances, and the Big Guns and Unarmed skills.
1DE0000228	The higher your Intelligence, the more Skill Points you'll be able to distribute when you level up.
1DE0000230	Raising your Luck raises all of your skill values, and improves your Critical Chance with all weapons.
1DE0000231	The Unarmed skill is used for fighting without a weapon, or with hand-to-hand weapons like Brass Knuckles or the Power Fist.
1DE0000232	The Medicine skill determines the effectiveness of a Stimpak used to heal Health or damaged limbs.
1DE0000233	The Melee Weapons skill determines your effectiveness with any melee weapon, from a simple lead pipe to the high-tech Super Sledge.
1DE0000234	A high Perception grants a bonus to the Explosives, Lockpick and Energy Weapons skills.
1DE0000235	The Repair skill allows you to maintain any weapons and apparel.
1DE0000237	Small Guns determines your effectiveness with conventional projectile weapons, including the 10mm Pistol, BB Gun, Assault Rifle, and Combat Shotgun.
1DE0000240	Strength affects how much you can carry, and determines the effectiveness of all melee attacks.
1DE0000241	Greetings Vault Technician![CRLF]How Can This Terminal Help You Today?
1DE0000242	Auxiliary Command Terminal[CRLF]Please Consult A Supervisor Before Proceeding
1DE0000243	** !! SELECTIVE ACCESS !! **[CRLF]DC Transit Authority Personnel Only[CRLF]
1DE0000244	Journal-It Software  2072 PagSoft[CRLF]Ryan Brigg's Journal
1DE0000245	Congratulations on your transferal to the position of ROBOT PROTOCOL OPERATOR! Your trusted co-workers will be the standard Protectron models stationed throughout the facility.[CRLF][CRLF]"Basic Operation" covers the factory duties of your co-workers, as described in your training manual.[CRLF][CRLF]"Pest Extermination" encourages your co-workers to track and sanitize any roaches, rodents, or other undesired pests on the premises.[CRLF][CRLF]"Total Liquidation" removes your co-workers' humanoid safety protocols, and is for use only in the unlikely event of criminal intrusion or communist attack.[CRLF][CRLF]"Stress Testing" allows you to test the construction quality of recently produced models by setting current workers against each other.[CRLF][CRLF]We trust you'll find the work simple, rewarding, and extremely safe! Enjoy!
1DE0000246	Arlington Public Library - Virginia Reads![CRLF]Central Library Catalogue[CRLF][CRLF]Welcome, Head Librarian Munson!
1DE0000247	Arlington Public Library - Virginia Reads![CRLF]Front Desk Check-In Station[CRLF][CRLF]Welcome, Librarian Meier!
1DE0000248	Fort Constantine, MD[CRLF]Welcome, Commander[CRLF]                  (Private Use Only)[CRLF](All use monitored by USAF Intelligence)[CRLF]
1DE0000249	Journal-It Software  2072 PagSoft[CRLF]USER: Ryan Brigg's
1DE0000250	Fort Constantine, MD[CRLF]======================[CRLF]USAF One-Touch Command SysOps[CRLF]Welcome, Commander.
1DE0000251	You wrote the book on how to survive in the Wasteland, and have shared your secrets with humanity. You've gained +6% bonus to Poison Resistance and Radiation Resistance, and +15 points to maximum Health.
1DE0000252	You've been tested in some of the most dangerous parts of the wastes, and you've not only survived - you've learned a few things. You've gained +4% bonus to Poison Resistance and Radiation Resistance, and +10 points to maximum Health.
1DE0000253	You've been tested in some of the most dangerous parts of the wastes, and you're still alive to tell the tale. You've gained +2% bonus to Poison Resistance and Radiation Resistance, and +5 points to maximum Health.
1DE0000254	*******Authorized Personal Only*******[CRLF]This room is to remain locked at all times. Use of this terminal without proper clearance is strictly forbidden.[CRLF][CRLF]**Area is under surveillance**
1DE0000257	LOB Enterprises Employee Terminal[CRLF][CRLF]Welcome Ms. McAndrews[CRLF][CRLF]
1DE0000258	L.O.B. Enterprises Chief Executive Terminal[CRLF][CRLF][CRLF]
1DE0000259	Welcome to the RobCo Facilities Robot Master Terminal![CRLF]How may I assist you this fine day?
1DE0000260	Statesman Hotel Restaurant[CRLF]Mon - Th         7 AM - 2 AM[CRLF]Sun              7 AM - 9 PM[CRLF]Remember, after using the restroom, don't just walk out without cleaning up. Take a look around and see if there are any toilet tissues lying about and pick them up. A customer always appreciates a clean restroom.
1DE0000261	Nuka-Cola Packing Terminal 3C[CRLF]Software Version 2.01.3a
1DE0000262	MDCTA Service Terminal - [CRLF]Gas/Water Reservoir Exchange 456-12 Access Menu:
1DE0000263	Reilly's Rangers Eyes Only[CRLF]Hope you asked Reilly first, you dumbass![CRLF]
1DE0000266	Welcome to the RobCo Production Facility security terminal.
1DE0000267	Roosevelt Academy[CRLF]EDU-OSv6.19.03[CRLF]Welcome, Headmaster Sweeney.[CRLF]
1DE0000268	Delivery Terminal
1DE0000269	Hubris Comics Publishing -[CRLF]Publishing Quality Prints at Quality Prices[CRLF]
1DE0000270	Hubris Comics Publishing Printing Press Terminal.[CRLF][CRLF]Remember to make sure no one is near the press while operating.
1DE0000271	Hubris Comics Publishing -[CRLF]Publishing Quality Prints at Quality Prices[CRLF][CRLF]Please keep hands away from Printing Press while it's in operation.
1DE0000272	Dunwich Borers LLC[CRLF]Auto-dictation software  2074 PagSoft[CRLF][CRLF]Welcome, HERMAN GRANGER[CRLF]Available records in memory:
1DE0000274	If you start a fight you can't finish, try putting away your weapon. Your opponent just might forgive you...
1DE0000275	After an experimental treatment, intense radiation keeps your body operating at peak performance regardless of crippling injuries... right up until death. When you suffer from Advanced Radiation Poisoning, crippled limbs automatically regenerate.
1DE0000276	Vault 87 Medical Wing Maintenance Access[CRLF]Emergency Use Only
1DE0000278	Vault 112 Security Stockpile Access[CRLF]No Unauthorized Personnel Inside the Security Zone.
1DE0000279	Vault 112 Overseer Access[CRLF]Welcome, Dr. Braun.
1DE0000280	Something about your presence dampens others' desires to exceed. Any enemy's chance of getting critical hits on you is reduced by 50%.
1DE0000282	LOUNGER #11 MONITOR STATION[CRLF]RESIDENT ID: UNOCCUPIED[CRLF][CRLF]
1DE0000283	LOUNGER #23 MONITOR STATION[CRLF]RESIDENT ID: UNKNOWN[CRLF][CRLF]WARNING: UNVERIFIED RESIDENT STATUS[CRLF]PLEASE CHECK LOGS[CRLF]
1DE0000284	DEPARTMENT OF THE ARMY[CRLF]   PEACEKEEPING AND RECOVERY[CRLF]  FIELD OPERATIONS SECTOR, 27P
1DE0000287	Overseer Access Only!
1DE0000288	Restricted to Section 4 Clearance Only[CRLF]
1DE0000289	Engineer Section Use Only
1DE0000290	Trading Post 92  Employees Only
1DE0000291	Hello, Doctor Lesko.[CRLF]What can I do for you today?
1DE0000292	Things a bit too tough, or too easy? You can pause the game and modify the difficulty at any time.
1DE0000293	Rad Resistance allows you to -- what else? -- resist radiation. This perk grants an additional 25% to Radiation Resistance.
1DE0000294	With the Scrounger perk, you'll find considerably more ammunition in containers than you normally would.
1DE0000295	With each rank of this perk, all of your explosive weapons do an additional 20% damage.
1DE0000296	The Here and Now perk immediately grants an additional experience level, complete with all the advantages that brings.
1DE0000297	With the Mister Sandman perk, when you're in Sneak mode, you gain the option to silently kill any human or Ghoul while they're sleeping. And, all Mister Sandman kills earn bonus XP.
1DE0000298	With the Life Giver perk, you gain an additional 30 Hit Points.
1DE0000299	With the Pyromaniac perk, you do +50% damage with fire-based weapons, like the Flamer and Shishkebab.
1DE0000300	With the Silent Running perk, you gain an additional 10 points to Sneak, and running no longer factors into a successful sneak attempt.
1DE0000301	With the Sniper perk, your chance to hit an opponent's head in V.A.T.S. is significantly increased.
1DE0000302	At the first rank of this perk, animals simply won't attack. At the second rank, they will actually come to your aid in combat, but never against another animal. This perk affects the Dog, Yao Guai, Mole Rat, and Brahmin.
1DE0000303	With the Light Step perk, you'll never set off an enemy's mines or floor-based traps.
1DE0000304	When you take the Master Trader perk, the price of every item you buy from a vendor is reduced by 25%.
1DE0000305	With the Action Boy perk, you gain an additional 25 Action Points to use in V.A.T.S.
1DE0000306	With the Better Criticals perk, you gain a 50% damage bonus every time a critical hit is scored on an opponent.
1DE0000307	You've gained your own personal guardian angel... armed with a fully loaded .44 Magnum. With this perk, the Mysterious Stranger will appear occasionally in V.A.T.S. mode to lend a hand, with deadly efficiency.
1DE0000308	The Tag! perk allows you to select a fourth Skill to be a Tag skill, which instantly raises it by 15 points.
1DE0000309	With the Robotics perk, you do an additional 25% damage to any robot. But, even better, sneaking up on a hostile robot undetected and activating it will put that robot into a permanent shutdown state.
1DE0000310	Fail a hack attempt and get locked out of a computer? Not if you're a Computer Whiz! With this perk, you can attempt to re-hack any computer you were previously locked out of.
1DE0000311	With the Solar Powered perk, you gain an additional 2 points to Strength when in direct sunlight, and slowly regenerate lost Health.
1DE0000312	The Ninja perk grants you the power of the fabled shadow warriors. When attacking with either Melee or Unarmed, you gain a +15% critical chance on every strike. Sneak attack criticals do 25% more damage than normal.
1DE0000313	With each rank in the Swift Learner perk, you gain an additional 10% to total Experience Points whenever Experience Points are earned.
1DE0000314	With each rank of the Thief perk, you gain an immediate bonus of 5 points to both the Sneak and Lockpick skills.
1DE0000315	With the Educated perk, you gain three more skill points every time you advance in level. This perk is best taken early on, to maximize its effectiveness.
1DE0000316	With the Entomologist perk, you do an additional +50% damage every time you attack a mutated insect, like the Radroach, Giant Ant, or Radscorpion.
1DE0000317	With the Iron Fist perk, you do an additional 5 points of Unarmed damage per rank.
1DE0000318	With the Strong Back perk, you can carry 50 more pounds of equipment.
1DE0000319	With the Toughness perk, you gain +10% to overall Damage Resistance, up to the maximum of 85%.
1DE0000320	With the Comprehension perk, you gain one additional skill point whenever a skill book is read.
1DE0000321	With the Fortune Finder perk, you'll find considerably more Nuka-Cola caps in containers than you normally would.
1DE0000322	When you choose the Explorer perk, every location in the world is revealed on your map. So get out there and explore!
1DE0000323	Welcome to Paradise Falls
1DE0000324	Reilly's Rangers Eyes Only[CRLF]If you're reading this, you better get your ass out of here![CRLF]
1DE0000325	"Always remember the fires that we were forged in. Those who forget are lost."[CRLF][CRLF][CRLF]
1DE0000326	Subject -> Laser Rifle/Pistol[CRLF]Researcher -> J. T. Benning[CRLF]
1DE0000333	You've been tested in some of the most dangerous parts of the wastes, and you're still alive to tell the tale. You've gained +2% bonus to Poison Resistance and Radiation Resistance, and 2 points to both the Medicine and Science skills.
1DE0000334	You've been tested in some of the most dangerous parts of the wastes, and you're still alive to tell the tale. You've gained +2% bonus to Poison Resistance, Radiation Resistance and Damage Resistance.
1DE0000335	You've been tested in some of the most dangerous parts of the wastes, and you're still alive to tell the tale. You've gained +2% bonus to Poison Resistance & Radiation Resistance, and 2 points to both the Speech and Sneak skills.
1DE0000336	You've been tested in some of the most dangerous parts of the wastes, and you're still alive to tell the tale. You've gained +2% bonus to Poison Resistance and Radiation Resistance, and a +1% bonus to Critical Chance.
1DE0000337	You've been tested in some of the most dangerous parts of the wastes, and you've not only survived - you've learned a few things. You've gained +4% bonus to Poison Resistance and Radiation Resistance, and 4 points to both the Medicine and Science skills.
1DE0000338	You've been tested in some of the most dangerous parts of the wastes, and you've not only survived - you've learned a few things. You've gained +4% bonus to Poison Resistance, Radiation Resistance and Damage Resistance.
