1TE0000004	볼트 문 작동
1TE0000245	모든 보관실 문 잠금해제
1TE0000246	모든 동쪽 부속 건물 문 잠금해제
1TE0000247	자기-봉인된 문 잠금해제
1TE0000249	BGWIN009 버튼 그윈넷 포드
1TE0000256	JHANC003 존 헨콕 포드
1TE0000262	새로이 개정된 첩보 법령, 미국 법령 50장 31, 32항의 무단 사용 금지령에 의거. 500달러의 벌금을 부여하며, 구금될 수 있습니다.
1TE0000263	유사시: 터널 시스템에 접근하기 위해 안전 격납고 문을 작동합니다. 트랙에서 벗어나 주시고, 좋은 하루 보내세요.
1TE0000265	DCTA에 조난 호출 
1TE0000266	안전 격납고 문 열기
1TE0000267	안전 격납고 문 닫기
1TE0000268	어서오십시오. 지하철 보안팀입니다.
1TE0000270	지하철 프로텍트론 작동
1TE0000271	지하철 프로텍트론 작동 중지
1TE0000272	에스컬레이터 켬
1TE0000273	조명 켬
1TE0000274	웨스턴 레스코 박사
1TE0000275	보안 - 허가 없이 건드리지 마시오
1TE0000277	개인 기록
1TE0000278	부화장 제어 문 잠금 해제
1TE0000283	<음성 기록 전송>
1TE0000289	볼트-텍 거주지 컴퓨터 네트워크 V10.1
1TE0000290	환영합니다, 고메즈...
1TE0000292	볼트 101 전자 우편 박스
1TE0000294	발신인: 프레디 고메즈
1TE0000295	발신인: 오버시어
1TE0000296	발신인: 다니엘 브로치
1TE0000298	환영합니다, 베아트리체...
1TE0000306	라운지 #37번 감시 스테이션
1TE0000307	거주민 ID: 374 -- 뉴스범, G.
1TE0000309	거주민 상태 표시
1TE0000311	거주민 스트레스 수준 표시
1TE0000314	거주민 ID: 375 -- 뉴스범, P.
1TE0000321	거주민 ID: 377 -- 뉴스범, T.
1TE0000328	거주민 ID: 226 -- 락웰, R.
1TE0000335	거주민 ID: 115 -- 락웰, J.
1TE0000342	거주민 ID:227 -- M.심슨.
1TE0000349	거주민 ID: 헨더슨, M.
1TE0000356	거주민 ID: 642 -- 디터, T.
1TE0000357	경고: 불완전한 읽기. 포드 연결을 확인해주시기 바랍니다
1TE0000364	거주민 ID: 999 -- 브라운, S.
1TE0000368	"중국 침략" 안전 장치 서브루틴
1TE0000369	환영합니다, 브라운 박사
1TE0000371	중국 침략 안전 장치 초기화
1TE0000373	안전 장치 프로그램 서류
1TE0000374	브라운 박사의 기록: 안전 장치
1TE0000375	전환 제어 기록
1TE0000378	현재 전환 제어기 표시
1TE0000379	이전 전환 제어기 표시
1TE0000381	메레스티역 원격 제어 구간 단말기
1TE0000383	정거장 제어 문 잠금 해제
1TE0000384	롭코 서비스 단말기 
1TE0000385	버전 6.0.3.2.1.a
1TE0000387	더 많은 최상의
1TE0000388	롭코 제품은
1TE0000389	당신의 보조 진열실에 있습니다.
1TE0000391	가격 목록 리셋
1TE0000392	10% 휴일 할인
1TE0000393	VIP 50% 할인
1TE0000394	소프트락 솔루션스 주식회사
1TE0000395	"여러분의 안전이 우리의 안전입니다"
1TE0000398	잠금장치 해제
1TE0000406	주 회로 작동
1TE0000411	문 잠금
1TE0000414	B 구역 관리 기록
1TE0000415	B 구역 보안 해제
1TE0000416	B 구역 보안 가동
1TE0000423	승강기 작동
1TE0000426	승강기 올림
1TE0000427	승강기 내림
1TE0000431	A 구역 포탑 시스템 해제
1TE0000432	A 구역 포탑 시스템 가동
1TE0000434	프랭크의 기록
1TE0000440	비상 진동 폭발 시스템 가동
1TE0000442	6.KGGGL7.DDD.2KQP
1TE0000443	(주)볼트-텍 - 볼트 101
1TE0000444	정착! 새로운 삶!
1TE0000446	수경 시스템 시험작동
1TE0000449	공기정화 시스템 시험작동
1TE0000452	워터 칩 서비스 시작
1TE0000455	녹음실 잠금
1TE0000456	녹음실 개방
1TE0000457	볼트-내부 메일 000339
1TE0000458	볼트-내부 메일 000344
1TE0000459	볼트-내부 메일 000350
1TE0000460	-롭코 불법 침입자 관리 시스템-
1TE0000463	타겟 매개 변수 재구성
1TE0000464	> <!>주의: 타겟 데이터 없음<!>
1TE0000465	포탑 시스템 가동
1TE0000466	포탑 시스템 정지
1TE0000467	시스템 정보
1TE0000615	티켓 체크 회로 가동
1TE0000618	---하수도 관리가 당신을 환영합니다---
1TE0000619	지시를 내려 주십시요. 
1TE0000620	v0.78
1TE0000622	Water Treatment Status
1TE0000623	Activate Storage Door
1TE0000624	Purge Sewage Overflow
1TE0000625	리벳시티 진료소 컴퓨터 시스템
1TE0000626	의사만 열람 하십시오. 무단 사용은 의회 규율에 따라 벌금, 감금 혹은 추방될 수 있습니다..
1TE0000632	도시 설립자 기록
1TE0000633	인조인간 기록 1
1TE0000634	인조인간 기록 2
1TE0000635	인조인간 기록 3
1TE0000636	이전 사진
1TE0000637	이후 사진
1TE0000640	공산당 격파 - 알래스카 해방!
1TE0000641	식량 폭동에 연방 정부 분노
1TE0000644	미국의 캐나다 합병!
1TE0000645	고성능 무기 개발 진행
1TE0000648	국립 연방 해체!
1TE0000649	작은 살인마: 진짜 존재하는가?
1TE0000650	LOB 그룹 접수실
1TE0000651	어서오세요, 워링씨
1TE0000652	항상 방문객들에게 I.D.를 묻는것과 미소로 인사하는 것을 잊지 마세요.
1TE0000654	전직원: 비상시 대처법
1TE0000655	Email: 오늘 저녁 사격 연습 어때?
1TE0000656	보낸 문건: 그놈들이 쳐들어 왔어!!
1TE0000657	전직원: 규칙 위반
1TE0000658	국립기록보관소 유지 보수용 단말기
1TE0000659	유닛들의 현재 문제점들
1TE0000661	BGWIN009 여행 가이드 프로텍트론
1TE0000662	TRT007 자동화된 포탑
1TE0000663	EMT002 미스터 핸디 의료 유닛
1TE0000664	TJEFF002 여행 가이드 프로텍트론
1TE0000666	워터 칩 진단 실시
1TE0000669	수동 서비스 시작
1TE0000670	수동 서비스 마침
1TE0000672	시스템 정화 실시
1TE0000675	워터칩 서비스 제공중.
1TE0000676	시스템 일시중지됨. 정화명령을 수행하지 마십시오 - 생명 시스템이 손상될 수 있습니다.
1TE0000678	시스템 비활성 - 워터칩이 지정위치에 없습니다!
1TE0000679	서비스를 위해 당신의 볼트-텍 담당자에게 즉시 연락 하십시오. 수리가 완료될 때까지 안전 거리 밖으로 철수하십시오.
1TE0000682	스테판에 대한 메모
1TE0000683	칩 손상
1TE0000684	*****------ 야전 작전
1TE0000685	*****------ 엔클레이브
1TE0000686	*****------
1TE0000687	----------- 신이여 미국을 축복하소서
1TE0000690	[먼저 읽기]
1TE0000691	주요 기지 연결 요청
1TE0000692	방어 시설 전원 차단
1TE0000694	자료실 문 잠금 해제
1TE0000696	제어 수락
1TE0000697	제어 거부
1TE0000698	잡음 제거
1TE0000699	--마리포사 역--
1TE0000700	작업 단말기 6c
1TE0000702	배기구 정화
1TE0000706	구획 문 열기
1TE0000707	구획 잠그기
1TE0000708	기밀
1TE0000709	오류 0x0AABFF00
1TE0000710	"주 전원이 사용 불가능 합니다"
1TE0000711	"플러그와 코드의 연결을 확인해 주세요"
1TE0000714	#최고의 편의를 제공할 수 있게 업그레이드 되었습니다.
1TE0000716	관람 가이드
1TE0000717	특별 행사
1TE0000718	천문관 입장권
1TE0000719	입장권
1TE0000720	#000
1TE0000721	#001
1TE0000722	#001 확인
1TE0000723	#비밀번호 획득
1TE0000724	#오류
1TE0000725	#비밀번호 승인
1TE0000728	#009
1TE0000729	#019
1TE0000730	#030
1TE0000731	#049
1TE0000740	#002
1TE0000741	#002 확인
1TE0000747	#024
1TE0000748	#038
1TE0000749	#053
1TE0000750	#088
1TE0000759	#003
1TE0000760	#003 확인
1TE0000766	#099
1TE0000767	#105
1TE0000768	#111
1TE0000769	#113
1TE0000770	공학관 경비
1TE0000772	경비 공고 001
1TE0000773	경비 공고 002
1TE0000774	경비 공고 003
1TE0000776	#금고 잠금 해제
1TE0000779	천문관 출구 잠금 해제
1TE0000783	진행중인 관람 중지
1TE0000784	관람 시작
1TE0000787	방송실 제어 잠금 해제
1TE0000791	일일 표어
1TE0000808	일지 작성 프로그램 ⓒ 2072 파그소프트
1TE0000811	일지 기록 #003
1TE0000812	일지 기록 #002
1TE0000813	일지 기록 #001
1TE0000814	사용자 연결 해제: 좆까 하하하
1TE0000817	손질 프로그램 초기화
1TE0000818	보안 프로그램 초기화
1TE0000819	보안 프로그램 중지
1TE0000821	보안 검사 파라메터 비활성
1TE0000822	보안 검사 비활성
1TE0000823	보안 검사 파라메터 활성
1TE0000825	급수 관리 시스템 초기화
1TE0000826	지원 장치 켜기
1TE0000827	의학품(보안) 금고 잠금 해제
1TE0000832	외부 접촉 기록 열람
1TE0000833	보안 서류 열람
1TE0000834	정찰 보고서 열람
1TE0000836	오버시어의 통로를 연다
1TE0000837	오버시어의 통로를 닫는다
1TE0000842	볼트 문 제어기 잠금 해제
1TE0000843	오버시어 통로 문 열기
1TE0000844	오버시어 통로 문 닫기
1TE0000851	추가 경비 모집
1TE0000867	돈 포스터
1TE0000870	리차드 웨인스키
1TE0000871	드루 마르티넬리
1TE0000873	임무 중지
1TE0000875	스테니슬로 브라운 박사로부터의 편지
1TE0000876	참고 A
1TE0000877	볼트-텍 과학 출품물: G.E.C.K.
1TE0000882	기록 2R-A0
1TE0000883	기록 64D-A3
1TE0000884	-***------- 야전 작전
1TE0000885	*-*-*------ 엔클레이브 
1TE0000886	-***-------
1TE0000890	기입 영역 : 거대파리
1TE0000891	기입 영역: 브라민
1TE0000892	기입 영역: 거대 개미
1TE0000899	기입 영역 : 마이얼럭
1TE0000900	기입 영역: 거대한 미국 바퀴벌레
1TE0000901	일기장 프로그램 ⓒ 2072 파그소프트[CRLF]이사벨라 프라우드의 일기
1TE0000904	45 일
1TE0000905	51 일
1TE0000906	53 일
1TE0000907	58 일
1TE0000908	63 일
1TE0000909	67 일
1TE0000910	68 일
1TE0000911	75 일
1TE0000912	접속 해제: 이사벨라 프라우드
1TE0000923	저일지 작성 소프트웨어 ⓒ 2072 파그소프트[CRLF]사용자: 진입금지
1TE0000926	일지 기록 #006
1TE0000927	일지 기록 #005
1TE0000928	일지 기록 #004
1TE0000932	사용자 연결헤제: 진입금지
1TE0000934	새 위치를 입력하세요
1TE0000935	좌표 해석: 위성 배열 NW-07c
1TE0000936	좌표 해석: 위성 배열 NW-03d
1TE0000937	하이워터 트루저 활성화 업로드 
1TE0000938	국제 재해 구원 단체
1TE0000939	응답 장치 MD-478
1TE0000940	낸시 크로이던, 사회자
1TE0000942	일지 기록 #008
1TE0000943	일지 기록 #007
1TE0000950	사용자 연결 해제: N 크로이던
1TE0000952	(정보: 에드가)
1TE0000953	(정보: 로쉘)
1TE0000954	(정보: 타이론)
1TE0000955	(정보: 닥터 제이)
1TE0000956	(정보: 타일러)
1TE0000958	(정보: 짐)
1TE0000962	64850
1TE0000963	65008
1TE0000964	65009
1TE0000965	65059
1TE0000966	65060
1TE0000967	65074
1TE0000969	실험체 확인
1TE0000971	실험체 제거
1TE0000973	손님 체크-인
1TE0000974	손님 체크-아웃
1TE0000975	체크 상태
1TE0000976	프론트 금고 잠금 해제
1TE0000977	고객 불만사항 파일
1TE0000978	불만사항 기록자료 - 2077년 8월
1TE0000979	가능하면 손님이 설명하게끔 해주시기 바랍니다.
1TE0000982	불만사항 0002
1TE0000983	불만사항 0003
1TE0000984	불만사항 0004
1TE0000985	간호 부서 01
1TE0000986	병원 내 관계자만 이용 가능
1TE0000988	의료 보급품 잠금 해제
1TE0000989	부상 보고서 09087768
1TE0000990	부상 보고서 09087790
1TE0000991	부상 보고서 09087882
1TE0000992	간호 부서 02
1TE0000999	간호 부서 03
1TE0001006	안녕하세요!
1TE0001007	오늘은 어떻게 도와 드릴까요?
1TE0001011	보조 지휘 단말기
1TE0001012	진행하기 전에 특급A 권한을 획득하여 주십시오
1TE0001014	중국 침략 프로그램 제어
1TE0001015	전환 제어 접근
1TE0001016	닥터 브라운의 기록: 투칸-라군
1TE0001017	닥터 브라운의 기록: 슬라롬 샬렛
1TE0001018	닥터 브라운의 기록: 트랭퀼리티 레인
1TE0001019	** !! SELECTIVE ACCESS !! **
1TE0001020	DC Transit Authority Personnel Only
1TE0001022	Disengage Overflow Door
1TE0001023	일기장 프로그램 ⓒ 2072 파그소프트[CRLF]라이언 브릭의 일기
1TE0001026	최근 일기 목록
1TE0001027	이전 일기 목록
1TE0001029	"기본 조작" 은 당신의 훈련 교본에 상세히 기술돼 있는 것처럼, 당신의 프로텍트론들의 일상 기능 제어를 포함합니다.
1TE0001032	"스트레스 테스트" 는 일꾼들을 서로 대치 시킴으로써 최근 생산된 모델의 구조를 테스트 할 수 있습니다. (번역 주의)
1TE0001035	작업 패널로 돌아가기
1TE0001036	알링턴 공공 도서관 - 버지니아 추천 도서관!
1TE0001037	안내 접수대
1TE0001038	어서오세요, 먼슨 도서관장님!
1TE0001040	교양 프로그램
1TE0001041	카드 목록 보기
1TE0001042	도서관 자료 이동
1TE0001044	안내 접수대
1TE0001045	어서오세요, 메이어 사서님!
1TE0001047	새로운 회원
1TE0001049	도서관 자료 보기
1TE0001050	대여중 목록
1TE0001058	버크
1TE0001059	제임스 (볼트 101)
1TE0001060	 콘스탄틴 요새, MD
1TE0001061	어서 오십시오, 지휘관님.
1TE0001062	 (보안)
1TE0001063	(모든 정보는 USAF에 보고/수집 됩니다)
1TE0001065	벙커 문 제어
1TE0001066	일기장 프로그램 ⓒ 2072 파그소프트[CRLF]사용자: 라이언 브릭
1TE0001069	기록 자료 #173
1TE0001070	기록 자료 #172
1TE0001071	기록 자료 #171
1TE0001072	기록 자료 #87
1TE0001073	기록 자료 #86
1TE0001074	이전 자료
1TE0001075	접속 해제: 라이언 브릭
1TE0001078	USAF 간편 지휘 시스템
1TE0001081	ICBM 발사
1TE0001082	ICBM 발사 준비 중...
1TE0001083	미사일 발사 오류!
1TE0001085	이것은 모두에게 비밀이다.
1TE0001086	*******관계자외 접근 금지*******
1TE0001087	이 방은 항상 잠겨져 있습니다. 정식 허가 없이, 이 단말기의 사용은 엄격히 금지되어 있습니다.
1TE0001088	**이 구역은 감시를 받고 있습니다.** 
1TE0001094	출구 잠금 해제
1TE0001100	실험 27CE
1TE0001101	실험 PP216
1TE0001103	터널 스네이크
1TE0001107	반란 분자
1TE0001110	환영합니다, 존슨 씨
1TE0001111	여성 직원에 대한 부적절한 언행/행동은 삼가해 주시길 바랍니다. 
1TE0001112	회사 정책에 따라, 인사부의 판단 하에 이 메시지는 화면에 계속 표시 될것입니다.
1TE0001115	메모: 성희롱
1TE0001116	메모: 연방 공격에 대한 응답
1TE0001118	환영합니다 맥 앤드류 부인
1TE0001120	보냄: 적들의 근거지
1TE0001122	Re: 금일 저녁 총기 훈련
1TE0001123	메모: 규칙 위반
1TE0001124	L.O.B. 그룹 회장 업무 지원 단말기
1TE0001127	메모: 금일 저녁 총기 훈련
1TE0001130	롭코 로봇 마스터 단말기를 사용해주셔서 감사합니다!
1TE0001131	어떻게 도와드릴까요?
1TE0001133	소개글
1TE0001134	기본 조작
1TE0001135	해충 박멸 가동
1TE0001136	해충 박멸 중지
1TE0001137	전체 해제 가동
1TE0001138	전체 해제 중지
1TE0001139	스트레스 테스트 가동
1TE0001140	스트레스 테스트 중지
1TE0001142	월 - 목 오전 7 - 오전 2
1TE0001143	일 오전 7 - 오후 9
1TE0001144	기억하세요, 화장실을 이용한 다음엔, 반드시 뒷정리를 해 주시길 바랍니다. 주위를 둘러봐서 만일 어느 화장실 휴지라도 바닥 여기저기 버려져 있다면 그걸 주워야 할 겁니다. 고객분들은 항상 깨끗한 화장실을 원하고 있습니다.
1TE0001146	남은 좌석
1TE0001147	누카-콜라 포장 제어 단말기 3C
1TE0001148	소프트웨어 버전 2.01.3a
1TE0001151	포장 라인 소개
1TE0001153	정렬 장치에 누카-콜라 삽입
1TE0001154	정렬 장치에 퀀텀 삽입
1TE0001155	경고 - 컨베이어 충돌
1TE0001156	포장 라인 가동
1TE0001159	MDCTA 서비스 단말기 - 
1TE0001160	저수지 가스/물 교환 456-12 제어 목록:
1TE0001163	가스 흐름 제어 시험.
1TE0001164	흐름 제어 시험 중지.
1TE0001165	보안 구역 잠금 해제
1TE0001166	보안 구역 잠금
1TE0001167	라일리 레인저스 열람 전용
1TE0001168	라일리에게 먼저 부탁하길 바란다, 멍청아!
1TE0001170	현재 인사 목록
1TE0001171	현재 계약
1TE0001172	라일리의 개인적인 기록
1TE0001184	지도제작 임무
1TE0001185	슈퍼 뮤턴트 박멸
1TE0001187	보고서 2241-02-10
1TE0001188	2241-02-10 공개 A
1TE0001189	2241-02-10 공개 B
1TE0001192	로봇 타겟 제외 번복
1TE0001193	인간형 타겟 제외
1TE0001198	비상 구역 해제
1TE0001201	EDU-OSv6.19.03
1TE0001202	환영합니다, 스위니 교장.
1TE0001204	프로텍트론 유닛 활성화
1TE0001205	프로텍트론 유닛 비활성화
1TE0001208	최근 운송에 관한 기록
1TE0001209	우리 개방 #364
1TE0001210	휴브리스 코믹스 출판사...
1TE0001211	양질의 인쇄본을 싼가격에 출판 중
1TE0001213	공기 청정기 제어
1TE0001214	주임실 잠금 해제
1TE0001215	출판 계획
1TE0001216	편지함(편집자)
1TE0001217	인쇄 관련
1TE0001218	휴브리스 코믹스 출판사 인쇄 단말기.
1TE0001219	인쇄기가 가동중일 때 손을 데지 마시오.
1TE0001221	인쇄기 켬
1TE0001224	인쇄기가 가동중일 때 손을 데지 마시오.
1TE0001226	인쇄 가동
1TE0001228	자동-기록 소프트웨어 ⓒ 2074 파그소프트
1TE0001229	어서오세요, 헤르만 그랜저
1TE0001230	접근 가능한 기록:
1TE0001232	자동-기록 소프트웨어에 대해
1TE0001233	[2077/10/18] 
1TE0001234	[2077/10/23]
1TE0001236	[2134/3/27] 
1TE0001237	[2134/4/27] 
1TE0001238	[2134/5/1]
1TE0001242	인쇄기 켬
1TE0001243	원고 확인
1TE0001244	잉크 잔량 확인
1TE0001245	종이 잔량 확인
1TE0001246	볼트 87 의료 구역 관리실 접근
1TE0001247	비상시에만 사용 해 주십시오
1TE0001249	독방 01 비상 개방
1TE0001250	독방 02 비상 개방
1TE0001251	독방 03 비상 개방
1TE0001252	독방 04 비상 개방
1TE0001253	독방 05 비상 개방
1TE0001257	개인 기록 176
1TE0001258	개인 기록 177
1TE0001259	개인 기록 178
1TE0001260	개인 기록 179
1TE0001261	볼트-텍 112 안전 원자 저장고 접속
1TE0001262	권한 없는 직원은 안전 구역으로 들어갈수 없습니다.
1TE0001264	볼트-텍 비상구 진입로 열기
1TE0001265	볼트 112 오버시어 접속
1TE0001266	어서오세요, 브라운 박사님
1TE0001278	라운지 #11 감시 초소
1TE0001279	연구생 ID: 비어 있음
1TE0001283	라운지 #23번 감시 스테이션
1TE0001284	거주민 ID: 알수 없음
1TE0001285	경고: 확인되지 않은 거주민 상태
1TE0001286	기록을 확인해주세요
1TE0001294	재고목록: 무기
1TE0001295	임시 조사 자료
1TE0001319	개인 기록 00897332
1TE0001320	개인 기록 00897357
1TE0001321	개인 기록 00897377
1TE0001322	개인 기록 00897398
1TE0001323	구역 4 보안 관계자 이상만 열람 가능
1TE0001325	볼트-내부 메일 00480
1TE0001326	볼트-내부 메일 00487
1TE0001327	볼트-내부 메일 00502
1TE0001328	볼트-내부 메일 00513
1TE0001331	수리 일지 TT007
1TE0001332	수리 일지 TT008
1TE0001333	수리 일지 TT009
1TE0001334	수리 일지 TT010
1TE0001335	수리 일지 TT011
1TE0001338	볼트-내부 메일 000476
1TE0001339	볼트-내부 메일 000482
1TE0001340	볼트-내부 메일 000519
1TE0001341	금고 열기
1TE0001342	안녕하세요, 닥터 레스코.
1TE0001343	무엇을 도와 드릴까요?
1TE0001345	반응 억제 파동 송신
1TE0001346	돌연변이 유도 물질 샘플 파괴
1TE0001347	새로운 돌연변이 유도 물질 합성
1TE0001350	네트워크 연결 갱신
1TE0001353	개인 감금 시스템
1TE0001355	당신이 이것을 읽고 있다면, 여기서 당장 꺼지는 게 좋을걸!
1TE0001358	캔터베리 수색팀으로부터의 통지
1TE0001359	"우리를 연마시킨 그 불길을 기억하라. 그것을 잊는 자는 방황할 것이다."
1TE0001361	연구 기록 - 미사일 런처
1TE0001365	분석
1TE0001366	중요 구성 요소
1TE0001367	실제 운용
1TE0001368	유지
1TE0001371	연구 기록 - 플라즈마 소총
1TE0001374	연구 기록 - 미니 건
1TE0001377	연구 기록 - 펄스 수류탄
1TE0001380	연구 기록 - 엔클레이브 아머
1TE0001383	<자료 기록 - 프로텍터 캐스딘>
1TE0001384	<자료 기록 - 디펜더 락파울>
1TE0001385	접속 해제
1TE0001388	<자료 기록 - 디펜더 락파울>
1TE0001389	초기형 메딕 아머
1TE0001390	USAF 야외 군사행동 연구개발
1TE0001392	스테이시스 필드 정지
1TE0001393	스테이시스 필드 가동
1TE0001398	제너럴 어토믹스 인터네이셔널. 
1TE0001399	편리한 재택 서비스 3.1
1TE0001401	집에 오신걸 환영 합니다, 맥클레란 부인!
1TE0001402	항목을 선택해 주십시오
1TE0001404	유닛 해제
1TE0001405	머피 위치
1TE0001406	식료품 주문
1TE0001407	아이들에게 시 읽어 주기
1TE0001408	주택 안전 모드
1TE0001409	케이시 스미스 자동차 수리점
1TE0001410	코르베가 공식 판매/수리 지점
1TE0001440	수경법 진척
1TE0001441	의회 회의 의사록
1TE0001445	아젠다 시찰
1TE0001454	원형회랑 화물 승강기 잠금해제
1TE0001455	보관소 메인프레임 접근
1TE0001457	볼트-텍 법인 본부
1TE0001458	워싱턴 D.C.
1TE0001459	일반 사원 접근
1TE0001461	중요 보고
1TE0001462	사내 저장소
1TE0001463	수습 사원
1TE0001468	메시지 009AC 보안 공지
1TE0001472	메시지 0114D 볼트 92 변경점
1TE0001477	볼트-텍 야구 모자
1TE0001478	볼트-텍 티셔츠
1TE0001479	볼트-텍 가죽 보머 자켓
1TE0001480	볼트-텍 골프 티
1TE0001481	볼트-텍 아늑한 음료
1TE0001482	볼트-텍 도시락
1TE0001483	볼트-텍 버블헤드
1TE0001489	메인프레임 스테이션 1 접근 인가
1TE0001490	스테이션 1 메인프레임 접근 인가됨
1TE0001491	마스터브레인 셧다운
1TE0001492	마스터브레인 스테이션 1 셧다운 승인됨
1TE0001498	메인프레임 스테이션 2 접근 인가
1TE0001499	스테이션 2 메인프레임 접근 인가됨
1TE0001501	스테이션 2 마스터브레인 셧다운 승인됨
1TE0001507	메인프레임 스테이션 3 접근 인가
1TE0001508	스테이션 3 메인프레임 접근 인가됨
1TE0001510	스테이션 3 마스터브레인 셧다운 승인됨
1TE0001514	원자의 핵
1TE0001515	원자 재림의 논문
1TE0001516	핵분열의 초래
1TE0001519	인터콤: 담당 기술자 연결
1TE0001520	인터콤: 일반 서비스
1TE0001521	인터콤: 부엌
1TE0001522	인터콤: 기후 제어
1TE0001538	레오에 관한 기록들
1TE0001540	장부
1TE0001542	재고목록 기록
1TE0001543	마루 금고 잠금 해제
1TE0001560	볼트-텍사의 볼트 체험
1TE0001562	강연: 오펜하이머의 어리석음?
1TE0001564	보안 기록 보기
1TE0001565	보안 포탑 연결
1TE0001566	저장 된 기록: 오전 8:14
1TE0001567	저장 된 기록: 오전 8:21
1TE0001568	.......................
1TE0001569	. 쥬-롱 계획 .
1TE0001570	.시험모델 연구 보고서 .
1TE0001578	보관된 송장
1TE0001579	회사 정책
1TE0001580	(산기슭)
1TE0001584	(산기슭) 둘러 보기
1TE0001586	검 사용 그렐록
1TE0001587	마법의 검 사용 그렐록
1TE0001588	반짝이는 물건을 조사
1TE0001589	남쪽으로 가기
1TE0001592	녹슨 검
1TE0001593	휴대용 수통
1TE0001595	좀비 머리
1TE0001596	정제된 원석
1TE0001597	매혹적인 조각
1TE0001598	마법의 검
1TE0001599	놋 열쇠
1TE0001600	거친 원석
1TE0001602	(마을)둘러 보기
1TE0001603	대장장이와 대화
1TE0001605	사제와 대화
1TE0001608	북쪽으로 가기
1TE0001611	(성당)둘러 보기
1TE0001614	검 사용 좀비
1TE0001615	성당 조사
