1NO0000001	-----Case# 45602-----
1NO0000042	Grognak the Barbarian: Revenge of the Man-Saurian
1NO0000043	Tales from the Front: Alaska Unbowed
1NO0000045	Grognak's Salute to the Troops
1NO0000046	Tales from the Front: Liberated Canada
1NO0000047	Captain Cosmos: Invasion of the Black Planet
1NO0000048	Drake Tungsten, Chrono-Cowboy
1NO0000049	178956970.3
1NO0000050	Tales from the Front: the Red Terror
1NO0000051	Underground Life: Vault-Boy Special
1NO0000052	Grognak the Barbarian: An Axe For All Ages
1NO0000053	Captain Cosmos: the Radioactive Space-Men from Space!
1NO0000054	I can't believe I went through all that trouble to leave Navarro and make my way across the country just to get stuck in this shithole. I'll be damned if I'm going to die here.
1NO0000055	Now that we're cut off from Lesko and Wilks, I think we're on our own. The damn ants keep trying to find a way to get inside the house. Even as I'm typing this, I can hear them scraping the walls looking for a way through. I don't know how much longer we can last.
1NO0000056	I'm going to have to find a better way to protect Sheila and Will from those ants. Ever since Lesko came to town, I'm certain they're getting more and more aggressive. Wasteland ants are bad enough, but at least you can run away from them. These would seem to pursue you to the ends of the earth if they could. Call me crazy, but I swear I saw one start a fire the other day. I don't know how this could be happening.
1NO0000057	I've decided to dig up my old sidearm and keep it hidden on me at all times. If those things get too close, I'll blast the antennae right off their ugly heads.
1NO0000058	Some scientist named Lesko moved in with the Wilks family across the street. They are helping him make some sort of a structure on the old lot near the diner. Lesko offered to pay me caps if I helped, but I declined. I dunno who he's working for, but I don't think they're still looking for me.
1NO0000059	Our supplies are running low, and I need to begin foraging for food and some better drinking water. I'd have an easier time if it wasn't for the damn ants. I swear they have a nest around here somewhere.
1NO0000060	These ants are becoming a real pain in the ass. So much so that I had to take a trip to Megaton and buy a better gun to protect my family. It cost me a small fortune... I had to trade every bit of ant meat I had collected, but it was worth it. I'm teaching Frank and Sheila to use it just in case something happens to me. If one of you two are reading this, and I'm gone, I keep the gun in the kitchen behind the old fridge.
1NO0000061	The Nuka-Cola Corporation is pleased to announce to all it's employees that the first shipments of our Nuka-Cola Quantum  are on their way to retailers in the Washington D.C. area! This flagship test market program is the culmination of a three year research program to bring the refreshing taste of Quantum to market. Congratulations to all employees on a job well done!
1NO0000062	The following locations have been accepted into the flagship Nuka-Cola Quantum test program. Please ensure that 1 (one) crate of Quantum is included with their regular deliveries along with the advertising package provided by our Marketing Department.
1NO0000063	1. Paradise Falls Shopping Mart
1NO0000064	2. Super Duper Mart
1NO0000065	3. Old Olney Grocery
1NO0000066	Stage One of the Nuka-Cola Quantum marketing will include: 2 (two) 15 (fifteen)-second television commercials, 4 (four) 10 (ten)-second radio commercials and a highway billboard campaign.
1NO0000067	The spots on TV and radio will tease the consumer with the blue glow of the new drink, never showing the bottle in an illuminated environment. The billboard will show the bottle's blue silhouette on a black background.
1NO0000068	The tag line will be "Try something new... Go Blue!". The name will not be revealed until Stage Two.
1NO0000069	Stage Two of the Nuka-Cola Quantum marketing will include: 2 (two) 30 (thirty)-second television commercials, 4 (four) 15 (fifteen)-second radio commercials and a highway billboard campaign.
1NO0000070	In this stage, the name "Quantum" will be revealed and the bottle shown in full view. We will emphasize the drink's new energy content and flavor.
1NO0000071	The tag line will be "Take the leap... enjoy a Quantum!"
1NO0000072	Stage Three of the Nuka-Cola Quantum marketing will include: 4 (four) 30 (thirty)-second television commercials, 4 (four) 15 (fifteen)-second radio commercials and a highway billboard campaign.
1NO0000073	In this final stage we will aggressively compare the drink to other competitors and show their inferiority using hired actors at "taste tests". The actors will read pre-written scripts approved by our department. The text should give an authentic "on the spot" impression but still clearly point out Quantum's strengths.
1NO0000074	The tag line will remain: "Take the leap... enjoy a Quantum!"
1NO0000075	Test subjects in the Nuka-Cola Quantum program are responding well to the reconfigured taste and the new isotope. The only listed side effects from the group are: 3 cases of dizziness, 1 case of nausea and 1 case of impaired vision. We find from a sampling of 50 that this is an acceptable number of cases and approve this product for production.
1NO0000076	Isotope CE772 has proven too damaging to the initial test group which now needs to be disbanded due to their reluctance to continue in our program. This group has suffered 4 fatalities, 12 major internal organ failures and 32 internal radiation burns. This is an unacceptable number of issues in a given test group and recommend we switch to an alternate isotope (such as CE774 or UR993).
1NO0000077	Isotope CE770 has proven to be a disastrous failure. All of the test subjects suffered severe internal organ failures and died within three days of ingestion. We recommend the immediate destruction of container A32 in the production rooms and suggest switching to isotope CE772. Please send standard "Nuka Condolences" Fruit and Cheese Packages to test group member's families.
1NO0000078	Vampires are beings based in folklore that prey on humans for the purpose of obtaining their blood. In these fictitious stories, the blood serves as both a food source and a center of power for the vampire. It is a common motif in these tales that a victim could become a vampire if bitten by one. Other noted attributes of the vampire are its abilities to change into the form of a bat or a wolf, to become gaseous at will, the ability to hypnotize the opposite gender and increased life span.
1NO0000079	It is interesting to note that the vampire is traditionally regarded in literature as having an aversion to sunlight. Many people believe this may stem from the misunderstanding of common phobias such as photophobia and heliophobia or even the actual physical issue of photosensitivity. In all of these accounts, the subject withdraws from daytime activities and is rarely seen outdoors. In the 18th century, with medical science in its infancy, this commonly gave rise to ridiculous accusations by the uninformed that these people were "strange" or "cursed". This is likely the reason vampires are awarded this attribute in their stories.
1NO0000080	Depending on the cultural source, there are several ways to kill or destroy a vampire. The most common is by driving a wooden stake usually composed of ash, hawthorn or oak through the vampire's heart. In some cultures, the stake was driven through the mouth or stomach as well. Other tales tell of decapitation or immolation being the preferred method of destruction along with anything else that can completely annihilate the vampire's physical form.
1NO0000081	Recovery of the Declaration of Independence seems to be a loss. That damn woman I hired, Sydney, she said she could do it. Haven't seen her in months. I bet she's dead or ran off with the advance I gave her. That's the last time I trust someone. Told Harkness to keep an eye out for her just in case she ever comes back to the city. That's what I get for sending a woman to do a man's job!
1NO0000082	Came to find out through the grapevine that there are a bunch of Lincoln's artifacts still in the Museum of History. I think I may branch out from just collecting documents if I could get my hands on those gems. Only problem is I have to find someone braver than me who can get to the museum in one piece.
1NO0000083	Bumped into a traveler a little while ago who showed me what he said was a fragment of the actual Liberty Bell! Poppycock! The Liberty Bell is still intact and laying in the ruins of Philly. I have funded an expedition to that dump in hopes of having the entire bell brought back to my museum.
1NO0000084	The Constitution of the United States was drafted in 1786 and adopted a year later by the Constitutional Convention of Philly. This document defines the organization of the U.S. government and sets forth the rules and regulations, known as articles. In addition, there are modifications made to the articles by ruling Presidents during their reigns known as amendments. The society owns the only known copy of the document to exist which was retrieved from the ruins of the National Archives in 2256.
1NO0000085	The Emancipation Proclamation was a document issued by the breathtakingly charismatic President Abraham Lincoln in 1862. This executive order was the beginning of the end of slavery in the United States. Although it was issued during the Civil War, making it a war measure, it paved the way for the Thirteenth Amendment of the Constitution which completely abolished slavery once and for all.
1NO0000086	The Capital Preservation Society is proud to have in its possession a copy of one of the most iconic and prolific speeches in United States history. This speech, given by the astonishingly intelligent Abraham Lincoln on Thursday, November 19, 1863, laid the groundwork for what would later become the basis of democracy in the United States and set the standards for a country with a government "by the people, for the people."
1NO0000087	The Monroe Doctrine was presented in 1823 by the average and unremarkable President James Monroe. The document warns the European powers of the time not to interfere in the affairs of the Western Hemisphere, citing the examples of colonization and puppet governments as possible intolerances.
1NO0000088	Part of our collection is a copy of the formal declaration of war made on Germany during World War II on December 11, 1941 by the government and endorsed by the President Franklin D. Roosevelt.  While the document doesn't evoke the brilliance of other masterworks like the Emancipation Proclamation, it still served as a reminder to the world that the United States wasn't a power to be trifled with.
1NO0000089	Although it is uncertain when the Declaration of War on China was made (some say 2066 when they invaded Alaska, others say 2067 when the first Power Armor suits were deployed to counter their forces), it is the last known document of note authored by the United States Government before the bombs fell. Had the Declaration had the tenacity and might of a stronger President behind it, say Abraham Lincoln, who's to say what the outcome of those tremulous years would have been?
1NO0000090	To: All Vault Residents
1NO0000091	From: Gordie Sumner
1NO0000092	I am pleased to announce that we now have strawberry pudding available in the Vault Store for 10 work credits. The supply is very limited of course, so hurry down and get some before it's all gone!
1NO0000093	To: Dan Kobachesky
1NO0000095	From your last mail, it seems we have a deal. I'll give you everything on your list in exchange for the weapon we discussed. Things are getting worse in this Vault with almost half of the residents going crazy. I just want to be prepared. Don't worry, I'll lock the gun in my safe so no one can easily trace it back to your department.
1NO0000096	To: Section 4 Lab Assistants
1NO0000097	From: Professor John Malleus
1NO0000098	Congratulations on a job well done, everyone! It seems like the current WN tests are a complete success, with less than a 1% margin of error. We still have much to do analyzing the data, but I think all of you deserve a pat on the back for excellent work. Let's keep it up!
1NO0000099	To: Richard Rubin, Overseer Vault 92
1NO0000101	Here is the data on Subject V920717 as requested. We are completely baffled as to why someone would behave in this manner after being subjected to the WN experiments. As soon as our autopsy is complete, we'll try and piece together why he went insane. I'm sorry about this, Rick. We'll get to the bottom of it soon.
1NO0000104	We have a serious problem on our hands, and you have yet to answer my last several intra-vault mails or even see me. I have seven more dead. Three other Vault 92 residents have suffered the same symptoms as Subject V920717. How many more of these people have to die before you realize we're in deep trouble? We're alone out here, no one will come to our rescue... if anyone is even left. We have to deal with this ourselves. Please, I beg you to see me immediately and call your goon squad off your living area doors!
1NO0000107	Section 4 is under heavy guard now. I can't even get in without a personal escort. It's my estimate that over thirty percent of the Vault's entire population is now clinically insane and poses a real danger to the rest of us. We have to consider the possibility we may need to abandon the Vault completely. Better to take a chance outside than in here. You still won't speak to me, and any attempt I've made to see you have ended in scuffles with your guards. It's obvious something's going on and I'm going to find out what.
1NO0000108	The command phrase is no longer working against the crazies. I don't know what the hell happened, but I'm losing control of the situation. If we don't get things under control soon, we're going to have a huge revolt on our hands. Malleus is inciting the rest of the Vault into action. I'm afraid by the power invested in me by the Vault-Tec Corporation, I have no choice but to have him killed. What a waste.
1NO0000109	Maintenance Code: RL04 Red
1NO0000110	Issue: Section 4 Security Upgrade
1NO0000111	Engineer: Carl Maynard
1NO0000112	Fix Notes:
1NO0000113	...DETAILS OVERWRITTEN...
1NO0000114	Maintenance Code: RL01 Yellow
1NO0000115	Issue: Air Conditioning System Odd Smell
1NO0000116	Engineer: Zack Foxworthy
1NO0000118	This was nasty. Seems when Vault-Tec built this place, they decided to go ahead and parallel route the waste disposal dumping system with the air conditioning ducts. In some places, the ductwork is corroding, which has spread to the waste pipes. So now we have the waste products leaking into the venting. The airflow through the ducts is carrying the smell into most of Men's Dormitory 1, 2 and 5. Had to climb in there and patch it all up.
1NO0000120	Issue: Wall Deterioration D Level
1NO0000123	Ongoing. I have stress fractures and water seepage in three areas on D Level. I can only conclude that there is an adjoining underground spring or lake that is putting pressure on the concrete walls. I have already patched the stress fractures and used the metal plating that we normally use for flooring to shore it up for now. I recommend we get all the engineers together on this issue and come up with some sort of a more permanent solution, otherwise we'll be knee deep in nasty groundwater or worse.
1NO0000124	Maintenance Code: RL00 Green
1NO0000125	Issue: Squeaky Office Chair
1NO0000128	This huge emergency was immediately addressed by our crack engineering team. We ran up to Professor Malleus's office and deployed the Fluidic Lubrication Injector in an effort to stop impending doom from destroying us all. Okay fine, we oiled his damn chair. Is this really the kind of crap that's worth submitting a trouble ticket for?
1NO0000129	To: Hilda Egglebrecht
1NO0000130	From: Parker Livingsteen, Studio Supervisor
1NO0000131	Hi Hildie. Just wanted to send you a quick note. Our "session" together yesterday was wonderful! I'm glad the studio doors lock, otherwise some of your stuffier fellow musicians might not appreciate how closely you and I work. Make sure when we meet tonight, you bring your delicate instrument, and your violin too. I have an idea of something we can do with the bow; a new technique I've always wanted to try...
1NO0000132	It's so wonderful to be surrounded by all this talent! Little old me, who can barely play the violin, is sitting among some of the world's greatest musicians. I still can't believe my luck!
1NO0000133	Today was great too. I was able to record an entire symphony... Haydn's Symphony No. 3 in d minor. It was so beautiful! I could barely keep up with everyone else in the string section, but they were so nice. They encouraged me instead of being stuffy jerks or something. Best of all, they record all of it and then let you hear yourself play on the studio's speakers. I can't wait until tomorrow... I hear we're doing a piece from Dvorak!
1NO0000134	I've been feeling a little sick lately. Kind of woozy after playing in the studio usually. It gets so stuffy in that place, but it's sure worth it. I know I'm getting better just from watching my fellow violinist's techniques. They don't even mind giving me some pointers. Tonight, a bunch of us girls from the string section are going down to the rec hall for a dance. I hope that cute sound guy Parker asks me to dance. He's dreamy.
1NO0000135	I'm nnot feling vvery good. I cant concentrate I wen t to Doctoor Bennisons offfice but he jusst said its stress and too take iit easy for a whil I think al the timee I am spendng inn the soundd sttudo is makd in g me tired I can barele type anymoor I am shaking so muc
1NO0000136	aw;'jf OrDe R p[fal al Hlep HeLp dme Me, LosS mInd CANdofw stopthem gEt OUT m[pofmy HED
1NO0000137	Artillery Order #562
1NO0000138	Talon Company Support Team Alpha
1NO0000139	Location: Seward Square
1NO0000140	Take position on the skybridge near Seward Square and protect the squad's right flank.  Bring plenty of ammo because you're going to be there for awhile.  A small team has been dispatched to secure the Capitol Building's south wing.  We suspect minor resistance in that sector, but if need arises, we've locked in some artillery coordinates.  Call in the strikes by using the switch we've provided for you.
1NO0000141	(CORRUPTION DETECTED)
1NO0000142	(ATTEMPT PARTIAL RECOVERY)
1NO0000143	//*&*mpt #53:
1NO0000144	Gary 53 is hostile toward all non-clones, as was /.e case with t_e prev1ous 52 attempts.  We may have to con*&der a mea_s of disposal of the pre|existin* Gary clones, as the obs_rvation r00ms are g3tting quite full.
1NO0000145	A//empt #54:
1NO0000146	Gary 54 e>hibit5 no ch4nge in hostility toward non-clones.  If anYThing/ he is even more hostile.  Dr. P_tersOn can attest to this, having b33n injured while e><mining Gary 54.  Tomorrow we are goi^g to dispose *f several of the Gary clones, wh1(h will leave room for many more a//3mpts.
1NO0000147	Nan needs to cut it with these crap stories about beasts lurking in the depths of the cave.  Nonsense is scaring the children.  I've set up make-shift barriers until we have time to make permanent ones.  The barriers are there more for my own sanity than anything.
1NO0000148	We've been in this cave for a month now and we've finally been able to get everything settled.  It's nice to be inside and not have to worry about raiding parties overrunning our camp at night.  We're safe here and that's all that matters at the moment.
1NO0000149	The unit designated BGWIN009 "Button Gwinnett" is suffering from a system memory leak. I've had to flush the unit's core CPU several times last month; it's getting all of its orders and directives confused. The unit's reenactment subroutines are interfering with its tour guide subroutines, causing conflicting actions and scaring the visitors to our galleries. Recommend shutdown of this unit and replacement of central core.
1NO0000151	TRT007, one of our automated turrets, is constantly locking in its reset position. It is not responding properly to calibration nor will it track the test targets properly. This is likely due to its tracking array being misaligned with its targeting laser (a common problem in all of our automated turrets). Recommend replacement of tracking array.
1NO0000153	EMT002 unit "Nightingale" is back online after an extensive refit. I've replaced its surgical arm, injector units, gyro-stabilizer system and thruster number three. The unit's central core has been reset and is now ready for service.
1NO0000155	The BGWIN009 Button Gwinnett Unit is designed primarily as a participant in our reenactments of the signing of the Declaration of Independence show. This unit plays the part of Button Gwinnett of Georgia, second signer of the Declaration. This unit is also programmed with the standard Tour Guide Assistance subroutines and limited Security subroutines.
1NO0000156	The JHANC003 John Hancock Unit is designed primarily as a participant in our reenactments of the signing of the Declaration of Independence show. This unit plays the part of John Hancock of Massachusetts, first signer of the Declaration. This unit is also programmed with the standard Tour Guide Assistance subroutines and limited Security subroutines.
1NO0000157	The RC hydroponics have been restored to basic functionality - easy enough after all our research. The limited amount of clean water we can produce is enough for growing basic foodstuffs.
1NO0000158	Still no progress on any mass-purification tests, and with all of the maintenance that has to be done around here, there's hardly any time to attempt new experiments.
1NO0000159	In any case, RC wouldn't work as a location for truly large scale decontamination. The infrastructure just isn't here, and the idea of recreating it again is too daunting to convince the rest of the council.
1NO0000160	And that's even if the process worked.
1NO0000161	In attendance:
1NO0000162	Science Rep. - Dr. Madison Li
1NO0000163	Civilian Rep. - Bannon
1NO0000164	Security Rep. - Harkness
1NO0000165	* Bridge repair continues to be a drain on funds. Permanent bridge considered, but dismissed as too risky, in case of attack.
1NO0000166	* "Bridge Tax" for non-residents proposed by Bannon. Vote fails.
1NO0000167	* Hydroponics and city health continues well, thanks to the efforts of Dr. Li and her scientific team. However, system breakdowns are commonplace, requiring much maintenance.
1NO0000168	*  Li proposed recruiting other scientific minds from Tenpenny Tower or Underworld. Vote fails.
1NO0000169	* Attempts to clear out the Mirelurk infestation in down-below continue as usual. Harkness and team is able to contain them and occasionally wipe them out, but they continue to nest in the area, posing a theoretical risk if they ever turn aggressive towards higher decks.
1NO0000170	* Bannon suggests closing off lower deck fore. Vote fails.
1NO0000171	* Funds and ammunition allocation for a Mirelurk cleaning operation proposed by Harkness. Vote passes.
1NO0000172	* Dr. Li leaves early to oversee hydroponics testing.
1NO0000173	* Meeting adjourned.
1NO0000177	Security Rep. - Lana Danvers
1NO0000178	* Trader relations good - we continue to be one of the only reliable sources of clean vegetable foodstuff.
1NO0000179	* Bannon proposed raising price of exported fruit by 50%. Vote fails.
1NO0000180	* Li reports progress made with new tweaks to hydroponics system. Further testing necessary before complete success, she says.
1NO0000181	* Danvers reports necessary ship maintenance in hangar deck level. Proposes increased allocation to internal maintenance to prevent decay from progressing to a dangerous point. Vote succeeds.
1NO0000182	* Rumors of increased slave, raider, and Super Mutant activities in DC have prompted Danvers to renew combat training for city guards.
1NO0000183	* Dr. Li called away to handle hydroponics system shortage.
1NO0000185	Apart from the standard dangers, Rivet City provides a few uncommon problems for long-time residents:
1NO0000186	* Lockjaw: Muscle spasms, especially of the jaw, from getting cuts on the rusty ship hull. Treat with penicillin, when available.
1NO0000187	* Red-lung: Respiratory problems from regularly inhaling rust particles - particularly a problem for hangar deck residents and shut-ins. Treat with steam therapy and time outside to flush system.
1NO0000188	* Fish poisoning: Less of a problem nowadays, but occasionally someone finds a fish in the river and is dumb enough to try to eat the thing. Radiation levels spike and mercury poisoning drives most victims crazy. No cure, but at least people nearby get a reminder not to do it.
1NO0000189	Bannon: Still suffering from his "social problem." Keep on penicillin, and try to convince him to watch out in the future.
1NO0000190	Brock: Another day, another broken nose. Rare to see him as a patient, but at least the people he "refers" are still alive. Barely.
1NO0000191	Cantelli, Paulie: Treatment for the steady stream of his addictions would be a steady income, but I can't waste the resources on him if he's just going to get hooked again.
1NO0000192	Holmes, Seagrave: Chronic case of red-lung from all his repairs below-decks. Prescribed a few hours of fresh air up top every night.
1NO0000193	Staley, Gary: Exhaustion. The man really needs to take a rest at some point. But then again, who doesn't?
1NO0000194	Trinnie: Surprisingly healthy, apart from the alcoholism and other chronic dangers of her line of work. Guess they grow them strong in Lamplight.
1NO0000195	"We excel at destroying the old world, and we excel at building a new one."
1NO0000196	- Chairman Cheng
1NO0000197	Two hundred years ago, Chairman Cheng led his armies to defeat the decadent rulers of this land. Now, his humble descendant, Comrade Cheng, shall lead its noble people to rebuild a brighter land in its place!
1NO0000198	By uniting to work together, we can eradicate the twin dangers of lawlessness and disease. With unified soldiers, we can cleanse the land of beasts and highwaymen. With organized farmers, we can overcome starvation and poverty.
1NO0000199	When competing villages are destroyed, all must unite under the glorious leadership of Comrade Cheng and the Tenpenny Commune!
1NO0000200	I've learned from Sydney that password to unlock the Rotunda Cargo Lift to the lower level is "We the People."
1NO0000201	Due to compromised security, the password to the terminal that controls the Washington Monument entry gate has recently been changed. The new password is now "Renfield".
1NO0000202	Paladin Berrings, 2nd Monument Defense Detachment
1NO0000203	Blah blah blah blah blah.
1NO0000204	Blah dee blah blah.
1NO0000220	Pulse: 75 bpm
1NO0000221	BP: 118/82 mmHg
1NO0000222	Temp: 98.7 F
1NO0000223	Respiratory Rate: 17/min
1NO0000224	Pulse: 82 bpm
1NO0000225	BP: 121/80 mmHg
1NO0000226	Temp: 97.9 F
1NO0000227	Respiratory Rate: 19/min
1NO0000228	Pulse: 112 bpm
1NO0000229	BP: 130/90 mmHg
1NO0000230	Temp: 98.9 F
1NO0000231	Respiratory Rate: 22/min
1NO0000232	Pulse: 85 bpm
1NO0000233	BP: 140/90 mmHg
1NO0000236	Pulse: 87 bpm
1NO0000237	BP: 140/85 mmHg
1NO0000238	Temp: 98.2 F
1NO0000239	Respiratory Rate: 18/min
1NO0000240	Pulse: 92 bpm
1NO0000241	BP: 150/80 mmHg
1NO0000243	Respiratory Rate: 20/min
1NO0000245	BP: 110/70 mmHg
1NO0000246	Temp: 98.3 F
1NO0000247	Respiratory Rate: 13/min
1NO0000248	Pulse:  80 bpm
1NO0000249	BP: ERROR
1NO0000250	Temp: 00.0 F
1NO0000251	Respiratory Rate: 5/min
1NO0000252	WARNING: ANOMALY DETECTED.
1NO0000253	Stress Level: Elevated
1NO0000254	Stress Level: Nominal
1NO0000260	Stress Level: Extreme
1NO0000261	WARNING: Resident requires medical attention
1NO0000262	Tenpenny will allow the ghouls to move in, if I convince certain residents of the tower:
1NO0000263	*Mr. & Mrs. Wellington
1NO0000264	*Mr. Ling
1NO0000265	*Ms. Montenegro
1NO0000266	*Ms. Lancaster
1NO0000267	An alliance of rebels has formed in my Vault, dedicated to the wholly destructive goal of re-opening the Vault to the outside world. Amata and Edwin Brotch are the leaders of the band, with those ridiculous Tunnel Snakes making up its muscle, along with a handful of other youths and naive idealists.
1NO0000268	Attempts to isolate and demoralize the group are proceeding apace: Edwin Brotch has been jailed for his attempt to lead a direct attempt to open the Vault's door, and their members have holed up in the old clinic and schoolroom. Their dwindling food and proximity to the dangerous "Dr. Andy" are sure to drain the morale from their rebellion, until they give up and are welcomed back into our happy family again.
1NO0000269	It pains me dearly to know that Amata is behind the rebellious element in my Vault. If she weren't their leader, it would be a simple matter to break their spirits and bring them back in line with the Vault's time-proven isolation plan.
1NO0000270	But with her as a central figure in their rebellion, I must refrain from the more persuasive tactics at security's disposal. I will not repeat the mistakes of that night again. The Vault cannot afford it, and I cannot bear to drive my daughter further away from me.
1NO0000271	Despite everything, I take great pride in her natural talent for leadership. When she inevitably comes around, I feel she will make a worthy successor to the position of Overseer.
1NO0000272	The Vault recently received unexpected radio contact over the governmental Vault-Tec frequency, from an organization calling itself "The Enclave."
1NO0000273	Governmental codes are valid according to the Vault's ancient records, and The Enclave put forth an offer of amnesty and unity with the official remnants of the American government, in exchange for access to the Vault and its data stores. They claim that our Vault passwords no longer match their records, preventing them from extending their offer in person.
1NO0000274	After brief negotiation, I have refused entrance to this "Enclave." I cannot trust my Vault and its inhabitants to an unknown factor, much less one that would so gallantly suggest abandoning our vault's great mission.
1NO0000275	All the more reason to prevent the rebels from opening the Vault to the likes of them.
1NO0000276	CONFIDENTIAL!
1NO0000277	TOP-LEVEL SECURITY ONLY!
1NO0000278	From: Chief Officer
1NO0000279	Subject: Raid on Rebels
1NO0000280	In light of increased agitation from the rebel elements, I have come to the conclusion that we can no longer afford to be merciful to this scum. While some may hold out hope for a peaceful resolution, it's only a matter of time before they decide to take the fight to us. Or, worse yet, our families.
1NO0000281	I propose a midnight raid into their compound - live ammo, zero tolerance. Make an example of the first two who fight back, and the rest will fall in line. We may lose a kid or two, but we'll save the Vault as a whole, and that's what counts.
1NO0000282	You are not to inform the Overseer and some of our softer security guards about this plan, as they will only object and ensure our defeat. Once the deal's done, they'll see it was worth the price.
1NO0000283	This'll show those scum what happens when you step out of line in our Vault.
1NO0000284	Jail Cell Password - Stockholm
1NO0000285	I've finally found a quiet place for my family. We've been running from one settlement to the next, just trying to keep out of sight. Now that I'm on the other coast, I feel mush safer.
1NO0000286	The family across the way from us seems pretty decent. Their kid, Bryan, likes to play with my son, which is great. It's hard for Will to make friends because we haven't stayed in one place long enough. Maybe we can finally put down some roots here in Grayditch.
