1TE0000004	Vault Door Activated
1TE0000672	Run Systems Purge
1TE0000675	Water Chip Undergoing Service.
1TE0000676	System temporarily suspended. Do not run purge - vital systems may be compromised.
1TE0000678	System Inactive - No Water Chip Located!
1TE0000679	Contact your Vault-Tec representative immediately for service. Evacuate to safe distance until repairs are complete.
1TE0000682	Notes On Stefan
1TE0000683	Disable Chips
1TE0000684	*****------  FIELD OPERATIONS
1TE0000685	*****------      ENCLAVE
1TE0000686	*****------
1TE0000687	-----------  GOD BLESS AMERICA
1TE0000690	[Read First]
1TE0000691	Request Main Base Connection
1TE0000692	Power Down Defense Grid
1TE0000694	Unlock Data Storage Room
1TE0000696	Allow Access
1TE0000697	Deny Access
1TE0000698	Noise Flush
1TE0000699	--Mariposa Station--
1TE0000700	Utitlity Terminal 6c
1TE0000702	Vent Exhaust
1TE0000706	Unlock Cell Door
1TE0000707	Lock Cell Door
1TE0000708	CONFIDENTIAL
1TE0000709	ERROR 0x0AABFF00
1TE0000710	"Primary power source unavailable"
1TE0000711	"Check all cords and plugs for connection"
1TE0000714	#System Upgrades Courtesy of Prime
1TE0000716	Exhibit Guide
1TE0000717	Special Events
1TE0000718	Planetarium Tickets
1TE0000719	Gigantomax Tickets
1TE0000720	#000
1TE0000721	#001
1TE0000722	#001 Confirmed
1TE0000723	#Get Passcode
1TE0000724	#Error
1TE0000725	#Passcode Given
1TE0000728	#009
1TE0000729	#019
1TE0000730	#030
1TE0000731	#049
1TE0000740	#002
1TE0000741	#002 Confirmed
1TE0000747	#024
1TE0000748	#038
1TE0000749	#053
1TE0000750	#088
1TE0000759	#003
1TE0000760	#003 Confirmed
1TE0000766	#099
1TE0000767	#105
1TE0000768	#111
1TE0000769	#113
1TE0000770	Museum of Technology Security
1TE0000772	Security Bulletin 001
1TE0000773	Security Bulletin 002
1TE0000774	Security Bulletin 003
1TE0000776	#Unlock Safe
1TE0000779	Unlock Planetarium Exit
1TE0000783	Stop Show in Progress
1TE0000784	Start Show
1TE0000787	Unlock Broadcast Booth Access
1TE0000791	Daily Affirmation
1TE0000808	Journal-It Software  2072 PagSoft USER: suk me  hahaha
1TE0000811	Log Entry #003
1TE0000812	Log Entry #002
1TE0000813	Log Entry #001
1TE0000814	disconnect user: SUK ME  HAHAHA
1TE0000817	Initiate Cleaning Program
1TE0000818	Initiate Security Program
1TE0000819	Discontinue Security Program
1TE0000821	Disable Security Screening Parameters
1TE0000822	Disable Security Screening
1TE0000823	Enable Security Screening Parameters
1TE0000825	Initialize Water Management Systems
1TE0000826	Turn On Backup Generators
1TE0000827	Unlock Secure Medical Safe
1TE0000832	View External Contact Report
1TE0000833	View Security Dossiers
1TE0000834	View Scouting Reports
1TE0000836	Open Overseer's Tunnel
1TE0000837	Close Overseer's Tunnel
1TE0000842	Unlock Vault Door Control Pod
1TE0000843	Open Door to Overseer's Tunnel
1TE0000844	Close Door to Overseer's Tunnel
1TE0000851	Security Openings
1TE0000867	Don Foster
1TE0000870	Richard Wyneski
1TE0000871	Drew Martinelli
1TE0000873	Mission Suspended
1TE0000875	Letter from Doctor Stanislaus Braun
1TE0000876	Attachment A
1TE0000877	Vault-Tec Scientific Entry: The G.E.C.K.
1TE0000882	Entry 2R-A0
1TE0000883	Entry 64D-A3
1TE0000884	-***-------  FIELD OPERATIONS
1TE0000885	*-*-*------      ENCLAVE
1TE0000886	-***-------
1TE0000890	Field Entry:  Bloatfly
1TE0000891	Field Entry: Brahmin
1TE0000892	Field Entry: Giant Ant
1TE0000899	Field Entry:  "Mirelurk"
1TE0000900	Field Entry: Great American Cockroach
1TE0000901	Journal-It Software  2072 PagSoft Isabella Proud's Journal
1TE0000904	Day 45
1TE0000905	Day 51
1TE0000906	Day 53
1TE0000907	Day 58
1TE0000908	Day 63
1TE0000909	Day 67
1TE0000910	Day 68
1TE0000911	Day 75
1TE0000912	disconnect user: ISABELLA PROUD
1TE0000923	Journal-It Software  2072 PagSoft USER: NO ENTRY
1TE0000926	Log Entry #006
1TE0000927	Log Entry #005
1TE0000928	Log Entry #004
1TE0000932	disconnect user: NO ENTRY
1TE0000934	Enter New Positioning Data
1TE0000935	Decrypt Coordinates: Satcom Array NW-07c
1TE0000936	Decrypt Coordinates: Satcom Array NN-03d
1TE0000937	Upload 'Highwater Trousers' Activation
1TE0000938	National Catastrophe Relief Auxiliary
1TE0000939	Response Unit MD-478
1TE0000940	Nancy Kroydon, Presiding Officer
1TE0000942	Log Entry #008
1TE0000943	Log Entry #007
1TE0000950	disconnect user: N Kroydon
1TE0000952	(Entry: Edgar)
1TE0000953	(Entry: Rochelle)
1TE0000954	(Entry: Tyrone)
1TE0000955	(Entry: Doc J)
1TE0000956	(Entry: Tyler)
1TE0000958	(Entry: Jim)
1TE0000962	28325
1TE0000963	28483
1TE0000964	28484
1TE0000965	Feb 13 2078
1TE0000966	Feb 14 2078
1TE0000967	Feb 28 2078
1TE0000969	Identify Specimen
1TE0000971	Terminate Specimen
1TE0000973	Guest Check-In
1TE0000974	Guest Check-Out
1TE0000975	Check Availability
1TE0000976	Unlock Front Desk Safe
1TE0000977	Guest Complaint Files
1TE0000978	Complaint Database - August 2077
1TE0000979	Please have guest be as descriptive as possible.
1TE0000982	Complaint 0002
1TE0000983	Complaint 0003
1TE0000984	Complaint 0004
1TE0000985	Nurse's Station 01
1TE0000986	Hospital Use Only
1TE0000988	Unlock Meds Supplies
1TE0000989	Injury Report 09087768
1TE0000990	Injury Report 09087790
1TE0000991	Injury Report 09087882
1TE0000992	Nurse's Station 02
1TE0000999	Nurse's Station 03
1TE0001006	Greetings Vault Technician!
1TE0001007	How Can This Terminal Help You Today?
1TE0001011	Auxiliary Command Terminal
1TE0001012	Please Consult A Supervisor Before Proceeding
1TE0001014	Access "Chinese Invasion" Program
1TE0001015	Access Version Control
1TE0001016	Dr. Braun Entry: Toucan Lagoon
1TE0001017	Dr. Braun Entry: Slalom Chalet
1TE0001018	Dr. Braun Entry: Tranquility Lane
1TE0001019	** !! SELECTIVE ACCESS !! **
1TE0001020	DC Transit Authority Personnel Only
1TE0001022	Disengage Overflow Door
1TE0001023	Journal-It Software  2072 PagSoft Ryan Brigg's Journal
1TE0001026	Recent Journal Entries
1TE0001027	Archived Journal Entries
1TE0001029	"Basic Operation" covers the factory duties of your co-workers, as described in your training manual.
1TE0001032	"Stress Testing" allows you to test the construction quality of recently produced models by setting current workers against each other.
1TE0001035	Return to Operations
1TE0001036	Arlington Public Library - Virginia Reads!
1TE0001037	Central Library Catalogue
1TE0001038	Welcome, Head Librarian Munson!
1TE0001040	Literacy Programs
1TE0001041	Access Card Catalogue
1TE0001042	Transfer Library Archives
1TE0001044	Front Desk Check-In Station
1TE0001045	Welcome, Librarian Meier!
1TE0001047	New Membership
1TE0001049	Access Library Archives
1TE0001050	Check-In Books
1TE0001058	Mr. Burke
1TE0001059	James (Vault 101)
1TE0001060	Fort Constantine, MD
1TE0001061	Welcome, Commander
1TE0001062	(Private Use Only)
1TE0001063	(All use monitored by USAF Intelligence)
1TE0001065	Activate Bunker Door
1TE0001066	Journal-It Software  2072 PagSoft USER: Ryan Brigg's
1TE0001069	Log Entry #173
1TE0001070	Log Entry #172
1TE0001071	Log Entry #171
1TE0001072	Log Entry #87
1TE0001073	Log Entry #86
1TE0001074	Archived Entries
1TE0001075	disconnect user: RYAN BRIGGS
1TE0001078	USAF One-Touch Command SysOps
1TE0001081	Launch ICBM
1TE0001082	ICBM Launching...
1TE0001083	Missile Launch Error!
1TE0001085	It's a secret to everybody.
1TE0001086	*******Authorized Personal Only*******
1TE0001087	This room is to remain locked at all times. Use of this terminal without proper clearance is strictly forbidden.
1TE0001088	**Area is under surveillance**
1TE0001094	Unlock Outer Door
1TE0001100	Experiment 27CE
1TE0001101	Experiment PP216
1TE0001103	Tunnel Snakes
1TE0001107	Rebels
1TE0001110	Welcome Mr. Johnson
1TE0001111	Please refrain from making inappropriate comments and actions towards the female employees.
1TE0001112	As is company policy, this reminder will remain on screen for as long as Human Resources deems necessary.
1TE0001115	Memo: Sexual Harassment Charge
1TE0001116	Memo: Responding to Federal Raids
1TE0001118	Welcome Ms. McAndrews
1TE0001120	Sent: Hostile Workplace
1TE0001122	Re: Weapon Practice Tonight
1TE0001123	Memo: Caps in Emails
1TE0001124	L.O.B. Enterprises Chief Executive Terminal
1TE0001127	Memo: Weapon Practice Tonight
1TE0001130	Welcome to the RobCo Facilities Robot Master Terminal!
1TE0001131	How may I assist you this fine day?
1TE0001133	Orientation Guide
1TE0001134	Basic Operation
1TE0001135	Initiate Pest Extermination
1TE0001136	Cease Pest Extermination
1TE0001137	Initiate Total Liquidation
1TE0001138	Cease Total Liquidation
1TE0001139	Initiate Stress Testing
1TE0001140	Cease Stress Testing
1TE0001142	Mon - Th         7 AM - 2 AM
1TE0001143	Sun              7 AM - 9 PM
1TE0001144	Remember, after using the restroom, don't just walk out without cleaning up. Take a look around and see if there are any toilet tissues lying about and pick them up. A customer always appreciates a clean restroom.
1TE0001146	Seats Available
1TE0001147	Nuka-Cola Packing Terminal 3C
1TE0001148	Software Version 2.01.3a
1TE0001151	Packing Line Instructions
1TE0001153	Load Nuka-Cola into Sorting Unit
1TE0001154	Load Quantum into Sorting Unit
1TE0001155	WARNING - Conveyors Jammed
1TE0001156	Activate Packing Line
1TE0001159	MDCTA Service Terminal -
1TE0001160	Gas/Water Reservoir Exchange 456-12 Access Menu:
1TE0001163	Begin gas main flow test.
1TE0001164	Stop gas flow test.
1TE0001165	Unlock security safe
1TE0001166	Lock security safe
1TE0001167	Reilly's Rangers Eyes Only
1TE0001168	Hope you asked Reilly first, you dumbass!
1TE0001170	Current Personnel Listing
1TE0001171	Current Contracts
1TE0001172	Reilly's Personal Notes
1TE0001184	Mapping Contract
1TE0001185	Super Mutant Eradication
1TE0001187	Report 2241-02-10
1TE0001188	2241-02-10 Exhibit A
1TE0001189	2241-02-10 Exhibit B
1TE0001192	Override Robotic Target Exclusion
1TE0001193	Exclude Humanoid Targets
1TE0001198	Emergency Cell Release
1TE0001201	EDU-OSv6.19.03
1TE0001202	Welcome, Headmaster Sweeney.
1TE0001204	Activate Protectron Unit
1TE0001205	Deactivate Protectron Unit
1TE0001208	Note Regarding Recent Delivery
1TE0001209	Unlock Cage #364
1TE0001210	Hubris Comics Publishing -
1TE0001211	Publishing Quality Prints at Quality Prices
1TE0001213	Air Conditioning Controls
1TE0001214	Unlock Foreman Door
1TE0001215	Release Schedule
1TE0001216	Letters to the Editor
1TE0001217	Press Release
1TE0001218	Hubris Comics Publishing Printing Press Terminal.
1TE0001219	Remember to make sure no one is near the press while operating.
1TE0001221	Turn on Printing Press
1TE0001224	Please keep hands away from Printing Press while it's in operation.
1TE0001226	Operate Printing Press
1TE0001228	Auto-dictation software  2074 PagSoft
1TE0001229	Welcome, HERMAN GRANGER
1TE0001230	Available records in memory:
1TE0001232	About Auto-Dictation Software
1TE0001233	[10/18/2077]
1TE0001234	[10/23/2077]
1TE0001236	[3/27/2134]
1TE0001237	[4/27/2134]
1TE0001238	[5/1/2134]
1TE0001242	Turn Printing Press On
1TE0001243	Check Manuscript
1TE0001244	Check Ink Levels
1TE0001245	Check Paper Stock
1TE0001246	Vault 87 Medical Wing Maintenance Access
1TE0001247	Emergency Use Only
1TE0001249	Iso Room 01 Door Emergency Release
1TE0001250	Iso Room 02 Door Emergency Release
1TE0001251	Iso Room 03 Door Emergency Release
1TE0001252	Iso Room 04 Door Emergency Release
1TE0001253	Iso Room 05 Door Emergency Release
1TE0001257	Personal Entry 176
1TE0001258	Personal Entry 177
1TE0001259	Personal Entry 178
1TE0001260	Personal Entry 179
1TE0001261	Vault 112 Security Stockpile Access
1TE0001262	No Unauthorized Personnel Inside the Security Zone.
1TE0001264	Open Vault-Tec Access Hatch
1TE0001265	Vault 112 Overseer Access
1TE0001266	Welcome, Dr. Braun.
1TE0001278	LOUNGER #11 MONITOR STATION
1TE0001279	RESIDENT ID: UNOCCUPIED
1TE0001283	LOUNGER #23 MONITOR STATION
1TE0001284	RESIDENT ID: UNKNOWN
1TE0001285	WARNING: UNVERIFIED RESIDENT STATUS
1TE0001286	PLEASE CHECK LOGS
1TE0001294	Inventory: Weapons
1TE0001295	Transient Census
1TE0001319	Personal Entry 00897332
1TE0001320	Personal Entry 00897357
1TE0001321	Personal Entry 00897377
1TE0001322	Personal Entry 00897398
1TE0001323	Restricted to Section 4 Clearance Only
1TE0001325	Intra-Vault Mail 00480
1TE0001326	Intra-Vault Mail 00487
1TE0001327	Intra-Vault Mail 00502
1TE0001328	Intra-Vault Mail 00513
1TE0001331	Trouble Ticket TT007
1TE0001332	Trouble Ticket TT008
1TE0001333	Trouble Ticket TT009
1TE0001334	Trouble Ticket TT010
1TE0001335	Trouble Ticket TT011
1TE0001338	Intra-Vault Mail 000476
1TE0001339	Intra-Vault Mail 000482
1TE0001340	Intra-Vault Mail 000519
1TE0001341	Unlock Safe
1TE0001342	Hello, Doctor Lesko.
1TE0001343	What can I do for you today?
1TE0001345	Send Inhibitor Pulse
1TE0001346	Destroy Mutagen Sample
1TE0001347	Synthesize New Mutagen Formula
1TE0001350	Update Network Connections
1TE0001353	Personal Restraint Systems
1TE0001355	If you're reading this, you better get your ass out of here!
1TE0001358	Notice from Canterbury Search Party
1TE0001359	"Always remember the fires that we were forged in. Those who forget are lost."
1TE0001361	Research Log - Missile Launcher
1TE0001365	Analysis
1TE0001366	Critical Components
1TE0001367	Field Operation
1TE0001368	Maintenance
1TE0001371	Research Log - Plasma Rifle
1TE0001374	Research Log - Minigun
1TE0001377	Research Log - Pulse Grenade
1TE0001380	Research Log - Enclave Armor
1TE0001383	<Data Log - Prot Casdin>
1TE0001384	<Data Log - Def Rockfowl>
1TE0001385	Log out
1TE0001388	<Data Log - Defender Rockfowl>
1TE0001389	Medical Armor Prototype
1TE0001390	USAF Field Ops R&D
1TE0001392	Disable Stasis Field
1TE0001393	Enable Stasis Field
1TE0001398	General Atomics Intntl.
1TE0001399	In-Home Servant Interface 3.1
1TE0001401	Welcome Home, Mrs. McClellan!
1TE0001402	Please choose a task.
1TE0001404	Deactivate Unit
1TE0001405	Walk Muffy
1TE0001406	Pick Up Grocery Order
1TE0001407	Read Children Bedtime Poem
1TE0001408	Home Security Mode
1TE0001409	Casey Smith Auto Body & Repair
1TE0001410	Authorized Corvega Repair and Reseller
1TE0001440	Hydroponics Progress
1TE0001441	Council Meeting Minutes
1TE0001445	View Agenda
1TE0001454	Unlock Rotunda Cargo Lift
1TE0001455	Access Archives Mainframe
1TE0001457	Vault-Tec Corporate Headquarters
1TE0001458	Washington D.C.
1TE0001459	Standard Employee Access
1TE0001461	Important Bulletins
1TE0001462	Company Store
1TE0001463	Page Employee
1TE0001468	Message 009AC Security Notice
1TE0001472	Message 0114D Vault 92 Changes
1TE0001477	Vault-Tec Baseball Cap
1TE0001478	Vault-Tec T-Shirt
1TE0001479	Vault-Tec Leather Bomber Jacket
1TE0001480	Vault-Tec Golf Tee
1TE0001481	Vault-Tec Drink Cozy
1TE0001482	Vault-Tec Lunchbox
1TE0001483	Vault-Tec Bobblehead
1TE0001489	Mainframe Station 1 Access Approval
1TE0001490	Station 1 Mainframe Access Approved
1TE0001491	Masterbrain Shutdown
1TE0001492	Masterbrain Station 1 Shutdown Approved
1TE0001498	Mainframe Station 2 Access Approval
1TE0001499	Station 2 Mainframe Access Approved
1TE0001501	Station 2 Masterbrain Shutdown Approved
1TE0001507	Mainframe Station 3 Access Approval
1TE0001508	Station 3 Mainframe Access Approved
1TE0001510	Station 3 Masterbrain Shutdown Approved
1TE0001514	Atom's Nucleus
1TE0001515	Treatise On Atom's Second Coming
1TE0001516	Bringing About The Division
1TE0001519	Intercom: Operator
1TE0001520	Intercom: General Services
1TE0001521	Intercom: Kitchen
1TE0001522	Intercom: Climate Control
1TE0001538	Notes On Leo
1TE0001540	Cash Notes
1TE0001542	Inventory Notes
1TE0001543	Unlock Floor Safe
1TE0001560	Vault-Tec's Vault of Tomorrow
1TE0001562	Lecture: Oppenheimer's Folly?
1TE0001564	View Security Feed
1TE0001565	Bring Security Turrets Online
1TE0001566	Saved Feed Still: 8:14am
1TE0001567	Saved Feed Still: 8:21am
1TE0001568	.......................
1TE0001569	.PROJECT ZHU-RONG     .
1TE0001570	.PROTOTYPE LAB REPORTS.
1TE0001578	Saved Invoice
1TE0001579	Company Policies
1TE0001580	(Mountainside)
1TE0001584	(Mountainside) Look Around
1TE0001586	Use Sword Grelok
1TE0001587	Use Magical Sword Grelok
1TE0001588	Investigate glinting object
1TE0001589	Go South
1TE0001592	Rusty Sword
1TE0001593	Drinking Flask
1TE0001595	Zombie Head
1TE0001596	Refined Gemstone
1TE0001597	Magical Shard
1TE0001598	Magic Sword
1TE0001599	Brass Key
1TE0001600	Raw Gemstone
1TE0001602	(Town) Look Around
1TE0001603	Speak with blacksmith
1TE0001605	Speak with priest
1TE0001608	Go North
1TE0001611	(Chapel) Look Around
1TE0001614	Use sword zombie
1TE0001615	Examine chapel
1TE0001616	Examine grave
1TE0001619	Go West
1TE0001622	(Swamp) Look Around
1TE0001623	Talk to the wizard
1TE0001627	Go East
1TE0001630	Activate Barrier
1TE0001631	Disable Barrier
1TE0001639	RESIDENT ID: 906 -- FOSTER, W.
1TE0001646	RESIDENT ID: 642 -- UNOCCUPIED
1TE0001647	WARNING: MECHANICAL MALFUNCTION DETECTED. PLEASE SCHEDULE MAINTENANCE
1TE0001654	Question One - CORRECT!
1TE0001656	Question Two - CORRECT!
1TE0001658	Question Three - CORRECT!
1TE0001660	Question Four - CORRECT!
1TE0001662	Question Five - CORRECT!
1TE0001664	Question Six - CORRECT!
1TE0001666	Question Seven - CORRECT!
1TE0001667	Question Eight
1TE0001668	Question Eight - CORRECT!
1TE0001669	CONGRATULATIONS! Claim Your Prize!
1TE0001672	Second Judgmental Congress
1TE0001673	Second Orchestral Congress
1TE0001674	First Continental Congress
1TE0001675	Second Continental Congress
1TE0001677	Field Entry: Dog (feral)
1TE0001678	Field Entry: Large Scorpion
1TE0001679	Field Entry: Molerat
1TE0001682	Data Entry
1TE0001685	Lock Down Museum
1TE0001686	Activate Lobby Turrets
1TE0001687	Shut Down Lobby Turrets
1TE0001692	Activate Atrium Turrets
1TE0001693	Shut Down Atrium Turrets
1TE0001706	Shut Down Printing Press
1TE0001713	Enter Access Code
1TE0001715	DC Metro Office of Urban Planning
1TE0001716	Project Management System
1TE0001717	Capital Beltway Reconstruction Project
1TE0001718	You are logged in as Project Leader
1TE0001719	Please make your selection:
1TE0001721	Project Overview
1TE0001722	Project Mission Statement
1TE0001723	Project Status
1TE0001724	About the system
