0ME0000001	You quickly find a manilla folder with Pacer's name on it in the drawer marked "N-R".
0ME0000141	Recipes have skill and ingredient requirements that must be met to proceed. If any requirement is darkened, that requirement has not been met. Any recipe that has all of its requirements fulfilled will appear fully lit. After using a recipe, the product(s) of the recipe will all immediately be available in your inventory.
0ME0000143	You have established a reputation with a group of people in the wasteland! Whether that reputation is good or bad, you're finally somebody, and people associated with that group will start to react to what you've done. There are many different factions in the wasteland, and you can develop a distinct reputation with each one.
0ME0000144	As you perform actions that benefit a group, you will gain Fame. If you peform actions that harm a group, you will gain Infamy. Your reputation with any given group is a measure of the combined total of Fame and Infamy that you have earned. The benefits and drawbacks of any given reputation depend on the group itself. You may receive discounts with merchants, provoke attacks from hired thugs, or simply be treated differently.
0ME0000145	Though you will initially start out with a Neutral reputation with any given faction, your Fame and Infamy will eventually push your reputation in different directions. You can see all of your current reputations under the General section of your Pip-Boy.
0ME0000146	Good Reputations:
0ME0000147	* Smiling Troublemaker - Some good, a little bad.
0ME0000148	* Good Natured Rascal - Good, a little bad.
0ME0000149	* Accepted - Some good.
0ME0000150	* Liked - Definitely good.
0ME0000151	* Idolized - Most good.
0ME0000152	Mixed Reputations:
0ME0000153	* Soft-Hearted Devil - More bad than good.
0ME0000154	* Dark Hero - More good than bad.
0ME0000155	* Mixed - Some good, some bad.
0ME0000156	* Unpredictable - Good and bad.
0ME0000157	* Wild Child - Most good, most bad.
0ME0000158	Bad Reputations:
0ME0000159	* Sneering Punk - Some bad, a little good.
0ME0000160	* Merciful Thug - Bad, a little good.
0ME0000161	* Shunned - Some bad.
0ME0000162	* Hated - Definitely bad.
0ME0000163	* Vilified - Most bad.
0ME0000165	Welcome to Hardcore Mode! There are three basic needs that Hardcore Mode requires you to monitor: dehydration (H2O), starvation (FOD), and sleep deprivation (SLP). Each of these needs must be monitored and kept in check or you will suffer penalties and, in extreme cases, death.
0ME0000166	Your needs are continually ticking away and can be monitored on the Status screen of your Pip-Boy. When you start to suffer ill-effects from neglected needs, your HUD will display the corresponding code for that need. Be aware that waiting, sleeping, and Fast Travel will also affect your needs. If performing any of these activities would result in death, you will be prevented from doing so.
0ME0000167	* Dehydration (H20) - Dehydration increases at a faster pace than starvation or sleep deprivation. It can be relieved by drinking water or eating certain types of food. Some drinks, such as alcohol and soda, can increase dehydration, so be careful!
0ME0000168	* Starvation (FOD) - The onset of starvation is slower than dehydration, but quicker than sleep deprivation. It can be relieved by eating food.
0ME0000169	* Sleep Deprivation (SLP) - Sleep deprivation is the most low-maintenance of the basic needs. Though a few chems and drinks can help offset sleep deprivation, nothing beats sleep itself.
0ME0000175	I'm four whole feet, grandma!
0ME0000185	Sunny Smiles has things to teach your character. Are you sure you wish to keep traveling in this direction?
0ME0000187	No, I'll go see Sunny.
0ME0000188	I don't need to learn anything from Sunny.
0ME0000189	This appears to be a good location to attach one of the deployable ballast packages. Would you like to attach it to the plane?
0ME0000191	Attach Ballast
0ME0000192	Leave
0ME0000219	This man looks like he has a serious infection. Improper treatment will kill him, would you like to treat him? (Medicine 40 or higher Required)
0ME0000222	Attempt to treat him.
0ME0000223	With a combination of natural herbs, bandages, and some disinfectant, you are able to clean the wounds and help boost the patient's immune system enough that he'll survive.
0ME0000225	You decide you need to perform a tracheotomy to open up his air pathway.  As you haphazardly stab the patient in the neck, a piece of your straw snaps off in his throat causing the patient to choke to death.
0ME0000227	Without examining the leg further, you decide it requires amputation.  Before you even make it down to bone, you realize you might have skipped a few important steps...  The patient quickly bleeds to death from a severed artery.
0ME0000229	With limited medical knowledge, you mistakenly administer a lethal dose of painkillers mixed with antibiotics.  The patient lets out one last labored breath before succumbing to the overdose.
0ME0000234	Treat the infection.
0ME0000235	This man's leg is seriously damaged and will require amputation. Improper treatment will kill him.  Are you sure to want to attempt the operation? (Medicine 50 or higher Required)
0ME0000239	CHOP! CHOP! CHOP! (Low Intelligence)
0ME0000240	This man's leg is seriously injured.  It may require amputation to save him.  Are you sure to want to attempt the operation? (Medicine 50 or higher Required)
0ME0000245	This man appears to be severely injured.  Swelling around his face and neck is interfering with his breathing.  Are you sure to want to treat him? (Medicine 60 or higher Required)
0ME0000248	Treat the patient.
0ME0000249	This man appears to be severely injured.  Swelling around his face and neck is interfering with his breathing.  Improper treatment will kill him.  Are you sure to want to treat him? (Medicine 60 or higher Required)
0ME0000253	Upon further examination after cleaning the leg, you realize it can be saved.  You carefully remove the existing stitches, clean the wounds thoroughly, then re-stitch the wounds closed using a much more effective procedure.
0ME0000255	After carefully considering treatment options, you realize the patient is merely having a strong allergic reaction.  By cleaning all wounds of ant venom, and administering a steroid compound, you reduce the swelling and the patient's breathing returns to normal.
0ME0000277	In the year 2271, the Desert Rangers of Nevada and rangers of the New California Republic met at this spot to sign the Ranger Unification Treaty. Under this treaty, the Desert Rangers agreed to be absorbed into the NCR in exchange for NCR's protection of Hoover Dam, New Vegas, and southern Nevada against the forces of Caesar's Legion.
0ME0000279	The Ultra-Luxe Floor Manager is coming to speak with you.
0ME0000281	Sorry, but you have reached the jackpot limit, but feel free to explore the other services here at the Atomic Wrangler!
0ME0000405	Poison Removed
0ME0000407	Gomorrah's Manager is coming to speak with you.
0ME0000409	The note reads: "I'm taking most of the boys west to go check out this vault we heard about. Stay here and keep an eye on things until we get back, and keep a closer eye on the Fiends - those guys are crazier than Scrambler. If there's any trouble, radio ahead."
0ME0000411	The battle for Hoover Dam will determine the fate of New Vegas for decades to come.
0ME0000412	If there's anything you want to do before you enter the battle, do it now - before you cross the point of no return.
0ME0000414	I'm not ready yet.
0ME0000418	You have equipped faction armor! Faction armor disguises you as a member of that faction. Members of that faction now consider you a friend, while enemies of that faction will attack you on sight regardless of your personal faction relation with them. Any reputation changes that occur while wearing faction armor still affect your character.
0ME0000419	Security personnel such as guards and watchdogs will see through your disguise and alert anyone nearby, so watch out!
0ME0000433	The box now contains nothing save for a simple handwritten note.
0ME0000435	The box contains a large amount of Jet, now laced with Psycho.
0ME0000437	This person appears to be near death. To remove them from the cross would kill them.
0ME0000439	The 9mm submachinegun preserved in the glass case to the left of this plaque is the ACTUAL weapon Vance carried in a paper-wrapped box under some suitcases in the trunk of his car during his and Vikki's crime spree! Never fired, and luckily untouched by the hail of bullets that ended its notorious owner's life, the weapon's mint condition inspires dread in all who look upon it. Experts speculate that Vance might have killed as many as fifty people had he ever fired the gun - so long as his aim was exact and he was starting off with a full clip - or even more if he had additional ammo clips and remembered to reload!
0ME0000441	The generator looks to be fine, but some kind of large vermin has chewed into the power cable. With the proper know-how and some scrap metal, you could repair the connection and improve its output bandwidth. Otherwise you'll need help.
0ME0000442	(Repair of 35 or higher and one piece of scrap metal required)
0ME0000445	Repair the wire.
0ME0000446	This mainframe is currently unresponsive. The amount of power reaching the terminal seems to be insufficient.
0ME0000448	Leave.
0ME0000449	You fixed the wiring. Sufficient electricity should now be flowing to the mainframe computer.
0ME0000455	This is a Mark III Auto-Doc, primarily used for routine surgeries. The control systems have been damaged beyond repair, rendering the Auto-Doc useless, but the diagnostic scanning unit is still intact.
0ME0000458	Take the diagnostic scanning unit.
0ME0000459	This one of Dr. Richards' patients. You should speak to him before you investigate them.
0ME0000461	This man appears to be suffering from multiple machete wounds. Improper treatment will kill him. Would you like to treat him? (Medicine 35 or higher required)
0ME0000462	Alternatively, if you have Med-X, Whiskey, and Surgical Tubing you may be able to treat him.
0ME0000465	Attempt to treat with medicine.
0ME0000466	Use medical equipment to treat.
0ME0000471	Treat with medicine.
0ME0000473	This patient's condition is worse, but still stable. There is nothing more for you to do here.
0ME0000475	Dr. Richards has revoked your operating privileges in his medical bay. You can no longer operate on any patients.
0ME0000477	With limited medical knowledge, you bumble around with a scalpel and cut a vital artery. The patient starts hemorrhaging and dies from blood loss.
0ME0000479	As you start to administer medications to the patient, his fever spikes and his breathing quickens. His injuries are well beyond your skill to treat.
0ME0000481	You have just enough skill to recognize that you are about to do more harm than good. You stop before causing any serious complications.
0ME0000483	You carefully clean the wounds and apply antibiotics before stitching the wounds closed. The patient will recover completely in time.
0ME0000485	There's no response from the elevator.
0ME0000487	You are now dressed as a member of the White Glove Society.
0ME0000489	You are no longer dressed as a member of the White Glove Society.
0ME0000491	Call for NCR Support?
0ME0000493	Cancel [no support]
0ME0000494	Call for NCR Trooper Support   
0ME0000495	Call for NCR Ranger Support    
0ME0000496	Call for NCR Patrol Ranger Support
0ME0000497	Call for NCR Combat Ranger Support
0ME0000498	Call for NCR Supply Support     
0ME0000499	Reputation with NCR too low - Support Withdrawn
0ME0000500	Outside NCR Operational Area - Relocate and repeat transmission
0ME0000501	NCR Support Exhausted - Resupply at 2400 hours
0ME0000502	The Thorn is currently Closed.
0ME0000505	Leave him tied up.
0ME0000507	The mess of wires and scrap metal confuses you. Perhaps if you knew a bit more about semiconductors and power cell technology, you might know where to begin disassembly.
0ME0000509	This nuclear bomb appears to be a dud. However, it appears as though the core components could be salvaged.
0ME0000512	[Science 60] <Salvage the components>
0ME0000513	You quickly disassemble the core components of the bomb's fission reactor.
0ME0000523	This robot has been fitted with a variety of tools specialized for industrial maintenance. There is a slot at the back of the head where it looks like a keycard could be fit.
0ME0000524	(Science of 45 or Poseidon Energy ID Card required)
0ME0000527	[Science] Hardwire the robot to run on autopilot in repair mode.
0ME0000528	Insert Poseidon  Energy ID Card.
0ME0000529	This console appears to connect to radar and other detection systems.
0ME0000531	Leave the console alone.
0ME0000532	Install the remote signal transmitter.
0ME0000533	You quickly install the device as directed. Immediately a small green light on it begins pulsing, indicating that it has begun transmitting.
0ME0000537	These replica outfits show just how conscious Vikki was of the styles of the period. Vikki was well known for her sense of fashion and her fixation on expensive clothing was thought to be one of the reasons the pair chose a life of crime.
0ME0000539	These mannequins display replicas of some of the clothing that was found in the trunk of Vikki and Vance's death car. Vance didn't share Vikki's sense of fashion, and chose to dress himself how he envisioned a gangster would dress.
0ME0000541	The collar has begun to emit a high-pitched beeping noise.
0ME0000543	Your collar has begun beeping more insistently.
0ME0000545	You must have a Science skill of at least 40.
0ME0000548	The crystals on this rock seem to indicate a pocket of potassium nearby, some strategically placed C4 could be enough to destroy both the cave and the vault.
0ME0000551	Plant enough C4 to destroy the caves.
0ME0000552	Plant enough C4 to destroy the caves and the vault then run like hell.
0ME0000553	You need at least 3 packs of C4 to get the job done.
0ME0000556	You notice that duty roster has been accessed by an unknown login ID. It'd be a good idea to keep an eye out for anything out of the ordinary.
0ME0000558	Lieutenant Hayes has died!
0ME0000560	Meyers has died!
0ME0000562	Primm Slim has died!
0ME0000564	Sergeant McGee has died!
0ME0000566	Major Knight has died!
0ME0000568	Johnson Nash has died!
0ME0000572	The elevator is broken, but it looks as though it could be repaired. (Repair 35 or higher required)
0ME0000575	Repair Elevator
0ME0000576	The console is unresponsive. For it to operate properly, it would need to be activated during peak sunlight hours (9 AM - 3 PM), a power configuration would need to be set up in the tower's mainframe, and the two ground-level terminals would need to have an active uplink to the mainframe.
0ME0000579	Random Position is [%]
0ME0000587	This is a Stealth Boy Mark II prototype. As it is only a prototype, there are numerous fluctuations in its stealth field which would yield unpredictable results in a field test. A specialist in electronics could stabilize the field output.
0ME0000588	[Repair of 65 or greater required.]
0ME0000591	Stabilize the stealth field output.
0ME0000592	The prototype's stealth field has been stabilized.
0ME0000594	The radio appears to be broken.
0ME0000596	Chris Haversam has died!
0ME0000598	It seems like the robot's artificial intelligence is offline.
0ME0000600	You retrieved your confiscated equipment on your way out of the Fort.
0ME0000606	This purifier would provide clean water to Underpass, if it were functional. Whoever assembled it had no idea what they were doing - many parts are connected incorrectly or hooked up backwards. Someone with the proper knowledge could easily get the purifier operational.
0ME0000607	[Repair of 35 or greater required to fix the generator.]
0ME0000608	[Science of 35 or greater required to modify the generator's settings.]
0ME0000610	Leave the purifier alone.
0ME0000611	Repair the purifier using available parts.
0ME0000612	Modify the purifier's settings.
0ME0000613	You repaired the purifier.  It's now producing clean water.
0ME0000615	You modified the purifier's settings.  It's now producing cleaner water.
0ME0000617	You have gained the Meat of Champions perk.
0ME0000619	You've learned the Ranger Takedown special move. To use this technique, initiate a Power Attack while moving backwards. You'll drop your opponent to the ground.
0ME0000621	You've learned the Scribe Counter special move. To use this technique, initiate a standard attack immediately after your character blocks an incoming attack.
0ME0000623	This gate keeps the Legion Mongrels inside. It appears that the locking mechanism can be tampered to seal the gate shut. Also, you could try to slip a narcotic into the cage to knock the mongrels out. What would you like to do?
0ME0000625	Leave the mechanism alone
0ME0000626	[REPAIR] Try to lock the gate shut.
0ME0000627	[REPAIR] Remove the mechanism's springs to seal the gate shut.
0ME0000628	You don't have the skill necessary to seal this mechanism shut. What would you like to do?
0ME0000631	These mongrels won't be leaving the cage any time soon.
0ME0000639	As you start to administer medications to the patient, his fever spikes and his breathing quickens. His sickness is well beyond your skill to treat.
0ME0000643	This robot has been fitted with a variety of tools specialized for industrial maintenance. However, there is nothing left in the room for it to repair.
0ME0000647	Mister
0ME0000648	Ma'am
0ME0000649	To grab the Brahmin skull, look at it and [%].
0ME0000651	Good! Now [%] again to let go of the skull.
0ME0000659	Thinking the patient has an infection, you administer a large dose of antibiotics. The patient suffers a severe allergic reaction and slips into a deep coma.
0ME0000661	Argyll has revoked your operating privileges in his medical bay. You can no longer operate on any patients.
0ME0000663	This one of Argyll's patients. You should speak to him before you investigate them.
0ME0000665	You begin to operate on the patient's leg, and things quickly start to go bad. You manage to tourniquet the wound to staunch the bleeding, but it is clear that the leg will never be fully functional again.
0ME0000667	You pull out your blade and hack blindly at the leg. After a series of random and frenetic cuts you notice the leg is looking better. It looks like he'll be able to keep it after all.
0ME0000686	Title, not text when changing names!
0ME0000688	The console hums quietly, powered by some unknown source. There is a round slot on the console - about the size of a large poker chip.
0ME0000691	Insert the Platinum Chip into the slot.
0ME0000692	The dynamite contained within this box is very old and unstable. Only someone skilled with explosives could hope to salvage any of the dynamite.
0ME0000693	[Explosives of 25 or greater required.]
0ME0000695	Leave the box alone.
0ME0000696	Salvage what dynamite you can.
0ME0000697	This 9mm submachine gun is broken but can possibly be restored to a fully functioning weapon.
0ME0000698	[Repair of 25 or greater required.]
0ME0000701	Repair the 9mm submachine gun.
0ME0000702	There appears to be enough chemical components available to create a small quantity of chems - assuming one has the knowledge to do such a thing.
0ME0000703	[Science of 25 or greater required.]
0ME0000706	Create some Stimpaks.
0ME0000707	Create some drugs - Psycho, Buffout, Mentats, Steady, and Rebound.
0ME0000708	This is a Mark III Auto-Doc, primarily used for routine surgeries. This Auto-Doc is ready to go at the press of a button.
0ME0000711	Activate surgery mode and remove Caesar's tumor.
0ME0000712	Activate autopsy mode and kill Caesar.
0ME0000715	Stonewall blocked a knockdown attempt!
0ME0000717	"This godforsaken radio still doesn't work. Damn it, I'm a scout, not an electrician. Must've got some sand in it or something. At least that crazy storm is good for keeping people away. This place wouldn't make much of a safehouse if other people were traipsing in and out all the time. I'd hate to have to find another location again, but if the supplies, and especially the equipment weren't safe, I guess I'd have to."
0ME0000719	Put the journal back down.
0ME0000720	"This location looks like it might make a good safehouse. Warm, dry, and some sort of crazy natural phenomenon at night that should keep the predators away. I'd love to start getting set up, but there are a few nearby points of interest I need to gather intel on first. Not sure how long that'll take."
0ME0000722	"Finally got started getting this place in order. Put out enough supplies to last a while, swept up some. Gonna hit the hay and continue tomorrow."
0ME0000725	Read the next entry.
0ME0000726	"Found a nice little spot to scout the prison from. Place has been pretty active recently. Those thrice-damned powder gangers have been spreading out, so I need to be careful to avoid them. It doesn't help that I have to get back early each night or risk getting blinded by the sand."
0ME0000730	Upon further examination after cleaning the leg, you realize it cannot be saved. You carefully begin to amputate the limb. During surgery, you notice the man's hand is gangrenous. You amputate that as well, saving his life.
0ME0000732	Without thinking, you start amputating the leg. Partway through you realize you started amputating the wrong leg. As you start amputating the other leg, the patient dies of shock.
0ME0000735	Alternatively, if you have a Medical Brace, Med-X, and a Bonesaw you may be able to treat him.
0ME0000738	Attempt to operate with medicine.
0ME0000739	Use medical equipment to operate.
0ME0000744	Perform the operation with medicine.
0ME0000746	You carefully clean the wounds and apply antibiotics before grafting extra skin over the wounds. The patient will make a complete recovery.
0ME0000748	You quickly grab some ice to treat the burns. Unfortunately, the ice doesn't help but only compounds the problem. The patient screams and dies due to cardiac arrest induced from the sudden pain.
0ME0000750	This man appears to have suffered a close range blast trauma. His upper torso is covered in cuts and is severely burned. Improper treatment will kill him. Would you like to treat him? (Medicine 75 or higher required)
0ME0000751	Alternatively, if you have Tweezers, Med-X, and a Super Stimpak you may be able to treat him.
0ME0000760	Treat the wounds with medicine.
0ME0000762	Dr. Richards no longer wants you looking into his patients.
0ME0000768	This is an ancient and very obsolete Mark I Auto-Doc. Despite the similarities in appearance to more advanced models, it shares no compatible parts.
0ME0000770	You need to have a higher Endurance before your body can accept any more implants.
0ME0000772	This is a Mark III Auto-Doc, primarily used for routine surgeries. However, the diagnostic scanning unit is burnt out, rendering this Auto-Doc useless.
0ME0000775	Install the replacement diagnostic scanning unit.
0ME0000780	Without a replacement firing mechanism, this howitzer is useless.
0ME0000782	Leave the howitzer alone.
0ME0000783	Replace the firing mechanism.
0ME0000788	You created several white phosphorous artillery shells.
0ME0000790	You repaired the howitzer. The NCR will be in for a surprise.
0ME0000794	You're listening to Black Mountain Radio.
0ME0000796	Now, MUSIC!
0ME0000810	You are now dressed as a member of Caesar's Legion.
0ME0000815	Call for NCR Supply Support
0ME0000816	Call for NCR Trooper Support
0ME0000817	Call for NCR Ranger Support
0ME0000821	Dismiss NCR Soldier
0ME0000824	Reflector panels on this array are damaged.  Inspecting the damage, you quickly realize you lack the skill to repair the array without replacement parts. (Repair 65 or higher Required or Use Solar Array Parts)
0ME0000827	Using your knowledge of photovoltaic cells, you thoroughly clean, polish, and upgrade the solar panels.  You also clean and rewire some degraded circuits you spotted.  Array efficiency improved by 50%.
0ME0000829	You repair the array to an acceptable working status.
0ME0000831	Reflector panels on this array are damaged.  Salvaged parts could be used to repair the array. Would you like to repair the array?  (Repair 65 or higher Required or Use Solar Array Parts)
0ME0000834	Repair the array without spare parts.
0ME0000835	Use Helios salvaged panels to repair the array.
0ME0000837	Stay Here
0ME0000838	Penthouse
0ME0000839	Veronica has received the Bonds of Steel perk, substantially increasing her armor.
0ME0000841	Veronica has received the Causeless Rebel perk, which boosts her unarmed attack rate.
0ME0000843	Boone now has 1st Recon Assault Armor, designed to provide snipers with maximal protection while deployed on aggressive missions in hotly contested zones. It will not count against his carrying capacity.
0ME0000845	Boone now has 1st Recon Survival Armor, fitted with extra features and storage designed to help a sniper and his comrades survive the harsh desert environment. It will not count against his carrying capacity.
0ME0000852	As you flip the breakers, you hear the terminals around the room power down one by one.
0ME0000854	Opening the box you find a series of breakers that appear to correspond to the terminals nearby. Most of them appear to have their power cut.
0ME0000856	Leave the breakers alone.
0ME0000857	Resupply power to the terminals.
0ME0000858	As you flip the breakers, you hear the terminals around the room powering up one by one.
0ME0000860	You manage to get most of the robot's systems operational, but it's leg activators are beyond repair, leaving it immobile.
0ME0000862	Opening the box you find a series of breakers that appear to correspond to the terminals nearby.
0ME0000865	Cut the power to all but three of the terminals.
0ME0000866	Opening the box you find a series of breakers that appear to correspond to the terminals nearby. If you knew more about electronics you could probably cut the power to some of the terminals nearby.
0ME0000867	(Repair 60 required)
0ME0000870	Senior Knight Lorenzo has died!
0ME0000872	April Martimer has died!
0ME0000874	Nero has died!
0ME0000876	Big Sal has died!
0ME0000878	Troike has died!
0ME0000880	Cachino has died!
0ME0000882	Clanden has died!
0ME0000884	Pearl has died!
0ME0000886	Lily will now take her medicine every time she is supposed to. She will no longer suffer psychotic breaks, but her combat effectiveness will be reduced.
0ME0000904	You must have an Explosives skill of at least 60 to rig the C4 properly.
0ME0000907	You must have an Explosives skill of at least 50 to rig the C4 properly.
0ME0000910	You need at least 5 packs of C4 to get the job done.
0ME0000913	Raul has returned to his shack.
0ME0000915	Caesar has died.
0ME0000919	Rex has gone to the Lucky 38.
0ME0000921	To grab an object, look at it and [%].
0ME0000923	Preorder package items added to your suite at the Lucky 38.
0ME0000937	To jump, [%].
0ME0000939	This man appears to be near death. He doesn't seem to notice you.
0ME0000941	This woman appears to be near death. She doesn't seem to notice you.
0ME0000943	You have earned the Beautiful Beatdown perk.
0ME0000945	You have gained the Friendly Help perk.
0ME0000947	You have gained the Bug Stomper perk (Rank [%])
0ME0000949	You have gained the Animal Control perk (Rank [%])
0ME0000951	You have gained the Abominable perk (Rank [%])
0ME0000953	You have gained the Dine and Dash perk.
0ME0000955	You have gained the Day Tripper perk.
