0NA0000002	세력 갑옷
0NA0000174	머리
0NA0000175	흉부
0NA0000176	왼팔
0NA0000177	오른팔
0NA0000178	왼발
0NA0000179	오른발
0NA0000180	방사능 피해
0NA0000181	깨끗한 물
0NA0000183	자동 판매기
0NA0000186	중화기 - 구식
0NA0000187	에너지 무기
0NA0000188	폭발물
0NA0000189	자물쇠 따기
0NA0000190	의학
0NA0000191	근접 무기
0NA0000192	수리
0NA0000193	과학
0NA0000194	총기
0NA0000195	은신
0NA0000196	화술
0NA0000197	생존
0NA0000198	격투
0NA0000199	엔지니어
0NA0000209	병뚜껑 지뢰
0NA0000210	깡통 폭탄
0NA0000211	[도구] 무기 수리 도구
0NA0000213	착용한 무기 수리
0NA0000214	[회복약] 슈퍼 스팀팩
0NA0000216	백인대장
0NA0000225	[재료] 무두질한 황금 겍코 가죽
0NA0000226	[음료] 원자 칵테일
0NA0000227	357 매그넘 JFP 탄 (수제)
0NA0000228	5.56mm 철갑탄
0NA0000229	308 JSP 탄 (수제)
0NA0000230	50 MG 매치 (수제)
0NA0000231	[탄피] 357 매그넘
0NA0000232	[탄피] 44 매그넘
0NA0000233	[탄피] 45-70
0NA0000234	[탄피] 308
0NA0000235	[탄피] 50 MG
0NA0000236	[탄피] 10mm
0NA0000237	10mm JHP 탄 (수제)
0NA0000238	[뇌관] 소형 권총용
0NA0000239	[뇌관] 대형 권총용
0NA0000240	[뇌관] 대형 소총용
0NA0000241	[뇌관] 50 MG
0NA0000242	10mm JHP 탄 (수제)
0NA0000244	357 매그넘 JFP 탄 (수제)
0NA0000245	45-70 SWC 탄 (수제)
0NA0000246	50 MG (수제)
0NA0000247	[화약] 권총
0NA0000248	[화약] 소총
0NA0000249	[분해] 10mm 탄
0NA0000250	분해
0NA0000251	[분해] 22 LR 탄
0NA0000252	[분해] 9mm 탄
0NA0000253	[분해] 357 매그넘 탄
0NA0000254	[분해] 44 매그넘 탄
0NA0000255	[분해] 45-70 탄
0NA0000256	[분해] 5.56mm 탄
0NA0000257	[분해] 308 탄
0NA0000258	[분해] 5mm 탄
0NA0000259	[분해] 50 MG 탄
0NA0000260	할랜드
0NA0000263	[탄피] 9mm
0NA0000264	[탄피] 5mm
0NA0000265	[탄피] 5.56mm
0NA0000266	[뇌관] 소형 소총용
0NA0000267	10mm 탄
0NA0000268	9mm 탄
0NA0000269	308 탄
0NA0000270	357 매그넘 탄
0NA0000271	44 매그넘 탄
0NA0000272	45-70 탄
0NA0000273	50 MG 탄약
0NA0000274	5mm 탄
0NA0000276	5.56mm 탄
0NA0000277	[빈 산탄] 20 게이지
0NA0000278	[빈 산탄] 12 게이지
0NA0000279	부상당한 부머
0NA0000280	[뇌관] 산탄용
0NA0000281	20 게이지 산탄
0NA0000283	12 게이지 산탄
0NA0000285	[분해] 20 게이지 탄
0NA0000286	[분해] 12 게이지 탄
0NA0000287	사다리
0NA0000288	맨홀
0NA0000290	무게
0NA0000292	[약물] 터보
0NA0000293	방사능
0NA0000295	갈증
0NA0000296	허기
0NA0000297	수면 부족
0NA0000300	9mm 고압탄
0NA0000301	223 탄
0NA0000303	DT 감소
0NA0000305	DT 증가
0NA0000307	산탄도 감소
0NA0000322	도박사
0NA0000328	(★) 방호복
0NA0000351	여행자
0NA0000368	납
0NA0000369	[분해] 금속 부품 -> 납
0NA0000376	볼트 문 제어 패드
0NA0000378	불쌍한 킁킁이
0NA0000382	제1 저격대대 생존 갑옷
0NA0000384	제1 저격대대 돌격 갑옷
0NA0000385	오 나의 파파
0NA0000387	아바다바 허니문
0NA0000389	실컷 울어봐요
0NA0000399	보관함
0NA0000422	에너지 셀
0NA0000424	소형 핵
0NA0000430	망가진 센트리봇 장난감
0NA0000431	센트리봇 장난감
0NA0000432	NCR 레인저
0NA0000436	토마스의 일지
0NA0000437	쓰레기통
0NA0000439	강화 강철 헬멧
0NA0000440	군단의 괴물
0NA0000442	침대
0NA0000443	볼트 거주민
0NA0000444	침대
0NA0000447	까마귀
0NA0000448	룰렛 테이블
0NA0000454	파파 칸
0NA0000455	폴라틀리 소령
0NA0000456	리처즈 박사
0NA0000457	병참 장교 메이즈
0NA0000458	캠프 폴론 호프 식당
0NA0000459	칼
0NA0000461	잭
0NA0000462	다이앤
0NA0000463	레지스
0NA0000464	DCTA 지하철 지도
0NA0000465	지하철 지도 단말기
0NA0000466	캠프 가디언 동굴
0NA0000467	화염방사기
0NA0000468	황무지 노예
0NA0000469	개인 보관함
0NA0000506	NCR 헌병
0NA0000511	방사능 바퀴
0NA0000513	방사능 면역
0NA0000514	화염방사기 연소
0NA0000515	고장난 단말기
0NA0000521	독 다트
0NA0000530	오버시어의 메시지
0NA0000531	사건 파일 #43027
0NA0000532	휴브리스 코믹스 2077 여름, 발행 일정.
0NA0000533	존의 보물 상자
0NA0000534	힘 증가 - 메드-X
0NA0000535	지구력 증가 - 메드-X
0NA0000536	존의 열쇠
0NA0000541	엔클레이브 아이봇
0NA0000543	볼트 11 코드 킬러
0NA0000545	터널
0NA0000546	레이크럭
0NA0000549	게이트
0NA0000550	룰렛 딜러
0NA0000555	NCR 중보병
0NA0000557	라인홈의 일지
0NA0000558	에릭센의 일지
0NA0000559	찰리 주둔지 보급품 상황
0NA0000560	GBRM2KX 메모리칩
0NA0000561	이라스무스의 일지
0NA0000562	쿠들로우의 보고서 기록
0NA0000563	성경 구절
0NA0000567	식인종 존슨의 동굴
0NA0000569	다이너마이트
0NA0000572	자동문
0NA0000573	도망친 죄수
0NA0000579	잡지 자동판매기
0NA0000581	투척 단검
0NA0000582	화염 겍코
0NA0000583	블루 섹터 키카드
0NA0000584	레드 섹터 키카드
0NA0000585	45-70 탄
0NA0000586	식인종 존슨
0NA0000587	브러시 건
0NA0000588	코요테
0NA0000589	45-70 권총탄
0NA0000590	44 매그넘 소총탄
0NA0000591	45-70 소총탄
0NA0000592	5.56mm 권총탄
0NA0000594	5mm 보급형 탄
0NA0000597	충전식 소총
0NA0000598	마이크로퓨전 증식기
0NA0000599	군단 은신처 열쇠
0NA0000600	EMP 펄스건 빔
0NA0000601	로봇류와 파워 아머에 EMP 보너스 피해
0NA0000603	EMP 저항력 감소
0NA0000604	다 쓴 에너지 셀
0NA0000607	22 LR 플링킹 탄 
0NA0000609	멀티플라즈마 소총
0NA0000610	NCR 헌병 갑옷
0NA0000613	[음료] 차가운 누카-콜라
0NA0000614	개수대
0NA0000615	소화전
0NA0000617	[식수] 깨끗한 물
0NA0000618	치명적인 물
0NA0000619	끔찍한 물
0NA0000620	보통 물
0NA0000625	황금 겍코
0NA0000627	조심해!
0NA0000629	오븐
0NA0000630	[회복약] 쓴 음료
0NA0000631	매운 캐서롤
0NA0000632	[식재료] 브라민 고기
0NA0000633	[음식] 거대 파리 슬라이더
0NA0000634	[음식] 코요테 스테이크
0NA0000635	[음식] 개고기 스테이크
0NA0000636	[음식] 화염개미 프리카세
0NA0000637	[음식] 두더지쥐 스튜
0NA0000638	[음식] 겍코 케밥
0NA0000640	[음식] 브라민 스테이크
0NA0000643	[음식] 겍코 케밥
0NA0000646	[음식] 겍코 스테이크
0NA0000647	음식
0NA0000648	약물
0NA0000649	[독] 냉혹한 독액
0NA0000650	조리법 - 루비의 매운 캐서롤
0NA0000652	12.7mm 할로우포인트탄
0NA0000653	임시 가스 마스크
0NA0000656	5mm 할로우포인트탄
0NA0000657	통합 협정 기념물
0NA0000658	행상인
0NA0000661	제리
0NA0000662	앤더스
0NA0000667	브라이트 추종자
0NA0000668	렙콘 지하실 열쇠
0NA0000669	크리스 해버샘
0NA0000671	블랙잭 테이블
0NA0000672	울트라 럭스 매니저
0NA0000674	의자
0NA0000675	가정 친화적
0NA0000676	아토믹 랭글러 잭팟
0NA0000678	카드 딜러
0NA0000680	슬롯머신
0NA0000684	공구상자
0NA0000685	방어구 케이스
0NA0000688	황무지인
0NA0000689	방호복 케이스
0NA0000699	수도 보존 협회에 오신 것을 환영 합니다.
0NA0000700	캠프 폴론 호프 저장창고
0NA0000701	캠프 폴론 호프 판잣집
0NA0000702	캠프 폴론 호프 감옥
0NA0000703	캠프 폴론 호프 병영
0NA0000718	희망 회복
0NA0000719	의학적 미스터리
0NA0000720	비축
0NA0000721	버블헤드 발견
0NA0000741	위대한 칸 동굴
0NA0000743	사물함
0NA0000744	[재료] 이스트
0NA0000745	[음료] 문샤인
0NA0000746	제조법 - 캐스의 문샤인
0NA0000747	캐스의 문샤인
0NA0000748	브라더후드 오브 스틸 서기
0NA0000750	바이퍼 갱 총잡이
0NA0000751	어린 나이트스토커
0NA0000752	나이트스토커
0NA0000753	황소 빅호너
0NA0000755	송아지 빅호너
0NA0000760	마이얼럭 산란 알더미
0NA0000762	히든 밸리
0NA0000764	브라더후드 서기
0NA0000767	홀로테이프
0NA0000768	소우본즈
0NA0000769	시장 스틴
0NA0000770	로즈
0NA0000771	실비아
0NA0000772	비글의 일지
0NA0000773	캐스의 캐러밴 발견
0NA0000774	자넷을 넬리스로 데려가기
0NA0000775	화이트가 대즐에게 쓴 노트
0NA0000776	앤더슨의 고해성사
0NA0000778	여왕을 불러라
0NA0000779	더 원
0NA0000780	오웬
0NA0000781	베루
0NA0000782	제이슨 브라이트
0NA0000783	브라더후드 오브 스틸 신병
0NA0000792	독 중화
0NA0000793	[약물] 해독제
0NA0000794	야생 구울
0NA0000795	T-51b 헬멧
0NA0000796	T-51b 아머
0NA0000797	총기 보관함
0NA0000798	개미
0NA0000799	브라민
0NA0000800	센타우러스
0NA0000802	개들
0NA0000804	마이얼럭
0NA0000805	방사능 바퀴
0NA0000808	야오과이
0NA0000810	일렉트론 챠지 팩
0NA0000811	누카-콜라 냉장고
0NA0000816	모하비 전초기지 병영
0NA0000817	모하비 전초기지 본부
0NA0000820	브라이트 추종자 로브
0NA0000821	복제 기록
0NA0000823	넬리스 태양광 발전기
0NA0000825	방사능 폭발
0NA0000826	엔클레이브 야전 보고서
0NA0000829	방사능 치유
0NA0000831	야오과이 동굴에서의 기록
0NA0000832	충분한 휴식
0NA0000833	개미의 힘
0NA0000834	개미의 예지력
0NA0000835	전쟁 전 복장과 시계
0NA0000836	엘리베이터
0NA0000837	무단 거주민 시체
0NA0000842	수경법 노트
0NA0000843	의회 회의록
0NA0000845	지역 보건 위해물질
0NA0000846	환자 기록
0NA0000847	재건 계획안
0NA0000848	목장 주택
0NA0000855	베니
0NA0000856	제섭
0NA0000858	맥머피
0NA0000867	파우더 갱어 노트
0NA0000869	니키타
0NA0000872	나레이터 론
0NA0000875	[음식] 브라민 웰링턴
0NA0000876	하얀 장갑
0NA0000885	탈수증세 회복
0NA0000896	브라더후드 오브 스틸 나이트
0NA0000897	브라더후드 오브 스틸 팔라딘
0NA0000900	트래쉬의 일기 2장
0NA0000901	트래쉬의 일기 3장
0NA0000902	트래쉬의 일기 1장
0NA0000903	고모라 딜러
0NA0000904	시신 회수
0NA0000905	(★) 애너벨
0NA0000906	성스러운 세열 수류탄
0NA0000912	렙콘 연구실
0NA0000914	라디오
0NA0000916	렙콘 설비실
0NA0000917	시저
0NA0000918	캠프 폴론 호프 보급품
0NA0000919	캠프 폴론 호프 보급품 상자
0NA0000920	미사일
0NA0000921	화려한 뉴 베가스에 오신 것을 환영합니다
0NA0000934	40mm 소이 유탄
0NA0000938	C-4 플라스틱 폭탄
0NA0000939	럭키 38 지하
0NA0000940	넬리스 여성병영
0NA0000941	펄의 병영
0NA0000942	넬리스 아동병영
0NA0000943	넬리스 남성병영
0NA0000949	퀘스트 실패
0NA0000950	프림 주택
0NA0000952	미스터 것시
0NA0000956	핍-보이 조명
0NA0000957	발전기 주 동력 스위치
0NA0000958	전기 스위치
0NA0000960	잔디깎이기계
0NA0000961	서류 보관함
0NA0000968	무서운 존재감
0NA0000970	L.O.B. 기업의 보안-케이스
0NA0000973	기계박사 코스츔
0NA0000974	버려진 집
0NA0000976	핀드
0NA0000980	오토바이 연료 탱크
0NA0000981	[재료] 표시등
0NA0000982	기차 터널
0NA0000983	오토바이 핸드 브레이크
0NA0000984	진공 청소기
0NA0000985	[재료] 낙엽 청소기
0NA0000986	소방 호스
0NA0000987	[재료] 전도체
0NA0000988	빈 누카-콜라 병
0NA0000989	[재료] 깡통
0NA0000990	[재료] 테레빈유
0NA0000991	[재료] 아브락소 세제
0NA0000992	[재료] 도시락 통
0NA0000993	[재료] 체리 폭죽
0NA0000994	[재료] 감지기
0NA0000995	[재료] 초강력 접착제
0NA0000996	[재료] 데스클로의 손
0NA0000997	[재료] 가죽 벨트
0NA0000998	[재료] 의료용 보호대
0NA0000999	페인트 총
0NA0001000	[재료] 방사능 전갈 독주머니
0NA0001001	장난감 자동차
0NA0001002	[재료] 외과 수술용 튜브
0NA0001003	증기 계량기 부품
0NA0001004	압력솥
0NA0001006	파우더 갱어 보좌관
0NA0001009	뉴 캘리포니아 공화국
0NA0001014	늑대뿔 농장
0NA0001016	(★) 레스코의 연구실 코트
0NA0001017	실험실 코트
0NA0001018	점프슈트
0NA0001019	개미의 힘
0NA0001020	개미의 감각
0NA0001022	변기
0NA0001025	장-밥티스트의 제트 절도 노트
0NA0001026	위조된 제트 절도 노트
0NA0001044	킹스 갱단 멤버
0NA0001045	지역민
0NA0001046	프리사이드 강도
0NA0001049	브라더후드 은신처 열쇠
0NA0001050	탄약 상자
0NA0001052	야생 보병 구울
0NA0001053	발광 보병 구울
0NA0001056	어린 화염 겍코
0NA0001059	서치라이트 북쪽 광산 열쇠
0NA0001060	죽은 탐광자
0NA0001062	(★) 제이슨 브라이트의 정장
0NA0001064	NCR 은신처 열쇠
0NA0001065	박물관 토큰
0NA0001066	건 러너 경비
0NA0001074	(★) CZ57 어벤저
0NA0001075	탐광자
0NA0001082	폴론 호프 편지 1
0NA0001083	폴론 호프 편지 2
0NA0001084	폴론 호프 편지 3
0NA0001085	폴론 호프 편지 4
0NA0001086	폴론 호프 편지 5
0NA0001087	폴론 호프 편지 6
0NA0001088	폴론 호프 편지 7
0NA0001089	폴론 호프 편지 8
0NA0001090	비키 앤 밴스 교환원
0NA0001091	비키 앤 밴스 딜러
0NA0001092	비키 앤 밴스 매니저
0NA0001097	케이트
0NA0001106	창녀
0NA0001109	갤럭시 뉴스 라디오
0NA0001113	팔라딘 라모스
0NA0001114	나이트 토레스
0NA0001115	수석 서기 슐러
0NA0001128	페퍼의 컴퓨터
0NA0001129	12.7mm 탄
0NA0001130	12.7mm 기관단총
0NA0001131	[탄피] 12.7mm
0NA0001132	행복한 태양
0NA0001133	(★) 고비 작전용 저격총
0NA0001134	(★) 쿵 쿵
0NA0001135	화이트 상병의 메모
0NA0001136	문책 추천
0NA0001137	유니크 40mm 유탄
0NA0001138	항의 편지
0NA0001139	하우스는 언제나 승리한다
0NA0001140	타이론에게 보내는 노트
0NA0001144	루비 내쉬
0NA0001145	프림 슬림
0NA0001147	스트립 편지 1
0NA0001148	스트립 편지 2
0NA0001149	스트립 편지 3
0NA0001150	밴스의 기관총
0NA0001151	스트립 편지 4
0NA0001152	스트립 편지 5
0NA0001153	밴스의 총
0NA0001154	스트립 편지 6
0NA0001156	스트립 편지 8
0NA0001157	선셋 사르사파릴라 대리인 뱃지
0NA0001158	스트립 편지 9
0NA0001159	알렌 막스
0NA0001162	스트립 편지 10
0NA0001163	스트립 편지 11
0NA0001164	보조 발전기
0NA0001165	단말기 1
0NA0001166	단말기 2
0NA0001167	헬리오스 원 메인프레임 단말기
0NA0001168	단말기 3
0NA0001173	주 시스템
0NA0001178	더플백
0NA0001196	엄청나게 큰 쥐
0NA0001198	엘레인의 편지
0NA0001199	훌륭한 만찬
0NA0001200	스트립 편지 7
0NA0001207	냉장고
0NA0001216	소개장
0NA0001242	갈증 피해
0NA0001243	허기 회복
0NA0001244	허기 피해
0NA0001245	베테랑 군단병
0NA0001246	감전
0NA0001247	방사능 흡수
0NA0001248	핵 변형
0NA0001249	감전 폭탄
0NA0001250	AP 재생
0NA0001251	방사능 화상
0NA0001255	테슬라 전기 피해
0NA0001256	군단 사냥개
0NA0001257	마이얼럭
0NA0001259	관능적인 밤
0NA0001260	전자기 파동
0NA0001261	엔클레이브 아머
0NA0001262	엔클레이브 헬멧
0NA0001263	화상
0NA0001264	충격
0NA0001269	체력 증가
0NA0001270	독
0NA0001271	Mk III 오토-닥
0NA0001274	방사능 중독
0NA0001275	핵 돌연변이
0NA0001276	망가진 Mk III 오토-닥
0NA0001277	강철 신경
0NA0001278	방사능 재생
0NA0001281	생명의 물 상자
0NA0001283	해치
0NA0001285	약물 중독자
0NA0001286	지하실 문
0NA0001287	테슬라 코일
0NA0001293	거대 병정 개미
0NA0001294	거대 일꾼 개미
0NA0001296	넬리스 발전기 셋업
0NA0001297	[약물] 딕슨의 특제 제트
0NA0001298	[음료] 딕슨의 특제 위스키
0NA0001299	강도
0NA0001301	딕슨의 은닉품
0NA0001303	부상당한 군인
0NA0001306	불면증 손상
0NA0001307	수면 부족 회복
0NA0001309	(★) 찬스의 단검
0NA0001310	캐러밴 하는 법
0NA0001311	죽은 부머
0NA0001314	오토
0NA0001315	멜로디
0NA0001316	울페스 인컬타
0NA0001317	바텐더
0NA0001323	[음식] 루비의 캐서롤
0NA0001325	시큐리트론 업그레이드
0NA0001326	의자
0NA0001327	테슬라 캐논
0NA0001332	트라이-빔 레이저 소총
0NA0001333	대형 소각기
0NA0001335	프로텍트론
0NA0001336	로보브레인
0NA0001337	센트리봇
0NA0001339	마크 VIII 포탑
0NA0001343	마크 VII 포탑
0NA0001348	후버
0NA0001349	마크 VI 포탑
0NA0001361	야생 구울 리버
0NA0001362	슈퍼 뮤턴트 오버로드
0NA0001374	후버 댐 경비 근무 일정표
0NA0001377	후버 댐 정비 보고서
0NA0001378	화염 방울
0NA0001379	레이저 빔
0NA0001400	강제
0NA0001409	동물 독 치료
0NA0001411	관리자 열쇠
0NA0001412	인질 감방 열쇠
0NA0001413	(★) 럭키
0NA0001414	맥기 병장
0NA0001415	헤이즈 중위
0NA0001416	프림 슬림의 손상된 메모리 블록
0NA0001418	B 구역 감방 열쇠
0NA0001420	윈스 부부의 은신처
0NA0001421	폴린 윈스
0NA0001422	새미 윈스
0NA0001423	데스페라도 카우보이 모자
0NA0001426	부머 아이들
0NA0001427	근위병
0NA0001431	DT 증가
0NA0001433	하얀 장갑 공동체 복장
0NA0001436	하얀 장갑 기도
0NA0001446	NCR 무전 통신사
0NA0001447	[재료] NCR 군번줄
0NA0001448	NCR 보급품 은닉처
0NA0001450	[도구] NCR 긴급 무전
0NA0001451	(★) 밴스의 행운의 모자
0NA0001453	화염 저항 증가
0NA0001454	에너지 저항 증가
0NA0001455	[음식] 구운 사마귀
0NA0001457	[식재료] 잣나무 열매
0NA0001458	[음식] 황무지 오믈렛
0NA0001459	[식재료] 포자 주머니
0NA0001461	[음료] 누카-콜라 빅토리
0NA0001462	[음료] 누카-콜라 쿼츠
0NA0001468	견습생 왓킨스
0NA0001469	서기장 태거트
0NA0001470	엘더 맥나마라
0NA0001471	팔라딘장 하딘
0NA0001472	네 방으로
0NA0001473	무기함
0NA0001474	옷을 벗어라
0NA0001479	웨스트사이드로 가는 사다리
0NA0001498	차압 제어기
0NA0001499	역 펄스 제거기
0NA0001500	HEPA 20 카트리지 여과기
0NA0001502	레드 루시의 침대
0NA0001505	복수의 손길
0NA0001506	진정된 마음
0NA0001508	낮은 스킬
0NA0001511	사악한 마우드
0NA0001513	원한의 루스
0NA0001515	빡친 아이다
0NA0001518	용병 경비 복장
0NA0001525	니 일이나 신경써
0NA0001526	군단 보급품 은닉처
0NA0001531	군단 우편함
0NA0001537	군단 암살자
0NA0001543	카이사르의 호의
0NA0001544	카이사르의 적
0NA0001545	카이사르의 제안
0NA0001554	차베즈
0NA0001555	감옥 문
0NA0001556	베로니카
0NA0001557	(★) 비키의 보닛
0NA0001558	윈스 부부의 금고
0NA0001559	(★) 밴스의 9mm 기관단총
0NA0001560	새미의 금고 암호
0NA0001561	새미와 폴린
0NA0001562	밴스의 옷
0NA0001563	비키의 옷
0NA0001565	힘 상승
0NA0001566	인지력 상승
0NA0001567	지구력 상승
0NA0001568	매력 상승
0NA0001570	지능 상승
0NA0001571	민첩성 상승
0NA0001572	행운 상승
0NA0001573	흥정 기술 상승
0NA0001574	에너지 무기 기술 상승
0NA0001575	폭발물 기술 상승
0NA0001576	자물쇠 따기 기술 상승
0NA0001577	의학 기술 상승
0NA0001578	근접 무기 기술 상승
0NA0001579	수리 기술 상승
0NA0001580	과학 기술 상승
0NA0001581	화기 기술 상승
0NA0001582	은신 기술 상승
0NA0001583	화술 기술 상승
0NA0001584	격투 기술 상승
0NA0001585	노예 목걸이
0NA0001586	전기충격기
0NA0001587	(★) 레인저 전투복
0NA0001599	링겔 스탠드
0NA0001602	버치의 가족
0NA0001604	히든 밸리 저장고 열쇠
0NA0001606	제조설명서 - 병뚜껑 지뢰 v.2
0NA0001607	제조설명서 - 병뚜껑 지뢰 v.3
0NA0001608	제조설명서 - 다트 건 v.2
0NA0001609	제조설명서 - 다트 건 v.3
0NA0001610	제조설명서 - 데스클로 건틀렛 v.2
0NA0001611	제조설명서 - 데스클로 건틀렛 v.3
0NA0001612	제조설명서 - 누카 폭탄 v.2
0NA0001613	제조설명서 - 누카 폭탄 v.3
0NA0001614	제조설명서 - 개못 소총 v.2
0NA0001615	제조설명서 - 개못 소총 v.3
0NA0001616	제조설명서 - 락-잇-런처 v.2
0NA0001617	제조설명서 - 락-잇-런처 v.3
0NA0001618	제조설명서 - 시쉬케밥 v.2
0NA0001619	제조설명서 - 시쉬케밥 v.3
0NA0001620	제조설명서 - 락-잇-런처 v.4
0NA0001626	흡혈
0NA0001627	동심
0NA0001628	행운
0NA0001633	포세이돈 에너지 직원 ID 카드
0NA0001634	동쪽 태양광 반사판 제어 단말기 암호
0NA0001635	서쪽 태양광 반사판 제어 단말기 암호
0NA0001643	파우더 갱어 경호원
0NA0001645	레이더 콘솔
0NA0001647	눈먼자에게 빛을
0NA0001648	주정뱅이
0NA0001650	원격 신호 송신기
0NA0001652	경비 인터콤
0NA0001664	헌터의 농장
0NA0001665	관리실 문
0NA0001666	놈들은 부보안관은 안 쏘았지
0NA0001667	밴스 총 책자
0NA0001671	9mm 권총
0NA0001672	마커스의 방 문
0NA0001673	22 무소음 권총
0NA0001675	폭탄 목걸이
0NA0001676	아토믹 랭글러 경비원
0NA0001677	미사장석
0NA0001679	꼬마 부머
0NA0001689	린제이
0NA0001691	구걸하게 만들지마
0NA0001692	금전 출납기
0NA0001693	쓰레기통
0NA0001694	근무명부 보기
0NA0001695	레이더
0NA0001699	굿스프링스 수원지
0NA0001700	캘리포니아 선셋 드라이브인
0NA0001701	철도 비상 서비스시설
0NA0001702	단발 산탄총
0NA0001703	옷가방
0NA0001705	몸값 요구서
0NA0001707	간이 침대
0NA0001724	모하비 거주민
0NA0001729	핍-보이 3000
0NA0001736	행상인
0NA0001742	선셋 사르사파릴라 상자
0NA0001747	선셋 사르사파릴라 빈 병
0NA0001748	선셋 사르사파릴라 별 병뚜껑
0NA0001749	(★) 뿅 뿅
0NA0001750	[음료] 선셋 사르사파릴라
0NA0001752	수색 분대 일지 #2
0NA0001753	수색 분대 일지 #3
0NA0001754	수색 분대 일지 #4
0NA0001755	오염된 덤불
0NA0001756	물 펌프 경비
0NA0001757	급수 밸브
0NA0001758	태퍼
0NA0001761	스톤 이병
0NA0001763	체력 감소
0NA0001770	자루
0NA0001788	은닉물 노트
0NA0001789	라디오 신호 에코 폭스트롯
0NA0001790	히스패닉
0NA0001791	아시아인
0NA0001794	찰리 주둔지 요구 리스트
0NA0001795	이라스무스의 보고서
0NA0001796	쿠들로우의 보고서
0NA0001797	차베스의 감방 자물쇠를 따십시오.
0NA0001798	미첼 박사의 집
0NA0001799	빅터
0NA0001803	"말해도 될까?" 신입 사원을 위한 포세이돈 에너지 공지사항
0NA0001806	저격수 은신 위치
0NA0001807	폴론 호프 명령서
0NA0001814	언덕 위의 저격수
0NA0001815	(★) 동방의 검
0NA0001821	두더지쥐 시체
0NA0001824	[음료] 오염된 맥주
0NA0001825	[식재료] 오염된 얌얌 악마알
0NA0001826	[식재료] 오염된 겍코 고기
0NA0001827	[음료] 오염된 위스키
0NA0001828	[식재료] 오염된 파삭파삭한 뮤트프루트
0NA0001829	[식재료] 오염된 뮤트프루트
0NA0001830	[식재료] 오염된 바나나 유카
0NA0001831	[식재료] 오염된 통발 선인장
0NA0001832	[식재료] 오염된 맥앤치즈
0NA0001833	[식재료] 오염된 즉석 짓이긴 감자
0NA0001834	[식재료] 오염된 크램
0NA0001835	[식재료] 오염된 댄디 보이 애플
0NA0001836	[식재료] 오염된 팬시 라즈 스낵케이크
