0NO0000001	이름 : 페이서 
0NO0000022	[CRLF]좋은 소식이 있어, 일기장아! 드디어 시작된 것 같아. 이젠 정말 비참한 느낌이 들면서 (그리 새로울 것도 없지만 하하하) 피부도 벗겨지기 시작했어. 이게 첫 번째 단계겠지. 아 그런데 내 머리! 이제야 내 마음에 드는 색을 냈는데 머리가 빠지기 시작했어. 왜 구울이 된다고 해서 머리까지 빠져야 하지?
0NO0000024	[CRLF]이제 인간의 몸에 구속받는 데도 질려버렸어. 그래서 오늘은 버려진 핵 실험장에 있는 오두막으로 옮겼단다. 여기는 내가 구울로 변하기에 충분한 방사능이 있겠지. 세상이 이렇게 온통 쓸쓸하고 무서운 것 투성인데 거기에 어울리는 몸을 얻는 게 나쁠 것 없지 않겠니? 내 피부색이 어떻게 변할지도 궁금하고 변한 피부랑 어울릴 립스틱을 구할 수 있을지도 궁금하다. 아마 못 구하겠지. 맙소사, 정말 비참한 일 투성이야.
0NO0000025	핀드 소굴에서 레인저 모랄레스의 유해를 되찾는데 성공했다. 모랄레스 이병에게 돌아가서 남편의 시신을 무사히 회수했다고 전해줘야겠다.
0NO0000026	이게 무슨 뜻일까? 왜 내 병뚜껑 아래에 파란 별이 표시돼 있는 걸까? 빨간 구역 놈들이 꾸민 음모인가? 이것도 세뇌의 일환인가? 놈들은 내가 헛것을 보게 만드는 게 틀림 없다. 이 별은 여기 있을 리 없는데 왜 나는 별이 보이는 걸까? 사라지질 않는다. 아무리 오랫동안 눈을 감고 있어도 사라지질 않아. 난 별이 사라져 버렸으면 좋겠다고!
0NO0000027	식당에서 남자 한 명이 선셋 사르사파릴라의 뚜껑을 따더니 자기 방으로 달려 들어가는 걸 봤다. 무언가 숨기고 있는 것 같길래 그가 없을 때 그의 방으로 숨어 들어가 그 병뚜껑을 살펴봤다. 아래에 파란 별이 표시되어 있었는데, 아마 그 남자가 병뚜껑에 표시를 해 놓은 것 같지만 왜 그런 건지는 모르겠다. 분명한 건 이제 내가 그 병뚜껑을 가지고 싶다는 거다.
0NO0000028	페이서,
0NO0000029	[CRLF]네 제트는 내가 안전하게 맡아두고 있다, 이 좆같은 애송이 새끼야. 가져갈 수 있으면 가져가 봐.[CRLF]
0NO0000032	[CRLF]네 제트는 네가 빚진 거 담보로 내가 맡아두마. 돌려받길 원하면 나를 찾아와라.[CRLF]
0NO0000034	세상에서 가장 소중한 엘렌에게,
0NO0000035	[CRLF]전투가 치열하게 계속되고 있어서 살아 돌아갈 거라 기대하는 사람이 없어. 상황은 무척이나 암담한 상태야. 이 글을 쓴 이유는 만약 내게 나쁜 일이 생겨도, 내게 있어 당신이 얼마나 중요한 존재인지 알아줬으면 해서야.
0NO0000036	[CRLF]당신을 버리고 NCR에 입대하다니 정말 멍청한 짓이었어. 여기 온 이후로 매 시간, 1분 1초라도 그걸 후회하지 않은 순간이 없어. 이제 내 유일한 희망은 당신을 다시 만나서 내 품에 안아보는 것 뿐이야. 나를 그나마 버티게 해주는 건 당신에 대한 생각 뿐이라고.
0NO0000037	[CRLF]내가 실수를 하긴 했지만, 당신은 내 인생에 있어 가장 소중한 존재야. 미안해, 그리고 사랑해.[CRLF]
0NO0000038	해리
0NO0000039	사랑하는 제이니에게,
0NO0000040	[CRLF]당신이 이 글을 읽고 있다면 나는 이미 이 세상을 떠난 뒤겠지. 그저 당신이 내 인생에서 가장 중요한 존재였다는 걸 알려주고 싶었어. 당신은 나의 태양이자 나의 달이며 나의 별이었지. 전장 한가운데서도 항상 당신 생각 뿐이야. 밤이 되면 침상 위에 당신 사진을 붙여두고 당신의 아름다운 눈을 보며 잠들곤 해.
0NO0000041	[CRLF]내가 세상을 떠나더라도 항상 당신 곁에 있을 거라는 거 잊지 마. 당신이 눈을 감고 내 생각을 할 때마다 거기 있을 거야. 바로 당신 곁에.[CRLF]
0NO0000043	사랑하는 부모님,
0NO0000044	[CRLF]이 글을 읽고 계신다면 저는 집에 돌아갈 수 없게 된 거겠죠.
0NO0000045	[CRLF]이렇게 되어버려서 죄송해요. 두 분 말씀 안 들었던 것도 정말 죄송해요. 그렇게 집에서 뛰쳐 나와 버린 것도 너무 죄송해요.
0NO0000046	[CRLF]하지만 이것만은 알아주세요. 어머니 아버지는 세상에서 최고로 좋은 부모님이에요. 두 분은 제가 원하는 모든 걸 주셨었어요. 그걸 이제서야 깨닫네요.
0NO0000047	[CRLF]그 모든 것들에 대해 감사드려요.
0NO0000048	[CRLF]부모님의 아들[CRLF]
0NO0000049	제임스
0NO0000050	오드리,
0NO0000051	[CRLF]전황이 저번 편지 썼을 때보다도 훨씬 나빠졌어. 이곳 폴론 호프의 상황은 계속 악화되고 있는 중이야. 식량은 물론, 의약품이나 보급품도 부족해. 무엇보다 다들 겁에 질려있는 상태야. 매일마다 많은 수의 전우들을 잃고 있어. 친구들이 모두 죽어버리는 것을 보는 건 정말 견디기 힘드네. 
0NO0000052	[CRLF]소령님이 우리 사기를 북돋아 주려고 온갖 노력을 다했지만, 이젠 그것도 소용이 없어. 너무 많은 사람들이 죽었어. 리처즈 박사님은 좀 이상하긴 해도 훌륭한 분이신데, 그 분 혼자 돌보기엔 부상자가 너무나 많아.
0NO0000053	[CRLF]내 가족들을 지키기 위해 싸우고 있다는 사실 하나로 이 시기를 버텨내고 있어. 그리고 NCR이 이 싸움에서 이긴다면, 더 좋은 세상이 우리 앞에 펼쳐지게 되겠지.
0NO0000054	[CRLF]아이들을 잘 돌봐줘. 또 편지할게.[CRLF]
0NO0000055	테드
0NO0000056	사랑하는 엄마 아빠에게
0NO0000057	[CRLF]이 편지를 받았다면 이미 소식을 들었을 거야. 미안해. 그래도 이제 나는 더 좋은 곳으로 가게 되니까. 마이키한테 내가 훌륭한 일을 했다고 전해줘, 알았지?
0NO0000058	[CRLF]나한테 엄마 아빤 최고였어. 날 자랑스럽게 여겨줬으면 좋겠네.[CRLF]
0NO0000059	윌
0NO0000060	사랑하는 그레이시에게,
0NO0000061	[CRLF]내가 나의 신념을 위해 싸우다 죽었다는 걸 알아줘. 당신은 날 이해하지 못할 것이라는 걸 알아. 그럼에도 불구하고 나를 지원해줘서 고마워. 보내준 편지 하나하나 정말 고마워. 그 편지들이 내 유일한 희망이었어. 당신 덕분에 내가 계속 버틸 수 있었던 거야. 고마워. 일이 이렇게 되어버려서 참 안타깝지만, 온 마음을 다해 당신을 사랑했다는 것만은 알아줘.[CRLF]
0NO0000062	제프
0NO0000063	누나에게
0NO0000064	[CRLF]내일 내가 최전방 지역으로 파견된다는 편지가 왔어. 아마 누나가 이걸 읽고 있을 때쯤이면 나는 이미 죽었겠지. 결국 또 한번 누나가 맞고 내가 틀린 셈이네. 우리가 꼬마일 때부터 나는 항상 누나의 속을 썩였었지. 항상 누나가 하지 말라는 것만 하고. 이제 죽기 직전에 와서야 모든 게 누나가 나를 생각해서 그랬던 거라는 걸 깨달았어. 정말 미안해.
0NO0000065	[CRLF]부디 나를 용서해줬으면 해.[CRLF]
0NO0000066	케빈
0NO0000067	형들에게,
0NO0000068	[CRLF]이걸 읽고 있다면 나는 아마 어느 운 좋은 군단 개자식 손에 죽은 뒤일 거야. 그 개놈도 죽어서 땅 속에 파묻혔기를 바라지만, 그렇지 않다면 나 대신 복수해줘. 안 그러면 귀신이 돼서 형들을 따라다닐 거야.[CRLF]
0NO0000069	퀸시
0NO0000070	[CRLF]추신: 내가 미처 못 죽인 군단 개자식들을 나 대신 모조리 쓸어버려 줘.
0NO0000071	블레이크,
0NO0000072	트렌트,
0NO0000073	[CRLF]NCR 병사들 중 물이 사라지고 있다는 네 보고를 믿은 사람은 없었지만, 난 믿어. 내일 직접 만나 증거를 조사해보자. 조사 결과 네 말이 맞다면 바로 로마노프스키 중위님께 보고해서 진상을 규명하자고.
0NO0000075	보이드,
0NO0000076	[CRLF]또 화이트 상병이 나한테 와서 물 부족 현상에 대해 터무니없는 소리를 늘어놓으며 내 시간을 뺐었네. 거의 상관 앞에서 뵈는 게 없는 것 같던데 자네 부하 관리 좀 똑바로 해야겠군. 화이트는 웨스트사이드로 가서 묵시록의 추종자 일원인 톰 앤더슨과 이야기한다고 했으니 거기 있을 거야.
0NO0000077	[CRLF]- 로마노프스키
0NO0000078	제임스,
0NO0000079	[CRLF]우리 7년 간 같이 일했던 정을 생각해서 부탁 하나 들어주게. 올리버 장군을 설득해서 우리 교도소에서 인력 좀 그만 빼가고, 약속했던 인원 보충이나 좀 해달라고 해줘. 난 교도소 수감자들을 시켜서 철도를 새로 깔고, 기존에 있던 것들을 보수하도록 명령 받았는데 그 수감자들을 감시할 병력이 없이 어떻게 임무를 수행하겠나. 설마 올리버 장군이 닳을대로 닳은 범죄자 수십명을 병사 몇 명이서 관리할 수 있을 거라고 진심으로 믿는 건 아니겠지?
0NO0000080	[CRLF]머독에서 나한테 빚진 일도 있지 않나. 부디 부탁 좀 들어주게.[CRLF]
0NO0000081	네이선
0NO0000082	타이론 이 망할 사기꾼 새끼야. 물건 대금을 다 치렀는데 갑자기 값을 올리는 법이 어딨어. 이젠 돈도 없다고. 거기다 멜리사한테는 뭐라고 얘기해?
0NO0000083	[CRLF]이 메세지 보거든 슬론으로 좀 와라. 얘기 좀 하자.
0NO0000084	[CRLF]- 촘스
0NO0000085	사랑하는 앤드류,
0NO0000086	[CRLF]이걸 쓰게 되니 진짜 우울하긴 한데, 내일 우리 기지랑 넬슨 사이에 군단들이 득실거리는 최전방 지역으로 이동하게 됐어. 중대장이 이 망할 유서를 쓰라길래 지금 쓰고 있는데, 내가 죽는다니 얼토당토 않은 소리야. 나는 운이 더럽게 좋은 데다 자기의 사랑도 받고 있으니 곧 집에 돌아갈 거야. 현관문에 불 켜놓고 기다려.
0NO0000087	[CRLF]돌아가면 뉴 베가스에서 파티하자.[CRLF]
0NO0000088	사랑해.[CRLF]
0NO0000089	데빈
0NO0000090	사랑하는 에드나에게,
0NO0000091	[CRLF]카지노에서 우리 돈을 다 잃었어. 빨리 좀만 더 보내줘. 다시 되찾을 거야, 날 믿어줘.[CRLF]
0NO0000092	레니
0NO0000093	빌리, 제발 화내지 말아줘. 나 어젯밤에 탑스에서 우리 저금을 다 잃었어. 내 잘못이 아니야. 끗발도 좋았고 2000 캡이나 땄었다고. 그러다 운이 다해서 다 잃어버렸지 뭐야. 종잣돈 몇 푼 모아서 다시 전부 되찾을게. 제발 화내지 말아줘.[CRLF]
0NO0000094	수
0NO0000095	엄마!
0NO0000096	[CRLF]좋은 소식이랑 나쁜 소식이 있어. 좋은 소식은 엄마가 말하던 '그 바보 같은 도박들'에 돈을 다 날리진 않았다는 거야. 나쁜 소식은 그 돈을 고모라의 여자한테 죄다 써버렸다는 거지. 하지만 엄마도 그녀를 좋아할 거야. 멋진 숙녀거든. 뭐, 이제 돈도 다 잃어버렸으니 얼른 집으로 갈게.[CRLF]
0NO0000097	사랑해![CRLF]
0NO0000099	니콜,
0NO0000100	[CRLF]마침내 지금까지 쭉 노력해왔던 결실을 맺었어. 어제 탑스에서 잭팟을 터뜨렸거든! 몇 년 간 쌓인 빚을 갚으려니 돈이 왕창 나가긴 했지만, 그래도 우리가 남은 평생 잘 살만큼 돈이 남았단 말씀. 내가 뭐랬어![CRLF]
0NO0000101	있다 봐![CRLF]
0NO0000103	브루스,
0NO0000104	[CRLF]아무래도 우린 이제 헤어져야 할 거 같아. 더 이상 서로 맞지 않거든. 어젯밤에 울트라 럭스에서 멋지고 돈 많은 남자를 만났어. 그는 진짜 인생의 승리자야. 너처럼 더러운 농부 나부랭이가 아니고.
0NO0000105	[CRLF]우리 다신 보지 말자.[CRLF]
0NO0000106	레이시
0NO0000107	사랑하는 트레이시에게,
0NO0000108	[CRLF]베가스에서 일이 좀 잘되고 있어. 운이 좀 좋아서 잃은 거도 거의 되찾았고, 내일 룰렛 한 판 더 할 생각이야. 이번엔 정말로 많이 벌 거라고. 무지 많이. 촉이 와.[CRLF]
0NO0000109	행운을 빌어줘![CRLF]
0NO0000110	마크
0NO0000111	친애하는 브라보 중대에게,
0NO0000112	[CRLF]스트립의 NCR 대사관에 전출된 건 내가 NCR에 입대한 후 일어난 일 중 가장 멋진 일이야. 병사들이 문제 일으키지 않는지 지켜보는 건 식은 죽 먹기지. 게다가 남는 시간에는 술집과 클럽에서 마시고 떠든다고.[CRLF]
0NO0000113	너희도 여기 오면 좋을 텐데.[CRLF]
0NO0000114	시머 이병
0NO0000115	받는 이: 험프리 이병
0NO0000116	[CRLF]요 사흘은 내 인생 최고의 사흘이었어. 고모라에서 여자들과 한탕했는데 돈이 아깝지 않더군. 캠프 골프에서 그런 종류의 서비스는 받을 수 없지.
0NO0000117	[CRLF]일단 낮에 잠시 자둬야겠어. 오늘 밤 고모라에서 마지막으로 제대로 한탕 해볼 거니까.[CRLF]
0NO0000118	왓킨스 이병
0NO0000119	받는 이: 잭슨 이병
0NO0000120	[CRLF]이제 네 조언 따위는 안 들어. 네가 말한 대로 고모라의 바에 갔더니 오줌 같은 술이나 나오고, 댄서한테 너무 치근덕댄다며 카지노에서 쫓겨나고, 도랑에 빠지질 않나, 헌병한테 끌려가기 전엔 온몸에 토해버리기까지 했다고.
0NO0000121	[CRLF]주폭 유치장에서 일어나 보니 이틀이나 지난 후더라. 휴가 낭비하게 해줘서 고맙다, 망할 놈아. [CRLF]
0NO0000122	대니얼스 이병
0NO0000123	받는 이: 어윈 이병
0NO0000124	[CRLF]한번만 더 네 녀석의 장난 때문에 내 부하들이 제대로 복장을 갖추지 않은 채 복귀하는 일이 생긴다면 네 녀석을 당장 캠프 폴론 호프에 전속시켜 버리겠다. 다시 돌아오지 못하도록.[CRLF]
0NO0000125	지켜보겠어.[CRLF]
0NO0000126	애쉬빌 중위
0NO0000127	내 사랑 안젤라,
0NO0000128	[CRLF]당신의 입술을 느끼지 못하는 시간은 너무나 느리게 흐르네. 내가 입대한 것에 대해 아직도 화가 나 있는 거 알고 있어. 그렇지만 나는 당신과 나라를 위해 군에 입대한 거야. 군단 쓰레기들이 NCR과 당신 근처에도 못 하게 할 거야. 그 빨강 스커트 변태놈들이 날 이길 일은 없어. 걱정 마, 예쁜이. 
0NO0000129	[CRLF]원정은 곧 끝날 거야. 곧 집에 돌아가서 당신을 꼭 껴안아 줄게. 깜짝 놀랄 질문과 반지를 가지고. 무슨 말인지 알겠지?
0NO0000130	[CRLF]사랑해,
0NO0000131	[CRLF]엘레인
0NO0000132	몇 년간 "고급 레스토랑" 이라고 말하는 식당들을 많이 보았습니다만, 모두 다 화려하긴 해도 우리의 기대에 미치지 못하였습니다. 그러나 미식가 여러분, 저는 이 황량한 지구 위에 남은 진짜 식사를 즐길 수 있는 장소를 찾아냈습니다.
0NO0000133	[CRLF]여러분에게 울트라 럭스를 소개하겠습니다!
0NO0000134	[CRLF]길 위의 시민이나 평범한 사람들, 농부들과 불쌍할 정도로 적은 캡으로 겉모습 만으로 신분을 높이려 하는 보통 인간들은 무시하세요! 병 걸리고 불결하고 돈을 지불하면 누구라도 오라는 고모라의 매춘부 소굴도 무시합시다. 뉴 베가스의 유일하게 당신이 주목할만한 훌륭한 건물, 울트라 럭스로 향해 신나게 걸어갑시다. 그곳의 레스토랑 '미식가'의 문에 들어가서 사랑스러운 마조리를 찾으세요. 알아서 당신을 대접해 줄 겁니다.
0NO0000135	[CRLF]우물쭈물 하지 말고 서둘러 예약합시다! 호화로운 만찬이 당신을 기다리고 있습니다!
0NO0000136	탑스 깡패 새끼들이 나한테 사기 쳤어. 그래, 그 새끼들은 거짓말쟁이에 사기꾼 도둑놈들이야. 분명 게임을 조작한 거라고. 그래서 캡도, NCR 달러도 다 잃었어. 이 슬롯머신들은 절대 안 터져. 계속 지고 지고 지고 지도록 프로그램 되어 있지. 걔네 카드엔 딜러가 사기칠 수 있게 점이 찍혀있을 거야. 아마 투명한 잉크 같은 거겠지. 게다가 룰렛? 웃기지도 않아. 분명 그 쇠공은 자석일 거야. 놈들이 원하는 위치에 설 수 있도록. 여기서 따는 사람들은 전부 여기 직원이나 바람잡이겠지. 놈들이 사기를 친 게 아니라면 내가 잃은 게 설명이 안 돼. 절대, 절대로.
0NO0000137	[CRLF]저런 멀끔한 정장을 입어 봤자 속알맹이는 달라지지 않아. 더러운 사기꾼 새끼들. 놈들은 내 모든 걸 빼앗아 갔어. 아무것도 남은 게 없다고. 아무것도...
0NO0000138	[CRLF]이제 뭘 하지? 난 여기서 크게 땄어야 했는데. 여긴 꿈이 이루어지는 곳이잖아. 사람들은 여기서 큰 돈을 벌 수 있다고 했어. 캡만 있으면 새로운 미래를 살 수 있을 거라고 했는데, 이젠 다 끝이야. 다 끝이야...
0NO0000139	쿡,
0NO0000140	[CRLF]이자는 우리가 여기 감옥에 있는 동안 NCR 놈들을 쫓아버리는 등 아주 큰 도움을 줬어. 만족할만한 성과를 보이는 데다 믿을 만한 것 같아서 너에게 보낸다. 너한테 도움이 될 거야.
0NO0000141	[CRLF]이걸로 빚은 없는 거야.[CRLF]
0NO0000144	[CRLF]이 여자는 우리가 여기 감옥에 있는 동안 NCR 놈들을 쫓아버리는 등 아주 큰 도움을 줬어. 만족할만한 성과를 보이는 데다 믿을 만한 것 같아서 너에게 보낸다. 너한테 도움이 될 거야.
0NO0000147	덱 만들기
0NO0000148	[CRLF]캐러밴 카드 세트는 최소 30장의 카드로 구성되어야 한다. 다만 똑같은 카드는 덱에서 하나만 사용할 수 있으니 주의해야 한다. 여기서 똑같은 카드란, 카드의 숫자와 문양, 그리고 그 카드를 제작한 곳이 모두 같음을 의미한다. 예를 들면 탑스의 클로버 4와 럭키 38의 클로버 4는 다른 카드이므로 덱에서 둘 다 사용할 수 있다.
0NO0000149	[CRLF]규칙
0NO0000150	[CRLF]하나의 트랙에 쌓인 카드의 숫자 총합이 21이상 26이하가 되면 이를 '캐러밴을 이뤘다' 라고 표현한다. 하나의 트랙에서 당신이 상대방에게 이겼다는 것은 당신은 캐러밴을 이루고 상대방은 이루지 못했다던가, 당신도 상대방도 캐러밴을 이루었지만 당신의 카드 숫자 총합이 상대보다 높던가이다.
0NO0000151	[CRLF]덱을 설정하고 캐러밴을 시작하면 당신과 상대방은 덱에서 8장의 카드를 뽑게 된다. 화면 좌측 중앙에는 0이라는 표시가 총 6개가 있다. 이것들 하나하나를 '트랙'이라고 한다. 당신과 상대방은 각각 3개의 트랙을 갖는다. 트랙 하나에 상대 트랙 하나가 대응되는 방식이다.
0NO0000152	[CRLF]세 트랙에 한 장씩을 놓는 이 단계가 끝나면, 당신과 상대방이 서로 한 턴씩 번갈아 가며 게임을 하는데, 한 턴에 할 수 있는 행동은 크게 세 가지가 있다.
0NO0000153	[CRLF]1. 패에 있는 카드를 트랙에 낸다
0NO0000154	2. 패에 있는 카드 한 장을 버리고 덱에서 새 카드를 뽑는다
0NO0000155	3. 트랙 중 하나를 통째로 버린다
0NO0000156	[CRLF]하나의 트랙에 쌓인 카드의 숫자 총합이 21이상 26이하가 되면 이를 '캐러밴을 이뤘다' 라고 표현한다. 하나의 트랙에서 당신이 상대방에게 이겼다는 것은 당신은 캐러밴을 이루고 상대방은 이루지 못했다던가, 당신도 상대방도 캐러밴을 이루었지만 당신의 카드 숫자 총합이 상대보다 높던가이다.
0NO0000157	[CRLF]카드의 효과
0NO0000158	[CRLF]조커(Joker) : 에이스 위에 놓느냐 숫자 카드 위에 놓느냐에 따라 효과가 달라진다. 에이스 위에 올리면 조커를 올린 그 카드를 제외하고 그 카드와 문양이 같은 모든 카드를 상대, 자신 상관없이 모두 제거시킨다. 숫자 카드 위에 올리면 조커를 올린 그 카드를 제외하고 그 카드와 숫자값이 같은 모든 카드를 상대, 자신 상관없이 모두 제거시킨다.
0NO0000159	[CRLF]에이스(Ace) : 트랙에 쌓으면 숫자값 1을 더한다. 에이스에 조커를 조합할 수 있다.
0NO0000160	[CRLF]숫자(2~10) 카드 : 트랙에 쌓으면 그 카드의 숫자값을 더한다. 숫자 카드에 조커를 조합할 수 있다.
0NO0000161	[CRLF]잭(J, 잭) : 에이스 또는 숫자 카드 위에 올려서 그 카드를 제거시킨다. 주로 상대방의 K 공격을 당한 자신의 카드를 제거시키거나 상대방 카드에 공격을 가할 때 사용된다. (J로 인해 제거된 카드는 정말로 '제거'된 것이 아니라 현재 캐러밴 게임에서 제외된다는 의미이다)
0NO0000162	[CRLF]퀸(Q, Queen) : 에이스 또는 숫자 카드 위에 올려서 오름차순/내림차순을 뒤집는다. 예를 들어 2-5-7-9에서 다음은 10밖에 올릴 수 없지만 여기에 Q를 올리면 오름차순이 내림차순으로 바뀌어 8 이하의 카드만 올릴 수 있게 된다.
0NO0000163	[CRLF]킹(K, King) : 에이스 또는 숫자 카드 위에 올려서 그 카드의 숫자값을 2배로 만든다. 예를들어 9 위에 K를 놓으면 18이 되고, 한번 더 놓으면 18의 두배인 36, 그 다음에는 72가 되버린다(여기서 K는 대상으로 한 하나의 카드의 값만 2배로 올린다. 트랙 전체의 값 2배로 착각하는 경우가 있다). K 카드는 한 카드 위에 3번만 올릴 수 있다. 주로 자신의 트랙의 카드 위에 올려 빠르게 캐러밴을 이루게 하거나, 상대방 카드 위에 올려 트랙 총합이 26이 넘어버리도록 견제하거나 할 때 쓰인다. 자신의 카드에 올리는 경우에는 상대의 J 공격을 조심하자.
0NO0000164	[CRLF]승패의 결정
0NO0000165	[CRLF]모든 트랙에서 캐러밴이 이루어지면 게임이 끝난다. 당신이 이미 두 트랙에서 상대를 이기고 있다면, 나머지 한 트랙에서 일부러 져서 게임을 끝내버릴 수도 있다. 아니면 둘 중 어느 한 쪽이 덱이 고갈되어도 게임이 끝난다. 이 경우 당연히 덱이 없는 쪽이 패배한다.
0NO0000166	대상: 경호 인력 전원
0NO0000167	Re: 대통령 방문 시 경호 임무
0NO0000168	[CRLF]기본적인 임무 사항은 다음과 같다:
0NO0000169	 - 레인저들은 주변 지역에 위치해서 외부적인 위협 요인을 감시할 것.
0NO0000170	 - 무대와 군중 사이에 레인저들을 추가 배치할 것. 최우선 목표는 군중을 감시하여 불미스러운 일이 일어나지 않게 하는 것이다.[CRLF]
0NO0000171	[CRLF]또, 다음 장소에 저격수들을 배치하도록 한다.
0NO0000172	 - 방문자 센터 지붕
0NO0000173	 - 서쪽 산마루
0NO0000174	 - 댐 1번 탑 지붕 - 확인을 위해 무전기도 비치할 것.
0NO0000175	[CRLF]오늘 정신들 똑바로 차리도록. 우리가 감시하는 한 어떤 불의의 사고도 일어나게 둘 수 없다.
0NO0000176	[CRLF]-그랜트
0NO0000177	경비 보고서 - 레인저 그랜트
0NO0000178	[CRLF]오늘 대통령 각하의 방문을 위해 구역 최종 점검 및 준비에 들어간다.
0NO0000179	[CRLF]오직 경호 팀만이 대통령 각하의 연설 중 무기 휴대가 허용된다. 즉, 모든 병사는 사전에 무기를 반납해야만 한다.
0NO0000180	[CRLF]대통령 각하를 노린 잠재적 위험을 줄이기 위해 연설을 직접적으로 불 수 있는 사람들은 소수로 제한한다.
0NO0000181	[CRLF]각하께서 베테랑 레인저 두 명과 함께 오신다고 하니, 우리 경호 팀은 완전 경계 태세로 있어야 한다.
0NO0000182	[CRLF]준비 시간이 부족한 게 염려되지만, 우리는 오늘 여기서 본연의 임무를 수행해야만 할 것이다.
0NO0000184	정비 보고서 - 마이크 로슨
0NO0000185	[CRLF]대통령 전용 버티버드의 비행 제어 컴퓨터에 문제가 있다는 이야기를 들었습니다. 우리 쪽 기술진이 그 쪽에서 보내온 로그를 살펴본 결과, 약간의 업데이트만 하면 문제를 해결할 수 있을 것 같다고 합니다. 레인저 그랜트가 허락했으니 우리 기술진 중 한 명이 버티버드가 오는 대로 문제가 있는지 확인하면서 컴퓨터 시스템 업데이트도 할 겁니다.[CRLF]
0NO0000187	*대화문 로깅 프로토콜 0579241 시작*
0NO0000188	[CRLF]남자: 아직 여기 있는 거야?
0NO0000189	여자: 그래 여기 있어, 샘.
0NO0000190	남자: 오옷! 굉장해! 어서 가져 가자.
0NO0000191	프림 슬림: 친구들이여! 비키 앤 밴스 카지노에 온 것을 환영합니다!
0NO0000192	남자: 이 고철덩어리 좀 닥치게 할 수 없어, 폴린?
0NO0000193	여자: 당연하지 내 사랑! 자기는 어서 저 총이나 잡아.
0NO0000194	프림 슬림: 제발 전시품에는 손대지 말아주세요.
0NO0000195	여자: 거의 끝났어, 기억 파일을 삭제할게.
0NO0000196	남자: 알았어! 이제 출발하자. 이 멋진 녀석은 때가 될 때까지 내 금고에 숨겨 두지.
0NO0000197	여자: 좋아, 이 기억 파일만 삭제하고 웨스트사이드로 가자. 거기서 준비를 마칠 때까지 짱박혀 있는 거야.[CRLF]
0NO0000198	제 2 창고 재고 목록:
0NO0000199	[CRLF]질소통 14 개
0NO0000200	압력 밸브 2 개
0NO0000201	분산 노즐 8 개
0NO0000202	카트리지 여과기 (HEPA 20) 6 개
0NO0000203	FRP 파이프 (2m) 26 개
