0NO0000001	First Name: Pacer
0NO0000163	King: Played against ace, 2-10. Adds the value of that card again. E.g. a king played on a 9 adds 9 to that hand. Multiple kings may be played on the same card for multiplicative effects. E.g. 4+ king = 8. 4 + 2 kings = 16.
0NO0000164	WINNING
0NO0000165	A player's caravan is considered sold when the value of its cards is over 20 and under 27. The other player may still outbid by increasing the value of their opposing pile while staying within the 21-26 range. When each of the three competing caravans has sold, the game is over. In the event that one of the three caravan values are tied between players, the game continues until all three caravans have sold. The player with two or more sales wins the pot.
0NO0000166	Attn: Security Personnel
0NO0000167	RE: Security Assignments for President's Visit
0NO0000168	The basic assignments are this:
0NO0000169	-Rangers will secure the perimeter and keep an eye out for any external threats.
0NO0000170	-Additional Rangers will be stationed around the stage and the crowd. Their primary job is to keep an eye on the crowd to make sure nothing funny happens.
0NO0000171	I want sharpshooters positioned at the following potential sniper locations:
0NO0000172	Visitor Center Roof
0NO0000173	Western Ridge
0NO0000174	Dam Tower 1 Roof - I want a radio up here to check in.
0NO0000175	Stay frosty today. Nothing bad is going to happen on our watch.
0NO0000176	-Grant
0NO0000177	Security Report - Ranger Grant
0NO0000178	With the President's arrival today, security is running a final sweep of the area making preparations.
0NO0000179	Only members of the security team will have weapons at the President's speech. This means that all Troopers at the speech must relinquish their weapons beforehand.
0NO0000180	We will limit people allowed to see the speech to a small number to reduce any potential risk to the President.
0NO0000181	I've gotten word that the President is traveling with only two Rangers, so our security team will need to be on full alert.
0NO0000182	I'd still like to log my concerns about not having enough time to prepare for this, but we'll do our job here today.
0NO0000184	Engineering Report - Mike Lawson
0NO0000185	We've received word that the President's vertibird is having some issues with the flight control computer. I've had some of the techs here examine the logs that were sent and we think we can fix the issue with a small computer update. Ranger Grant has given me permission to have one of the NCR Engineers examine the vertibird when it arrives as well as having our computer update the vertibird's systems after it arrives.
0NO0000187	*Start speech to text logging protocol 0579241*
0NO0000188	Male: Is it still in there?
0NO0000189	Female: Yep, it's here Sam.
0NO0000190	Male: Well, hot damn! Let's grab it and go.
0NO0000191	Primm Slimm: Howdy Partners! Welcome to the Vikki and Vance Casino and museum!
0NO0000192	Male: Can you shut that thing up Pauline?
0NO0000193	Female: Sure thing honey! You grab the gun, and we'll get going.
0NO0000194	Primm Slimm: Please do not touch the exhibits.
0NO0000195	Female: I almost got it. I'll wipe the memory file as well.
0NO0000196	Male: Ok! Let's get going. I'm going to stick this bad boy in my safe until we are ready.
0NO0000197	Female: Alright, once I'm done with this memory block we'll head back to Westside until we're ready to go.
0NO0000198	Current Inventory for Storage Room 2:
0NO0000199	14 Nitrogen Canisters
0NO0000200	02 Pressure Valves
0NO0000201	08 Dispersal Nozzles
0NO0000202	06 Cartridge Filters (HEPA 20)
0NO0000203	26 FRP Piping (2m)
0NO0000205	1. Orders are to flow from on high down through the ranks. An order from a superior must always be obeyed, that their wisdom may be carried out without hesitation.
0NO0000206	2. Orders are to observe the flow and not skip ranks. A superior may only give orders to his direct subordinates, and not to those beneath them. In this way harmony of intent and cohesion of thought is maintained.
0NO0000207	> Let the record show that I have stood witness to the dismissal of David James from the post of Elder. Brother James was charged with destroying an unknown device recovered from a recent expedition. The purpose and function of the device remain unknown, and Brother James has thus far proven unwilling to discuss the matter with anyone. Head Scribe Talwin
0NO0000209	> Let it be recorded that on this day, Raymond Lorn was dismissed from his post as Elder for committing the crime of murder. Brother Lorn was known to have hostile feelings toward the victim, Senior Scribe Ritter. The guilty party insists that Ritter's death was a tragic case of friendly fire (the bunker was under attack at the time), but the tribunal felt they could not let him persist as Elder with such suspicion hanging over him. Head Scribe Bucek
0NO0000211	> Let it be added to the annals that Nolan McNamara was removed from the position of Elder due to his disregard for the Chain That Binds. In his stead, Head Paladin Hardin has assumed the role and shall lead the Mojave Chapter of the Brotherhood from this point forward.
0NO0000213	> Be it known that from this day, Kenneth Jones shall no longer bear the title of Elder. Brother Jones has willfully gone against the Chain That Binds and has been forced to step down. Head Paladin Lindquist succeeds him as Elder. Head Scribe Morgan
0NO0000215	The combination for my safe is 5-23-34
0NO0000218	Deputy Beagle would like help finding a new sheriff for Primm. I should look for someone that has some experience with law enforcement, and is familiar with Primm and the surrounding area.
0NO0000219	One of the highlights of the museum at the Vikki and Vance Casino is the authentic gun that Vance used in in their cross country crime spree. This gun is proudly on display at the center of the casino, near the car they died in.
0NO0000220	Mr. Petersen,
0NO0000221	If you want to see your wife alive again, bring the cash in small unmarked bills to the Bison Steve on Tuesday.
0NO0000222	The Mormons are warming up to the idea of a Crimson Caravan branch being established in New Canaan. Naturally, the taxes are such that we'll be at a severe disadvantage to their own caravans.
0NO0000223	The long-term solution is to overwhelm them with a flood of cheap NCR goods. I'll have to call in some favors with our contacts back in California, but the potential profit margins are worth it.
0NO0000224	Efforts to "encourage" Henry Jamison to resign have so far failed. His parents are proving stubborn as well - obviously, they don't want him around anymore than I do. Getting the New Vegas branch up and running should have been a simple job for him, but this place is still as crude and primitive as any frontier branch. Very irritating.
0NO0000225	Alice -
0NO0000226	Your push for a new tariff on Gun Runner weapons didn't make it past the Senate. They've got too much pull in California. We're going to have to find some other way to get the upper hand in the weapons market.
0NO0000227	- Jason Tagg, Modoc Branch Manager
0NO0000228	McCarran has requested more frequent supply runs to their outlying outposts. I've been able to negotiate additional terms in our favor, but I may need to lower our hiring standards to meet the demand. I'm already concerned about the reliability of some of the caravaneers. Were it not for the work contracts, I know some of them would have run off a long time ago.
0NO0000229	Nobody seems to believe in hard work anymore.
0NO0000232	Seasonal Casualty/Loss/Injury Summary:
0NO0000233	Two (2) minor gunshot wounds.
0NO0000234	One (1) case of radiation-related gastroenteritis.
0NO0000235	Three (3) radscorpion stings.
0NO0000236	One (1) twisted ankle.
0NO0000237	Zero (0) deaths.
0NO0000238	Zero (0) permanent injuries.
0NO0000239	Zero (0) medical evacuations.
0NO0000240	Total of eleven (11) patrol hours lost in the last three months to c/l/i.
0NO0000241	No medical/staff resupply required.
0NO0000242	Monday:
0NO0000243	* Observed patrol of 3 Raiders - radioed position but no intercept was sent.
0NO0000244	Tuesday:
0NO0000245	* Received yet another shipment of ammunition. This is the seventh shipment we have received without request.
0NO0000246	* Running low on Fancy Lads.
0NO0000247	Wednesday:
0NO0000248	* All Clear.
0NO0000249	Thursday:
0NO0000250	* Sighted Legion scout party bound for Bitter Springs. Intercept arrived two hours after we called it in - sent complaint to Hanlon about NCR militia taking forever.
0NO0000251	* Shipment arrived with more .308 rounds (not requested). Sent complaint to Hanlon but didn't get a response.
0NO0000252	Friday:
0NO0000253	* Rabid jackal wandered into camp providing much needed target practice.
0NO0000254	* Found crate of rifles in with some rations shipped last week - where are all these surplus weapons coming from?
0NO0000257	Sighting ES-7 in quadrant 9:
0NO0000258	* Sighted at 03:11
0NO0000259	* Radioed HQ at 03:13
0NO0000260	* NCR rogered at 06:01
0NO0000261	* Contacts left quadrant at 05:10
0NO0000262	* NCR patrol in position at 7:20
0NO0000263	Sighting ES-8 in quadrant 9:
0NO0000264	* Sighted at 07:22
0NO0000265	* Radioed HQ at 07:25
0NO0000266	* NCR rogered at 10:01
0NO0000267	* Contacts left quadrant at 10:15
0NO0000268	* NCR patrol in position at 11:20
0NO0000269	Sighting ES-9 in quadrant 11:
0NO0000270	* Sighted at 019:59
0NO0000271	* Radioed HQ at 20:04
0NO0000272	* NCR rogered at 23:23
0NO0000273	* Contacts left quadrant at 20:44
0NO0000274	* NCR patrol in position at 01:19
0NO0000275	After Action for Incident FS-87,
0NO0000276	Victims include 4 NCR Militiamen - squad was most likely on an unregistered patrol as they were not being observed until after the attack. Assailants believed to be raiders (likely Great Khans) with hunting dogs (two dog corpses were left in the scuffle - tracks suggest as many as a dozen in the attacking pack).
0NO0000277	Threat Assessment: Trivial. Great Khans with dogs present virtually no matter of trouble. Incident likely caused by unskilled NCR patrolmen failing to radio us for an eyes-on backup.
0NO0000278	Radioed HQ with report at 12:40, received Hanlon's confirmation at 12:42 that he received the details.
0NO0000279	Chavez at the NCR Correctional Facility wants you to pick the lock to his cell.
0NO0000280	Pending the successful launch of ARCHIMEDES II, we ought to be able to begin field trials with the handheld rangefinder within a few weeks.
0NO0000281	Our small-scale tests have already proven the viability of sending power as microwave radiation from the plant to a remote receiver and converting it back into a useable form. All that remains is to extrapolate it to full scale and then prove out the long-range communication/targeting system on the rangefinder.
0NO0000282	Brig. Gen. Scott Lowe of the U.S. Army will be visiting the facility starting next Monday and staying onsite indefinitely.  When ARCHIMEDES goes live, he will be the only person here allowed to authorize its use for anything other than a test. Civilian employees are not required to salute, but it is expected of everyone that you observe thorough grooming and hygiene regimens and dress neatly while the general is with us. The general expects the best from all his men, and Poseidon men should be no different in the presence of such a fine and decorated soldier.
0NO0000284	As a member of the Poseidon Family, it will be natural for you to become enthusiastic about the incredible endeavors you'll be undertaking with us, and to want to tell others. But just a second there, my good man! Let's take a minute to consider what could happen if company information fell into the wrong hands, and whose hands those might be.
0NO0000285	"Can I tell my wife?" Well, let's say you do. You tell her not to tell anyone. Your bond is sacred. But a woman's idle tongue is the devil's plaything. No sooner do you leave for work the next day than she's on the phone telling her best friend Candy. Then Candy tells Gertie, Gertie tells Maxine, Maxine tells Lulu, and while Lulu is telling Doris, a Chinese agent posing as an American operator listens in, and the next thing she's on the line with the Forbidden City, singing like a treasonous canary. The following day you and your wife are bound in shackles and China is sitting at the controls of our entire arsenal.
0NO0000286	"Can I tell my children?" What father wouldn't want his kids to look up to him? Don't be that father. One day at school, Ivan Bullykov will get more than lunch money out of your kids. He'll have national secrets! And while they're parading him through Red Square as a national hero, your children will be working in forced labor camps, right next to you and your beautiful young wife, who's now wrinkled and homely since the communists have banned makeup because it expresses individuality.
0NO0000287	"Can I tell my drinking buddies?" Surely if there's somewhere safe a man can place his trust, it is with his other male friends. But how much do you really know about them? Are they friends... or *comrades*? Don't be too sure. Even the most transparent window can hide secrets when it's lined with Iron Curtains.
0NO0000288	Always remember: you are a member of two families now. And you have obligations to both. But your obligation to the Poseidon Family is greater, because while your children may misbehave and your friends may change and your wife may nag and cheat on you, Poseidon Energy will always be paying for and protecting your way of life. Don't tell anybody about anything about the projects of Poseidon Energy. When pressed, tell them that your job is repetitive and not worth discussing, but the Company is nurturing and gives good benefits and is always looking for new talent.
0NO0000289	On Tuesday February 16 at 2 PM, technicians will be running a test of ARCHIMEDES and its connectivity with our plant security system. UNDER NO CIRCUMSTANCES should any employee be outdoors on the plant grounds until the alarm klaxon has ceased and an all-clear is given. We have death and dismemberment waivers from all employees on file and are not responsible for any accidents that should occur during this procedure.
0NO0000290	Protective eyewear is MANDATORY for all technicians observing from the tower deck.
0NO0000291	DELIVER STATION Camp Forlorn Hope
0NO0000292	FOR Polatli, Joseph (Major) OR HIGHEST RANKING OFFICER
0NO0000293	Major,
0NO0000294	This is to inform you that a small sniper nest has been successfully set up near Cottonwood Cove as requested. The nest should have some bedding and a small amount of supplies, but no weaponry.
0NO0000295	The sniper should be forewarned that the position is close to the enemy camp and upon completing his or her objective, should get the fuck out of there as soon as flamingly possible.
0NO0000296	The coordinates are: 12, -22
0NO0000297	Good luck and good hunting.
0NO0000298	Signed,
0NO0000299	De Leon, David
0NO0000300	Field Preparations Division
0NO0000303	READ IMMEDIATELY, THIS CONCERNS TROOP REASSIGNMENTS
0NO0000305	You and I are well aware of the situation you're in, so I apologize in advance for the contents of this letter. Due to Camp Forlorn Hope's position as a high alert combat zone and the exceedingly high mortality rate of troopers assigned there, you are hereby ordered to pull all female NCR personnel (including non-combatants) from the field and give them marching orders to Camp McCarran for reassignment. Absolutely no female NCR personnel are to be stationed at Camp Forlorn Hope until further notification.
0NO0000306	You will not be assigned replacements until High Command can figure out where the hell to pull replacements from.
0NO0000307	You have my sympathies, Major.
0NO0000309	Scheppman, Andy
0NO0000310	Assignments Office
0NO0000311	ORDER AUTHORIZATION 10328487
0NO0000312	We, the undersigned, do hereby agree for Primm to become full participants in the New California Republic. We accept that we will follow all of the NCR laws and regulations, and support them in all wartime efforts.
0NO0000313	This petition has 3 of 5 signatures.
0NO0000315	This petition has 4 of 5 signatures.
0NO0000317	This petition has all 5 required signatures. It can now be returned to Hayes.
0NO0000319	This petition is unsigned.
0NO0000321	This petition has 1 of 5 signatures.
0NO0000323	This petition has 2 of 5 signatures.
0NO0000324	From my cold, dead hands.
0NO0000325	Self-destruct sequence initiated. Please exit the bunker in a calm, orderly fashion.
0NO0000326	Self-destruct sequence aborted.
0NO0000327	Dear scumbags,
0NO0000328	Thank you so much for destroying my equipment. I sincerely hope you appreciate the gifts I left for you.
0NO0000329	This ledger is an extensive record of the Legion's prior dealings with tribal societies it has encountered in its expansion.
0NO0000330	Of particular interest is the fate of the Twisted Hair tribe of Arizona, who formed an alliance with Caesar to serve as his army's scouts during the conquest of that region. Once the Arizona wastes were pacified, the Legion turned on its erstwhile allies, stripped them of their tribal identity, and forced them into slavery. Those who resisted were crucified along the remains of Interstate 40.
0NO0000361	NCR Strip Gang Report #04-32-B27
0NO0000362	The Strip - Omerta Activity
0NO0000363	The receptionist at Gomorrah has proved invaluable for her services. Most of her tips have been fairly minor, however she did help us intercept a shipment of drugs as they were coming through Freeside.
0NO0000364	We don't currently have any pending investigations, but she will receive a few "prepayments" for information. That should keep her fairly supple if the need arises to go to her for a tip in the future.
0NO0000365	-end-
0NO0000366	This journal consists of detailed records and observations from Karl's time with the Great Khans. Many of the entries go into great detail about his opinion of their "savage, barbarous customs," and at several points he waxes philosophic about how it's very likely that Caesar's Legion will have to execute the lot of them.
0NO0000369	The NCR at Camp Forlorn Hope are short on supplies. Quartermaster Mayes is looking for Holotags to track fallen soldiers and reallocate inventory. Your assistance will be appreciated.
0NO0000370	INSTRUCTIONS
