///Project Nevada	
PJN0000001	쓰리 슈터
PJN0000055	오토-가우스 - 냉각기
PJN0000056	오토-가우스 - 가속기
PJN0000057	오토-가우스 - 야간 조준경
PJN0000058	유럽식 전투 소총 - 확장 탄창
PJN0000059	유럽식 전투 소총 - 접이식 개머리판
PJN0000060	유럽식 전투 소총 - 야간 조준경
PJN0000061	레이시 보관함
PJN0000062	붉은 협곡 보관함
PJN0000063	188건러너 보관함
PJN0000064	188미첼 보관함
PJN0000065	188NCR 보관함
PJN0000066	블레이크 보관함
PJN0000067	쳇 보관함
PJN0000068	클리프 브리스코 보관함
PJN0000069	데일 바튼 보관함
PJN0000070	건러너HQ 보관함
PJN0000071	존슨 내쉬의 보관함
PJN0000072	깁슨 할머니의 보관함
PJN0000073	바든 보관함
PJN0000074	토레스 보관함
PJN0000075	반그라프 보관함
PJN0000076	슬릭백 슈트
PJN0000077	슬릭백 모자
PJN0000078	향상된 리콘 아머
PJN0000079	향상된 리콘 헬멧
PJN0000080	데저트 리콘 아머
PJN0000081	(★) 공군 T-57C 파워 아머 헬멧
PJN0000082	(★) 공군 T-57C 파워 아머
PJN0000083	볼트-텍 파워 아머 헬멧
PJN0000084	볼트-텍 파워 아머
PJN0000085	강화 더스터
PJN0000086	(★) 데스 워커 더스터
PJN0000087	군용 점프슈트
PJN0000088	레인저 리콘 아머
PJN0000089	레인저 리콘 헬멧
PJN0000090	극저온 탄약
PJN0000091	슈트 해독제
PJN0000092	슈트 스팀팩
PJN0000093	(★) 신비한 검
PJN0000094	에일리언 P-모듈
PJN0000095	냉각
PJN0000096	대못
PJN0000097	권총(또는 비슷한 한손 무기)를 사용할 때 V.A.T.S. 모드에서 명중률과 불릿 타임이 크게 향상됩니다.
PJN0000098	당신은 핍-보이의 V.A.T.S. 로직을 최적화시켰습니다. AP 사용량이 10% 감소하고 불릿 타임도 향상됩니다.
PJN0000099	소총(또는 비슷한 양손 무기)를 사용할 때 V.A.T.S. 모드에서 명중률과 불릿 타임이 크게 향상됩니다.
PJN0000100	V.A.T.S. 모드에서 목표를 죽이면, V.A.T.S.를 나가면서 AP 20 포인트가 회복됩니다. 불릿 타임으로 제거했을 때도 마찬가지입니다.
PJN0000101	스텔스 나노봇 덕에 휴대용 스텔스 필드가 생성되어, 짧은 시간동안 모습을 감출 수 있습니다.
PJN0000102	생체 공학 안구 덕에 시야가 향상돼 밤에서도 잘 볼 수 있고, 열/전자기파를 감지할 수도 있습니다.
PJN0000103	AR 전투 스캐너 덕에 멀리 있는 적을 분석할 수 있습니다.
PJN0000104	RUSH 아드레날린 증폭기 덕에 아드레날린 생성이 증폭된 결과, 적을 죽일 때마다 AP 재생 보너스를 얻습니다.
PJN0000105	인조 허파 덕에 질주를 두 배 더 오래 할 수 있고, 물 속에서 호흡도 가능합니다.
PJN0000106	동적 가속기에 의해 팔의 속도가 증가한 결과, 불릿 타임 시 공격 및 재장전 속도가 [%] 빨라집니다.
PJN0000107	동적 가속기에 의해 다리의 속도가 증가한 결과, 질주 시 주변이 [%] 더 느려집니다.
PJN0000108	[%]에 나노바이오닉 섬유를 임플란트한 결과, 해당 부위가 입은 피해를 자체적으로 재생합니다.
PJN0000109	손 안정기 덕에 손재주가 는 결과, 자물쇠 따기와 수리 기술이 [%] 증가합니다.
PJN0000110	모터 암기기 덕에 머슬 메모리가 향상된 결과, 에너지 무기와 총기 기술이 [%] 증가합니다.
PJN0000111	신경 데이터툴 인터페이스가 손에 장착된 결과, 과학 기술이 [%] 증가합니다.
PJN0000112	걸음 조절기 덕에 발소리가 줄어든 결과, 은신 기술이 [%] 증가합니다.
PJN0000113	무게 흡수기 덕에 다리의 부담이 줄어든 결과, 운반 한계가 [%] 증가합니다.
PJN0000114	손톱에 숨겨진 면도날을 장착한 결과, 맨손 공격의 치명타 확률 및 피해량이 [%] 증가합니다.
PJN0000115	음성 변조기 덕에 당신이 무슨 말을 하든 참 듣기 좋습니다. 흥정과 화술이 [%]만큼 올라갑니다.
PJN0000116	튼튼한 체격 덕에 이물질 몇 개 삽입하는 건 일도 아닙니다! 당신은 신체에 임플란트를 최대 4개까지 이식 가능합니다.
PJN0000117	당신이 견딜 수 있는 임플란트의 개수는 다른 사람이 시도했다간 머리가 터질 정도로 많습니다. 당신은 머리에 임플란트를 최대 4개까지 이식 가능합니다.
PJN0000118	연결된 시냅스 덕에 정보를 훨씬 빠르게 처리할 수 있게 된 결과, 불릿 타임이 시간을 20% 더 느리게 합니다.
PJN0000119	당신은 손으로 뭘 하는 걸 좋아합니다... 교체한다든가 하는 거요! 각 팔에 임플란트를 최대 2개까지 이식 가능합니다.
PJN0000120	더 이상 다리에서 털이 자라지 않습니다. 무슨 일일까요... 각 다리에 임플란트를 최대 2개까지 이식 가능합니다.
PJN0000121	당신은 손에서 전자기 펄스를 방출함으로써 로봇에게 100의 피해를, 파워 아머나 에너지 무기 사용자에게 50의 피해를 끼칠 수 있게 됐습니다. 시간 당 1 펄스를 재충전하며, 총 5 펄스를 보관할 수 있습니다.
PJN0000122	당신은 손에서 전자기 펄스를 방출함으로써 로봇에게 100의 피해를, 파워 아머나 에너지 무기 사용자에게 50의 피해를 끼칠 수 있게 됐습니다. 시간 당 2 펄스를 재충전하며, 총 10 펄스를 보관할 수 있습니다.
PJN0000123	당신은 손에서 초고주파 펄스를 방출함으로써 적을 연소시켜 50의 피해를 주게 되며, 시간이 지나면서 추가 피해를 줍니다. 시간 당 1 펄스를 재충전하며, 총 5 펄스를 보관할 수 있습니다.
PJN0000124	당신은 손에서 초고주파 펄스를 방출함으로써 적을 연소시켜 50의 피해를 주게 되며, 시간이 지나면서 추가 피해를 줍니다. 시간 당 2 펄스를 재충전하며, 총 10 펄스를 보관할 수 있습니다.
PJN0000125	장거리 야간 조준경 추가.
PJN0000126	최대 장비 상태 증가.
PJN0000128	야간 조준경 추가.
PJN0000129	공격력 증가 ([%])
PJN0000130	(대체 수리)
PJN0000131	수리 목록은 각 아이템에 필요한 수리 기술을 충족하면 확장됩니다.
PJN0000132	무엇을 설정하시겠습니까?
PJN0000133	선택하신 키는 이미 '[%]'에 할당되어 있습니다.
PJN0000134	앞으로 이동
PJN0000135	자동 이동
PJN0000136	시점 변경
PJN0000137	메뉴
PJN0000138	휴식
PJN0000139	단축키 [%]
PJN0000140	뒤로 이동
PJN0000141	왼쪽 이동
PJN0000142	오른쪽 이동
PJN0000143	막기/확대
PJN0000144	아이템 준비
PJN0000145	불릿 타임
PJN0000146	확대
PJN0000147	축소
PJN0000148	수류탄 투척
PJN0000149	수류탄 선택
PJN0000150	프로젝트 네바다가 NVSE를 찾지 못했습니다. 제대로 작동하려면 NVSE가 필요합니다.
PJN0000151	HUD 확장 기능을 찾지 못했습니다. 프로젝트 네바다 설치에 문제가 있는 걸로 보입니다.
PJN0000152	향상된 시야
PJN0000153	스캐너 덕에 당신은 멀리 있는 잠재적인 적을 분석할 수 있게 되었습니다.
PJN0000154	[CRLF]스캔하려면, 목표를 향해 줌인이나 조준을 하세요. 스캔 가능한 목표라면 1을 눌러 스캔을 시작할 수 있습니다.
PJN0000155	향상된 시야를 활성화시키려면, M 을 눌러주세요. 다음 세 가지의 모드가 있습니다:
PJN0000156	[CRLF]* 야시경. 야간이나 광원이 부족한 곳에서 시야를 확보해줍니다.
PJN0000157	* 열감지. 흡열성 적을 포착하게 해줍니다.
PJN0000158	* EM 시야. 적이나 폭발물, 에너지 무기 내의 전자기기에 의해 생성되는 전자기를 포착하게 해줍니다.
PJN0000159	[CRLF]어떤 장치를 사용하느냐에 따라 모드가 달라집니다. 외부 동력이 필요할 경우도 있습니다. (에너지 셀)
PJN0000160	스텔스 필드는 적에 의해 발각될 확률을 크게 줄여줍니다. 기본 단축키는 X 입니다.
PJN0000161	[CRLF]기본적으로 두 가지 은폐 장비가 있습니다:
PJN0000162	[CRLF]* 일회용 (스텔스 보이)
PJN0000163	* 재사용 가능 (스텔스 아머, 임플란트 등)
PJN0000164	[CRLF]사용 시, 둘 다 HUD 위쪽에 상태가 표시됩니다.
PJN0000165	일회용 장비의 경우 사용 시 상태가 조금씩 줄어듭니다. 0에 도달할 경우, 장비는 부서지며 더 이상 사용할 수 없게 됩니다.
PJN0000166	재사용 가능 기기의 경우, 스텔스 필드를 끄면 시간이 지남에 따라 천천히 상태가 회복됩니다. 다만 외부 동력이 필요할 수도 있습니다. (에너지 셀)
PJN0000167	이 장비에 전력을 공급하려면 에너지 셀이 필요합니다.
PJN0000168	투척 폭발물이나 투척 무기를 빠르게 착용하시려면, G 키를 꾹 눌러주세요. G 키를 떼면 다시 원래 무기로 바꿔듭니다.
PJN0000169	[CRLF]수류탄 단축키에 할당되는 아이템들은 4가지 카테고리로 분류됩니다:
PJN0000170	[CRLF]* 수류탄
PJN0000171	* 투척 무기
PJN0000172	* 지뢰
PJN0000173	* 원격 폭발물
PJN0000174	[CRLF]같은 카테고리에 속하는 아이템을 여럿 소지하고 있을 경우, H 를 눌러 다음 아이템을 선택할 수 있습니다. 현재 선택한 아이템에 해당하는 아이콘이 나타날 겁니다.
PJN0000175	[CRLF]카테고리를 바꾸려면, H를 1초간 누르세요. 카테고리 아이템이 보이는 동안 H를 누르며 선택 아이템을 변경할 수 있습니다.
PJN0000176	C를 눌러 불릿 타임을 활성화하십시오.
PJN0000177	수류탄 단축키 기능이 업데이트 되어 더 많은 폭발물을 지원합니다!
PJN0000178	[CRLF]더 많은 수의 아이템을 다루기 위해, 모두 4가지 카테고리로 분류됩니다:
PJN0000179	프로젝트 네바다는 최소한 NVSE v2 베타 12 버전이 필요합니다. 업데이트 해주세요.
PJN0000180	수류탄 빠른 선택
PJN0000181	투척 무기 빠른 선택
PJN0000182	지뢰 빠른 선택
PJN0000183	폭발물 빠른 선택
PJN0000184	왼쪽의 목록에서 &sXBDPadUp; 와 &sXBDPadDown; 를 눌러 이동하십시오. &sXBABtn; 를 눌러 설정할 모드를 선택하십시오.
PJN0000185	&sXBDPadRight; 를 눌러 선택 모드의 옵션을 설정하십시오. &sXBDPadLeft; 를 눌러 모드 목록으로 돌아가십시오.
PJN0000186	&sXBDPadUp; 와 &sXBDPadDown; 를 눌러 목록에서 이동하십시오. &sXBABtn; 로 선택하십시오.
PJN0000187	&sXBDPadLeft; 나 &sXBDPadRight; 를 눌러 값을 감소/증가시키십시오.
PJN0000188	&sXBLBumper; 를 누르면 왼쪽에 가까운 마커로 이동합니다. &sXBRBumper; 를 누르면 오른쪽에 가까운 마커로 이동합니다. 
PJN0000189	&sXBDPadUp; 나 &sXBDPadDown; 로 선택하십시오. 선택된 부분은 하이라이트 됩니다.
PJN0000190	&sXBDPadLeft; 나 &sXBDPadRight; 를 눌러 값을 감소/증가시키십시오.
PJN0000191	NVSE가 컨트롤러 버튼 눌림을 감지하지 못합니다. Xpadder 등의 프로그램을 이용해 키보드/마우스 버튼과 컨트롤러의 새 단축키를 설정해야 합니다.
PJN0000192	&sXBBBtn; 를 눌러 취소하십시오.
PJN0000193	사람들과 친해지기 어려운가요? 공감 합성기만 있으면 문제 없습니다. 전두엽 피질에 삽입된 이 임플란트는 당신의 감성을 더 향상시켜 줄 겁니다. 개인적으로든 비즈니스적으로든 말이죠.
PJN0000194	효과: 매력 +1
PJN0000195	이식
PJN0000196	< 뒤로
PJN0000197	대뇌 피질에 직접 임플란트된 논리 동시 프로세서는 뇌 기능을 크게 향상시켜 빠른 지식 습득, 보다 향상된 집중, 복잡한 사안의 즉각적인 이해를 촉진시킵니다.
PJN0000198	[CRLF]효과: 지능 +1
PJN0000199	이미지 인식 알고리즘이 향상된 시력 향상기는 시신경에 입력되는 자료를 더 선명하고 자세하게 볼 수 있게 합니다. 눈을 뜨고 새로운 관점으로 세상을 보세요!
PJN0000200	[CRLF]효과: 인지 +1
PJN0000201	그냥 운에만 맡기기에는 당신의 목숨은 너무 소중합니다! 확률 계산기가 있으면, 전두엽이 최적화되어 최대한 원하는 바에 가까운 결과가 나오도록 선택하게 됩니다. 신변의 안전을 위해 과도한 도박에서의 사용은 권장하지 않습니다.
PJN0000202	[CRLF]효과: 행운 +1
PJN0000203	전세계 수천 명의 운동선수에 의해 사용되고 있는 비대증 가속기는, 체내에 추적 가능한 잔여물을 남기지 않고도 빠르고 안전하게 근육량을 늘릴 수 있게 해줍니다. 어떤 최신 약물 검사에도 들키지 않을 것을 보증합니다.
PJN0000204	[CRLF]효과: 힘 +1
PJN0000205	메드-텍에 의해 개발된 PHOENIX 단핵세포 배양기는 인체의 재생 능력을 극도로 향상시킵니다. 빠른 세포 재생 능력 덕에 전치 수주 혹은 수개월의 부상도 며칠만에 회복됩니다.
PJN0000206	[CRLF]효과: 체력 재생
PJN0000207	드디어 만성 통증에 시달리는 수백만의 환자들에게 희망이 보입니다! 치명적인 부작용을 달고 있거나 단기적인 완화 밖에 줄 수 없는 다른 통증 치료법들과는 달리, 침해 수용 조절 장치는 자연적인 통증 신호 체계를 거스르지 않고도 통증을 완벽하게 완화시켜 줍니다.
PJN0000208	[CRLF]효과: 지구력 +1
PJN0000209	1000분의 1초로 승패, 혹은 생사가 갈리는 상황에서, 반사신경 증폭기는 절대적인 메리트가 됩니다. 엄청난 반응 속도 덕에 생존하는 동물들의 생리를 연구한 결과, 당신의 중추 신경은 최소한의 지연으로 신체를 반응할 수 있게 됩니다.
PJN0000210	[CRLF]효과: 민첩 +1
PJN0000211	연구에 따르면, NEMEAN 피하 이식 갑옷은 완전히 장비를 갖춰 입은 군인도 죽게 만들 화염 속에서 일반 의상을 착용한 사람을 생존하도록 해줍니다. 그러나 막대한 생산 비용 때문에 이 기술은 화재 보험에 가입할 수 있는 부자들만 사용하는 아이러니를 보입니다. 다른 사람들은 케블러 방탄 조끼로 연명하는데 말이죠.
PJN0000212	[CRLF]효과: DT +4
PJN0000213	웨스트 텍의 증강현실 스캐너는 전투에서 실시간으로 컴퓨터의 보조를 받을 수 있게 설계되었습니다. 이 기술은 잠재된 위협을 계산하고 적의 방어나 가능한 피해량을 분석할 수 있게 해줍니다.
PJN0000214	[CRLF]효과: 스캐너
PJN0000215	생체 공학 안구는 사이버네틱 기술로 신체가 향상된 병사들의 전투 능력을 발전시키기 위한 초기 연구 중 하나였습니다. 그에 따라 이 기술에는 야시경부터 열감지, 전자기 감지 등 여러가지 기능이 있습니다.
PJN0000216	[CRLF]효과: 향상된 시야 모드
PJN0000217	대부분의 사람의 감정이나 능력은 스트레스가 많은 상황에서 크게 증폭됩니다. RUSH 아드레날린 증폭기는 이 효과를 더욱 향상시키고 조정함으로써 당신이 무엇을 경험해왔든 그 이상을 경험하게 해줍니다. 효율 및 안전상의 이유로 인조 심장을 이식할 것을 권장합니다.
PJN0000218	[CRLF]효과: 적을 죽일 때마다 AP 재생 보너스
PJN0000219	이전의 혁신을 기반으로, 롭코는 자신들의 최신 은폐 기술을 선보입니다. 사용자의 피부에는 나노봇들이 항시 대기하며 특별한 은폐 기술 없이도 스텔스 필드를 생성할 수 있게 합니다. 전력은 외부 동력을 이용해 주기적으로 충전해야 합니다.
PJN0000220	[CRLF]효과: 스텔스 필드 능력
PJN0000221	호흡기에 여러 인조 임플란트가 이식됨으로써 사용자의 산소 공급을 크게 향상시킵니다. 만성 폐 질환에 시달리는 환자들을 위해 처음 개발되었던 이 임플란트는 이제 군 부대 뿐 아니라 소방수나 잠수사 등 민간을 위해서도 사용되고 있습니다.
PJN0000222	[CRLF]효과: 질주 AP 소모 -25%, 수중 호흡
PJN0000223	급소 외 어느 신체 부위에든 이식 가능한 나노바이오닉 섬유는 해당 부위를 매우 튼튼하게 해줍니다. 원래 부위는 만일의 경우를 대비해 따로 보관합니다. 사용자가 생존하는 한 나노봇들이 피해 부위를 치료합니다.
PJN0000224	[CRLF]효과: 사지 회복
PJN0000225	기계 및 신경 조정 장치로 이루어진 동적 가속기는 여러 신체 부위의 속도를 증강시켜줍니다. 관절의 유압식 부분은 빠른 가속 능력에 사용되며, 두뇌 임플란트는 향상된 속도에서 움직임을 제어하는 데 도움을 줍니다.
PJN0000226	[CRLF]효과 (x2): 불릿 타임 공격 및 재장전 속도 +50% (+100%)
PJN0000227	[CRLF]효과 (x2): 질주 시 시간 느려짐 효과 25% (50%)
PJN0000228	이 신체 부위에 호환되는 임플란트가 없습니다.
PJN0000229	이 종류의 임플란트는 같은 신체 부위에 두 개 이상 이식할 수 없습니다.
PJN0000230	당신에겐 별로 쓸모가 없지만, 이 매우 유용하고 진귀한 책은 어느 의사든 능력만 된다면 사이버네틱 수술을 집도할 수 있게 해줍니다.
PJN0000231	사이버네틱 수술에 관한 책 덕분에, 이 의사는 당신의 신체에 임플란트를 이식하고 제거하는 방법을 익혔습니다.
PJN0000232	프로젝트 네바다 - 사이버웨어 설치에 문제가 있습니다. 확장 메뉴를 찾을 수 없습니다.
PJN0000233	왜 굳이 돈 들여서 비싼 세미나나 웅변 수업을 듣나요? 음성 변조기는 당신 성대의 떨림을 조정하여 모든 불쾌한 주파수의 소리를 제거합니다. 중요한 건 무슨 말을 하는지가 아니라 어떻게 말하는지니까요!
PJN0000234	[CRLF]효과: 흥정 +2, 화술 +2
PJN0000235	레벨: [%]
PJN0000236	롭코의 손 안정기는 의도치 않은 불수의근의 움직임을 감지하고 제거합니다. 부작용을 피하기 위해 떨림을 완전히 제거하지는 않지만, 손 안정기는 미세한 수작업이 요구되는 근무 환경에서 널리 쓰이고 있습니다.
PJN0000237	[CRLF]효과: 자물쇠 따기 +2, 수리 +2
PJN0000238	움직임을 데이터베이스의 자료와 비교 분석함으로써, 모터 암기기는 무기 사용에 사용되는 특정 움직임을 감지합니다. 머슬 메모리에 관여하는 두뇌 부분의 습득 속도가 향상됩니다.
PJN0000239	[CRLF]효과: 총기 +2, 에너지 무기 +2
PJN0000240	아직 개발 초기지만, 신경 데이터툴은 사용자로 하여금 일반 인터페이스를 통해 기계들과 직접 소통할 수 있게 해줍니다. 아직 로우 레벨 기계들에 접근하는 건 불가능하지만, 데이터툴은 데이터 입출력 속도를 향상시킴으로써 효율을 증가시킵니다.
PJN0000241	무게 흡수기는 인체의 수용 능력을 확장시킴으로써, 사용자로 하여금 더 많은 짐을 짊어지고도 움직일 수 있게 해줍니다.
PJN0000242	첩자나 암살자들을 위해 개발된 면도날 손톱은 사람의 손을 치명적인 무기로 탈바꿈시킵니다. 자해를 피하기 위해, 활성화되기 전까지 날은 손톱 아래에 숨겨집니다. 제일 효율적인 공격 목표는 대동맥입니다.
PJN0000243	[CRLF]효과: 맨손 공격 치명타 확률 및 피해량 +[%]
PJN0000244	걸음 조절기는 극도로 예민한 센서를 사용해 바닥과의 거리를 감지합니다. 발이 바닥에 닿기 직전, 모션 구동기가 움직임을 지연시켜 발소리를 최소한으로 줄입니다. 이 기술은 경갑옷을 착용하고 조심히 움직일 때 극대화됩니다.
PJN0000245	두뇌의 정보 처리 능력을 기반으로, 과학자들은 주요 루트에 추가 장치를 삽입하여 처리 속도를 최적화시킬 수 있었습니다. 인체 실험 당시 피실험체들은 시간 감각이 변했다고 증언했습니다.
PJN0000246	[CRLF]효과: 불릿 타임 시간 느려짐 효과 +20%
PJN0000247	[CRLF]효과: 운반량 [%]
PJN0000248	[CRLF]효과: 흥정 +3, 화술 +3
PJN0000249	[CRLF]효과: 흥정 +4, 화술 +4
PJN0000250	[CRLF]효과: 흥정 +5, 화술 +5
PJN0000251	[CRLF]효과: 은신 [%]
PJN0000252	[CRLF]효과: 과학 [%]
PJN0000253	[CRLF]효과: 자물쇠 따기 +3, 수리 +3
PJN0000254	[CRLF]효과: 자물쇠 따기 +4, 수리 +4
PJN0000255	[CRLF]효과: 자물쇠 따기 +5, 수리 +5
PJN0000256	[CRLF]효과: 총기 +3, 에너지 무기 +3
PJN0000257	[CRLF]효과: 총기 +4, 에너지 무기 +4
PJN0000258	[CRLF]효과: 총기 +5, 에너지 무기 +5
PJN0000259	사이버네틱 무기 연구의 첨단은 바로 당신 손아귀에 있습니다. 말 그대로요. 휴대용 EMP 생성기가 당신 상완과 손바닥에 삽입되었습니다. 잠입 및 테러 임무에 특화된 이 기술은 자체 동력을 가지며 자동 방어 시스템이나 에너지 기반 무기 및 장비들에 매우 효과적입니다.
PJN0000260	[CRLF]효과: EM 폭발, 용량 5x (10x), 시간 당 재충전 1x (2x)
PJN0000261	비슷한 임플란트는 무기체에 전자기 폭발을 일으키지만, 초고주파 방출기는 무장하지 않은 인간이나 동물들에게 효과적입니다. 단거리 전자파는 빠르게 공기의 온도를 상승시켜 즉각적인 발화를 일으킵니다.
PJN0000262	[CRLF]효과: HF 폭발, 용량 5x (10x), 시간 당 재충전 1x (2x)
PJN0000263	칼을 뽑아들기엔 너무 약합니다 (힘 8, 근접 무기 75).
PJN0000264	당신은 이 위엄 쩌는 칼을 들 자격이 없습니다 (근접 무기 75).
PJN0000265	대체 수리 시스템에는 두 가지 주요 변경점이 있습니다.
PJN0000266	[CRLF]1. 수리 도구.
PJN0000267	* 수리를 하기 위해서는 수리에 쓸 아이템과 수리 도구, 두 가지 물품이 필요합니다.
PJN0000268	* 수리 도구는 작업대에서 제작할 수 있습니다.
PJN0000269	* 렌치, 망치, 초강력 접착제와 덕트 테이프로 5번 사용 가능한 수리 도구를 만들 수 있습니다.
PJN0000270	* 무기 수리 도구 제작은 삭제했으며, 현재 소유한 무기 수리 도구는 1:5 비율로 교체되었습니다.
PJN0000271	[CRLF]2. 수리 기술에 기반한 다이내믹 수리 목록.
PJN0000272	* 당신의 수리 기술이 특정 아이템을 수리하는 데 필요한 수치에 못 미칠 경우, 당신은 해당 아이템으로만 특정 아이템을 수리할 수 있습니다.
PJN0000273	* 그 외의 경우 목록은 비슷한 아이템이 추가되며 확장됩니다.
PJN0000274	* 무기의 경우, 수리에 필요한 기술 수치는 해당 무기 사용에 필요한 무기 기술과 동일합니다.
PJN0000275	* 갑옷의 경우, 수리에 필요한 기술 수치는 해당 갑옷의 DT를 기반으로 합니다.
PJN0000276	[CRLF]갑옷 수리에 필요한 수리 기술은 다음과 같습니다:
PJN0000277	* 의복 수리에 필요한 기술: 0 (DT 0)
PJN0000278	* 라이트 수리에 필요한 기술: 25 수리 (DT < 10)
PJN0000279	* 미디엄 수리에 필요한 기술: 50 수리 (DT < 20)
PJN0000280	* 헤비 수리에 필요한 기술: 75 수리 (DT >= 20)
PJN0000281	* 파워 아머 수리에 필요한 기술: 100
PJN0000282	[CRLF]기본 마구잡이 수리 퍽은 수리 기술이 충족될 경우, 추가적인 잡동사니를 무기 수리 목록에 추가하도록 변경되었습니다.
PJN0000283	새 시스템이 마음에 들지 않으면, 제어 패널에서 비활성화할 수 있습니다.
PJN0000284	PNx 테스트실
PJN0000285	메모리에 fov 를 저장하기 위해 사용됨.
PJN0000286	스캐너
PJN0000287	수류탄 단축키
PJN0000288	갈증
PJN0000289	이름을 다시 지어주세요!
PJN0000290	MCM보관함
PJN0000291	MCM 목록
PJN0000292	PN 코어
PJN0000293	레이저 소총 방출
PJN0000294	충전된 레이저 소총
PJN0000295	저장된 아이템
PJN0000296	무소음 레이저
PJN0000297	감소된 아이템 피해
PJN0000298	AP 회복 정지
PJN0000299	2mm EC 탄약
PJN0000300	모드 설정 메뉴
PJN0000301	스피드업
PJN0000302	AR 스캐너
PJN0000303	생체 공학 안구
PJN0000304	아드레날린 증폭기
PJN0000305	스텔스 나노봇
PJN0000306	인조 허파
PJN0000307	나노바이오닉 섬유
PJN0000308	AR 스캐너 임플란트
PJN0000309	생체 공학 안구 임플란트
PJN0000310	공감 합성기 임플란트
PJN0000311	논리 동시 프로세서 임플란트
PJN0000312	시력 향상기 임플란트
PJN0000313	확률 계산기 임플란트
PJN0000314	아드레날린 증폭기 임플란트
PJN0000315	비대증 가속기 임플란트
PJN0000316	단핵세포 배양기 임플란트
PJN0000317	침해 수용 조절 장치 임플란트
PJN0000318	반사신경 증폭기 임플란트
PJN0000319	스텔스 나노봇 임플란트
PJN0000320	피하 이식 갑옷 임플란트
PJN0000321	인조 허파 임플란트
PJN0000322	동적 가속기 임플란트
PJN0000323	나노바이오닉 섬유 임플란트
PJN0000324	동적 가속기 (팔)
PJN0000325	동적 가속기 (양팔)
PJN0000326	동적 가속기 (다리)
PJN0000327	동적 가속기 (양다리)
PJN0000328	나노바이오닉 섬유 (왼팔)
PJN0000329	나노바이오닉 섬유 (오른팔)
PJN0000330	나노바이오닉 섬유 (왼발)
PJN0000331	나노바이오닉 섬유 (오른발)
PJN0000332	동적 가속기
PJN0000333	추가된 임플란트
PJN0000334	사이버네틱 수술, 기본
PJN0000335	사이버네틱 수술
PJN0000336	손 안정기 임플란트
PJN0000337	모터 암기기 임플란트
PJN0000338	신경 데이터툴 임플란트
PJN0000339	무게 흡수기 임플란트
PJN0000340	음성 변조기 임플란트
PJN0000341	음성 변조기
PJN0000342	손 안정기
PJN0000343	모터 암기기
PJN0000344	신경 데이터툴
PJN0000345	무게 흡수기
PJN0000346	손 안정기 (오른팔)
PJN0000347	모터 암기기 (오른팔)
PJN0000348	신경 데이터툴 (왼팔)
PJN0000349	걸음 조절기 (오른발)
PJN0000350	면도날 손톱 임플란트
PJN0000351	걸음 조절기 임플란트
PJN0000352	면도날 손톱
PJN0000353	걸음 조절기
PJN0000354	무게 흡수기 (오른발)
PJN0000355	걸음 조절기 (왼발)
PJN0000356	면도날 손톱 (왼팔)
PJN0000357	모터 암기기 (왼팔)
PJN0000358	무게 흡수기 (왼발)
PJN0000359	손 안정기 (왼팔)
PJN0000360	신경 데이터툴 (오른팔)
PJN0000361	면도날 손톱 (오른팔)
PJN0000362	사이버네틱 임플란트
PJN0000363	음성 변조기 임플란트 [%]
PJN0000364	무게 흡수기 임플란트 [%]
PJN0000365	걸음 조절기 임플란트 [%]
