///Project Nevada	
PJN0000001	Three Shooter
PJN0000121	You can fire an electromagnetic pulse from your hands, causing 100 damage against robots and 50 damage against users of Power Armor or energy weapons. It recharges 1 pulse per hour and stores enough energy for 5 discharges.
PJN0000122	You can fire an electromagnetic pulse from your hands, causing 100 damage against robots and 50 damage against users of Power Armor or energy weapons. It recharges 2 pulses per hour and stores enough energy for 10 discharges.
PJN0000123	You can fire an hyperfrequency pulse from your hands, causing an combustion that does 50 damage and sets enemies on fire, causing additional damage over time. It recharges 1 pulse per hour and stores enough energy for 5 discharges.
PJN0000124	You can fire an hyperfrequency pulse from your hands, causing an combustion that does 50 damage and sets enemies on fire, causing additional damage over time. It recharges 2 pulses per hour and stores enough energy for 10 discharges.
PJN0000125	Adds long-range night vision scope.
PJN0000126	Increases Max Condition.
PJN0000128	Adds a night vision scope.
PJN0000129	Increases Damage ([%])
PJN0000130	(With Alternative Repair)
PJN0000131	Repair lists are extended with scrap items once you have the necessary repair skill for an item.
PJN0000132	What would you like to configure?
PJN0000133	The key you selected is already assigned to '[%]'.
PJN0000134	Move Forward
PJN0000135	Auto-Move
PJN0000136	TogglePOV
PJN0000137	Menu
PJN0000138	Rest
PJN0000139	Hotkey [%]
PJN0000140	Move Backward
PJN0000141	Move Left
PJN0000142	Move Right
PJN0000143	Block/Zoom
PJN0000144	Ready Item
PJN0000145	Bullet Time
PJN0000146	Zoom In
PJN0000147	Zoom Out
PJN0000148	Throw Grenade
PJN0000149	Select Grenade
PJN0000150	Project Nevada could not detect the New Vegas Script Extender (NVSE), which is required for correct operation.
PJN0000151	There seems to be a problem with your Project Nevada installation because the HUD extensions were not detected.
PJN0000152	Enhanced Vision
PJN0000153	The scanner gives you the ability to analyze potential enemies over long distances to help on deciding if and how they should be approached.
PJN0000154	To scan something, aim at it while zooming or using ironsights. If it's a valid target, you can press 1 to start the scanning process.
PJN0000155	To activate enhanced vision, press the M key. There are up to three different modes:
PJN0000156	* Night Vision, for a clear vision during the night and in poorly lit areas.
PJN0000157	* Heat Vision, to identify endothermic enemies.
PJN0000158	* EM Vision, which picks up electro-magnetic fields produced by enemies, electronic components in explosives and energy weapons.
PJN0000159	Which of those are available depends on the device you're using. It might also be necessary to provide an external power supply (Energy Cells).
PJN0000160	Stealth Fields greatly reduce the chance of being detected by an enemy while they are active. The default hotkey to switch them on/off is X.
PJN0000161	Generally, there are two types of cloaking devices:
PJN0000162	* Single-use (Stealth Boy)
PJN0000163	* Reusable (Stealth armor, implants, etc)
PJN0000164	When active, both display their status in the top center region of the HUD.
PJN0000165	The field stability of a single-use device will degrade when it's active. Once it has reached zero, the device is broken and no longer usable.
PJN0000166	For reusable devices, stability will always recover over time once the stealth field is disabled. They may require an additional power source though (Energy Cells).
PJN0000167	Energy Cells are required to power this device.
PJN0000168	To quickly equip and throw explosives or throwable weapons, press and hold the G key. Once released, you will re-equip your previous weapon.
PJN0000169	The items supported by the grenade hotkey are categorized in four groups:
PJN0000170	* Grenades
PJN0000171	* Throwable weapons
PJN0000172	* Mines
PJN0000173	* Remotely detonatable explosives
PJN0000174	If you carry multiple items of the same category, press H to cycle through them. The grenade icon will show your current selection.
PJN0000175	To switch categories, hold down H for one second. As long as the category items are visible, H can be used to cycle through them.
PJN0000176	Press C to activate Bullet Time.
PJN0000177	The Grenade Hotkey Feature has been updated with support for many new explosives!
PJN0000178	To handle the higher number of items, they are categorized in four groups:
PJN0000179	Project Nevada now requires at least NVSE v2 beta 12. Please update.
PJN0000180	Quick-select Grenades
PJN0000181	Quick-select Thrown Weapons
PJN0000182	Quick-select Mines
PJN0000183	Quick-select Explosives
PJN0000184	Navigate the list on the left with &sXBDPadUp; and &sXBDPadDown;. Select a mod to configure with &sXBABtn;.
PJN0000185	Press &sXBDPadRight; to move to the options for the selected mod. Press &sXBDPadLeft; to return to the mod list.
PJN0000186	Navigate the list with &sXBDPadUp; and &sXBDPadDown;. Make your selection with &sXBABtn;.
PJN0000187	Move the indicator with &sXBDPadLeft; or &sXBDPadRight; to decrease/increase the value.
PJN0000188	Pressing &sXBLBumper; will move the indicator to the nearest mark on the left, while &sXBRBumper; will move it to the nearest mark on the right.
PJN0000189	Select a meter to alter with &sXBDPadUp; or &sXBDPadDown;. The selected meter's indicator will be highlighted.
PJN0000190	Move the indicator for the selected meter with &sXBDPadLeft; or &sXBDPadRight; to decrease/increase the value.
PJN0000191	NVSE cannot detect controller button presses at this time. You will need to use a program (e.g. XPadder) to simulate keyboard/mouse buttons with your controller for new hotkeys to work.
PJN0000192	Press &sXBBBtn; to cancel.
PJN0000193	Do you ofen feel like you don't get people at all? With the Empathy Synthesizer these problems are in the past. Residing in your prefrontal cortex, its enhanced emotional capabilities will take you to the next level - personally and professionally.
PJN0000194	Effect: Charisma +1
PJN0000195	Install
PJN0000196	< Back
PJN0000197	Implanted directly in your cerebral cortex, the Logic Co-Processor greatly enhances higher brain functions for faster learning, better concentration and an instant understanding of even the most complicated things.
PJN0000198	Effect: Intelligence +1
PJN0000199	By using advanced algorithms developed for image recognition, the Optics Enhancer pre-processes data in the optical nerve to create a sharper and more detailed vision. Open your eyes and see the world in a new light!
PJN0000200	Effect: Perception +1
PJN0000201	Your life is too important to leave anything to chance! With the Probability Calculator, the decision-making controlled by the frontal lobe is optimized to maximize the likeliness of a desired outcome. For personal safety reasons, we discourage its use for excessive gambling.
PJN0000202	Effect: Luck +1
PJN0000203	Already used by thousands of athletes all over the world, the Hypertrophy Accelerator allows for a quick and safe increase of muscle mass without leaving any traceable substances in your organism. Certified to be undetectable by any recent testing method.
PJN0000204	Effect: Strength +1
PJN0000205	Developed by Med-Tek, the PHOENIX Monocyte Breeder greatly enhances the healing capabilities of the human body. Due to rapid cell regeneration, recovery after even the most severe injuries is reduced to several days instead of weeks or months.
PJN0000206	Effect: Health Regeneration
PJN0000207	Finally there's hope for the millions of people suffering from chronic pain! Unlike any pain medication that can give only temporal release with often severe side-effects, the Nociception Regulator permanently regulates the pain at its root without diminishing its important natural warning function.
PJN0000208	Effect: Endurance +1
PJN0000209	In situations where milliseconds make the difference between victory and defeat - or even between life and death - the Reflex Booster will give you the essential edge. Learning from the physiology of animals whose survival depends on ultra-fast responses, your central nervous node is enhanced to transmit motor signals with minimal delay.
PJN0000210	Effect: Agility +1
PJN0000211	Studies have shown that NEMEAN Sub-Dermal Armor allows a man clothed only in civilian attire to survive a live fire scenario which under most circumstances would have killed a fully armed soldier. However, due to high-end production costs, it's kept for those who can afford the luxury of sure-fire safety, as others must scrape by with Kevlar.
PJN0000212	Effect: DT +4
PJN0000213	The West Tek Augmented Reality Scanner was designed to provide computer-assisted combat intelligence in real-time. When moving behind enemy lines, it assists in evaluating potential threats, analyzing enemy defenses and reviewing inflicted damage.
PJN0000214	Effect: Scanner
PJN0000215	In the effort to improve combat abilities of soldiers by cybernetically enhancing their bodies, Bionic Eyes were one of the first targets for research. As such, they come in multiple variations with different features, ranging from improved night vision to advanced heat or electro-magnetic vision modes.
PJN0000216	Effect: Enhanced Vision Modes
PJN0000217	Most human feelings and abilities are greatly amplified by stressful situations. The RUSH Adrenaline Booster controls and further enhances this effect, pushing you far beyond anything you've ever experienced. Use of a synthetic heart in conjunction is recommended for both performance and safety reasons.
PJN0000218	Effect: AP regeneration bonus for kills
PJN0000219	Based on previous innovations, RobCo presents its latest breakthrough in stealth technology. Nano-Bots reside on the users skin, eliminating the need for any special device to generate the stealth field. Power has to be periodically recharged by external energy sources.
PJN0000220	Effect: Stealth Field Ability
PJN0000221	Synthetic elements are implanted at several key locations in the respiratory system, greatly enhancing the users' oxygen supply. Initially developed for victims of chronic lung diseases, these implants were later utilized in the civilian sector (firefighters, divers) as well as by the military.
PJN0000222	Effects: Sprint AP drain -25%%, Water Breathing
PJN0000223	Usable in any non-vital body region, the Nanobionic Weave combines a number of techniques to make the respective area highly resilient. Genetic information is replicated and decentrally stored to allow identical reconstruction if necessary. This reconstruction is handled by nanobots which will repair any sustained structural damage in minutes as long as the user is still alive.
PJN0000224	Effect: Limb Regeneration
PJN0000225	Consisting of a mechanical and a neurological control component, the Kinetic Accelerator can be used to speed up movement of various body parts. Generally, hydraulic parts near the joints are used for rapid acceleration, while the brain implant takes care of coordinating the movement at increased velocity.
PJN0000226	Effect (x2): Bullet Time attack and reload speed +50%% (+100%%)
PJN0000227	Effect (x2): Sprint slows down time by 25%% (50%%)
PJN0000228	You don't have any implants compatible with this body part.
PJN0000229	You can't install two implants of this kind in the same body region.
PJN0000230	While not really useful in your hands, with this highly educational and particulary rare book every decent doctor should be able to learn the art of cybernetic surgery.
PJN0000231	Thanks to your book on cybernetic surgery, this doctor learned how to install and remove implants from your body.
PJN0000232	There seems to be a problem with your Project Nevada - Cyberware installation because the menu extensions were not deteced.
PJN0000233	Why bother with expensive seminars or books on rhetorical training? The Voice Modulator adjusts the vibrations of your vocal chords to avoid any unpleasant frequencies. And everybody knows: It's not what you say, but how you say it!
PJN0000234	Effect: Barter +2, Speech +2
PJN0000235	Level: [%]
PJN0000236	The RobCo Hand Stabilizer uses several heuristic approaches to detect and isolate nerve signals that would otherwise cause involuntary muscle movement. To avoid negative side effects, jitter is not removed completely. Still, the Hand Stablizer is popular in work environments that require precise craftsmanship.
PJN0000237	Effect: Lockpick +2, Repair +2
PJN0000238	By analyzing movement patterns and comparing them to those stored in its database, the Motor Memorizer can detect certain actions associated with weapon handling. Once triggered, brain regions responsible for muscle memory are stimulated to increase learning speed.
PJN0000239	Effect: Guns +2, Energy Weapons +2
PJN0000240	Though development in this sector still is in its early stages, the Neural Datatool allows its user to directly interact with machines through common interfaces. Even though low-level machine access is not yet possible, the datatool speeds up data in/output, resulting in a moderate efficiency boost.
PJN0000241	The human body can easily support its own weight, even in the presence of additional force caused by jumping or movement in general. With the Weight Absorber this ability is further enhanced, allowing its user to carry more things without becoming immobilized.
PJN0000242	Developed for spies and assassins, Razor Nails turn the human hand into a lethal weapon. To avoid detection or self-inflicted injuries, the blades stay retracted under the fingernails until activated. The most effective attack locations are the major arteries.
PJN0000243	Effect: Unarmed critical chance and damage +[%]
PJN0000244	The Tread Damper uses a set of ultra-sensitive sensors to detect the distance between sole and ground. Just before surface contact, adaptive motion actuators slow down movement to minimize the resulting noise. This system is best utilized when moving carefully, preferably in light clothes.
PJN0000245	Based on simulations of the neural information circuits in the human brain, scientists were able to optimize processing speed by placing additional synthetic shortcuts at key locations. During trials, test subjects reported an altered perception of time.
PJN0000246	Effect: Bullet Time slowndown +20%%
PJN0000247	Effect: Carry Weight [%]
PJN0000248	Effect: Barter +3, Speech +3
PJN0000249	Effect: Barter +4, Speech +4
PJN0000250	Effect: Barter +5, Speech +5
PJN0000251	Effect: Sneak [%]
PJN0000252	Effect: Science [%]
PJN0000253	Effect: Lockpick +3, Repair +3
PJN0000254	Effect: Lockpick +4, Repair +4
PJN0000255	Effect: Lockpick +5, Repair +5
PJN0000256	Effect: Guns +3, Energy Weapons +3
PJN0000257	Effect: Guns +4, Energy Weapons +4
PJN0000258	Effect: Guns +5, Energy Weapons +5
PJN0000259	The pinnacle of cybernetic weapons research, and it's right there in your hands - literally. The portable EMP Generator is embedded in forearm and palms. Designed for infiltration and sabotage missions, it is self-powered and highly effective against automated protection systems or energy-based weaponry and equipment.
PJN0000260	Effect: EM Burst, Capacity 5x (10x), Recharge 1x (2x) per hour
PJN0000261	While similiar implants utilize electromagnetic bursts to deal with (partly) non-organic adversaries, the Hyperfrequency Emitter is most effective against unarmored human or animal targets. Short-range microwaves quickly energize the air, causing an instantaneous combustion.
PJN0000262	Effect: HF Burst, Capacity 5x (10x), Recharge 1x (2x) per hour
PJN0000263	You're too weak to pull the sword out (Strength 8, Melee Weapons 75).
PJN0000264	You're not worthy to wield this magnificent blade (Melee Weapons 75).
PJN0000265	The Alternative Repair System brings two major changes.
PJN0000266	1. Repair Tools.
PJN0000267	* To repair anything two things are required: An item to repair with, and Repair Tools.
PJN0000268	* Repair tools are created at a workbench.
PJN0000269	* One set of Wrench, Hammer, Wonderglue and Duct Tape yields 5 charges.
PJN0000270	* Crafting of Weapon Repair Kits is disabled, existing Weapon Repair Kits are replaced with at a 1:5 ratio.
PJN0000271	2. Dynamic Repair Lists based on your Repair Skill.
PJN0000272	* If your Repair Skill is below the required skill for an item, you can only repair it with itself.
PJN0000273	* Otherwise the list is expanded with items of similar type.
PJN0000274	* For weapons, the required repair skill is equal to the required weapon skill.
PJN0000275	* For armor, the required skill depends on the DT value of the item.
PJN0000276	The skill exact skill requirements for armor are:
PJN0000277	* 0 Repair for Clothing (DT 0)
PJN0000278	* 25 Repair for Light Armor (DT < 10)
PJN0000279	* 50 Repair for Medium Armor (DT < 20)
PJN0000280	* 75 Repair for Heavy Armor (DT >= 20)
PJN0000281	* 100 Repair for Power Armor
PJN0000282	The original Jurgy Rigging perk is modified to add additional scrap items to weapon repair lists once you meet the repair skill requirements.
PJN0000283	If you don't like this new system, you can disable it in the Control Panel.
PJN0000284	PNx Test Room
PJN0000285	Used to save fov in memory.
PJN0000286	Scanner
PJN0000287	Grenade Hotkey
PJN0000288	H2O
PJN0000289	rename me!
PJN0000290	MCMContainer
PJN0000291	MCMList
PJN0000292	PN Core
PJN0000293	Laser Rifle Release
PJN0000294	Charged Laser Rifle
PJN0000295	Saved Items
PJN0000296	No Sounds Laser
PJN0000297	Reduced Item Damage
PJN0000298	Stop AP Regen
PJN0000299	2mm EC Round
PJN0000300	The Mod Configuration Menu
PJN0000301	Speedup
PJN0000302	AR Scanner
PJN0000303	Bionic Eyes
PJN0000304	Adrenaline Booster
PJN0000305	Stealth Nano-Bots
PJN0000306	Synthetic Lungs
PJN0000307	Nanobionic Weave
PJN0000308	AR Scanner Implant
PJN0000309	Bionic Eye Implants
PJN0000310	Empathy Synthesizer Implant
PJN0000311	Logic Co-Processor Implant
PJN0000312	Optics Enhancer Implant
PJN0000313	Probability Calculator Implant
PJN0000314	Adrenaline Booster Implant
PJN0000315	Hypertrophy Accelerator Implant
PJN0000316	Monocyte Breeder Implant
PJN0000317	Nociception Regulator Implant
PJN0000318	Reflex Booster Implant
PJN0000319	Stealth Nano-Bots Implant
PJN0000320	Sub-Dermal Armor Implant
PJN0000321	Synthetic Lung Implants
PJN0000322	Kinetic Accelerator Implant
PJN0000323	Nanobionic Weave Implant
PJN0000324	Kinetic Accelerator (Arm)
PJN0000325	Kinetic Accelerators (Arms)
PJN0000326	Kinetic Accelerator (Leg)
PJN0000327	Kinetic Accelerator (Legs)
PJN0000328	Nanobionic Weave (Left Arm)
PJN0000329	Nanobionic Weave (Right Arm)
PJN0000330	Nanobionic Weave (Left Leg)
PJN0000331	Nanobionic Weave (Right Leg)
PJN0000332	Kinetic Accelerator
PJN0000333	Added Implants
PJN0000334	Cybernetic Surgery, Standard Edition
PJN0000335	Cybernetic surgery
PJN0000336	Hand Stabilizer Implant
PJN0000337	Motor Memorizer Implant
PJN0000338	Neural Datatool Implant
PJN0000339	Weight Absorber Implant
PJN0000340	Voice Modulator Implant
PJN0000341	Voice Modulator
PJN0000342	Hand Stabilizer
PJN0000343	Motor Memorizer
PJN0000344	Neural Datatool
PJN0000345	Weight Absorber
PJN0000346	Hand Stabilizer (Right Arm)
PJN0000347	Motor Memorizer (Right Arm)
PJN0000348	Neural Datatool (Left Arm)
PJN0000349	Tread Damper (Right Leg)
PJN0000350	Razor Nail Implants
PJN0000351	Tread Damper Implant
PJN0000352	Razor Nails
PJN0000353	Tread Damper
PJN0000354	Weight Absorber (Right Leg)
PJN0000355	Tread Damper (Left Leg)
PJN0000356	Razor Nails (Left Arm)
PJN0000357	Motor Memorizer (Left Arm)
PJN0000358	Weight Absorber (Left Leg)
PJN0000359	Hand Stabilizer (Left Arm)
PJN0000360	Neural Datatool (Right Arm)
PJN0000361	Razor Nails (Right Arm)
PJN0000362	Cybernetic Implants
PJN0000363	Voice Modulator Implant [%]
PJN0000364	Weight Absorber Implant [%]
PJN0000365	Tread Damper Implant [%]
PJN0000366	Razor Nail Implants [%]
PJN0000367	Neural Datatool Implant [%]
PJN0000368	Motor Memorizer Implant [%]
PJN0000369	Hand Stabilizer Implant [%]
PJN0000370	Upgrade, Voice Modulator Implant [%]
PJN0000371	Upgrade, Hand Stabilizer Implant [%]
PJN0000372	Upgrade, Motor Memorizer Implant [%]
PJN0000373	Upgrade, Neural Datatool Implant [%]
PJN0000374	Upgrade, Razor Nail Implants [%]
PJN0000375	Upgrade, Tread Damper Implant [%]
PJN0000376	Upgrade, Weight Absorber Implant [%]
PJN0000377	Man Machine
PJN0000378	Tin Head
PJN0000379	I Dream Of Electric Sheep
PJN0000380	Wired Synapses
PJN0000381	Wired Synapses Implant
PJN0000382	EMP Generator
PJN0000383	Hyperfrequency Emitter
PJN0000384	Hyperfrequency Emitter Implant
PJN0000385	EMP Generator Implant
PJN0000386	Iron Handshake
PJN0000387	Cyberlimbic
PJN0000388	EMP Generator (Dual)
PJN0000389	HF Emitter
PJN0000390	HF Emitter (Dual)
PJN0000391	EM Pulse
PJN0000392	HF Pulse
PJN0000393	Custom Reload
PJN0000394	Gauss Projectile
PJN0000395	Rising Sun
PJN0000396	Flagpole
PJN0000397	Rail Cannon Projectile
PJN0000398	Gopher
PJN0000399	Increased Durability
PJN0000400	MultiPlas Rifle Release
PJN0000401	PlasmaDisruptor Release
PJN0000402	TriBeam Laser Rifle Release
PJN0000403	Research Log
PJN0000404	Letter
PJN0000405	Crowbar
PJN0000406	Lit Molotov
PJN0000407	PNxE Weapons
PJN0000408	Tesla Rifle Beam
PJN0000409	Pipebomb
PJN0000410	Railroad Spike
PJN0000411	Shock Baton Damage
PJN0000412	Energy Beam
PJN0000413	Cryo Projectile
PJN0000414	Cryo DT Increase
PJN0000415	Cryo DT Reduction
PJN0000416	Reduce Speed
PJN0000417	Headshot Monitor
PJN0000418	Throwing Range Bonus
PJN0000419	Alternative Repair System
PJN0000420	XP Adjustment
PJN0000421	PN Rebalance
PJN0000422	Skill Point Mod
PJN0000423	Clean
PJN0000424	Rotten
PJN0000425	Moldy
PJN0000426	Putrid
PJN0000427	Repair Toolkit
PJN0000428	Repair Monitor
PJN0000429	Repair Tools
PJN0000430	Detection Controller
PJN0000431	Engage Command
PJN0000432	(The cybernetic implant you found came with a booklet in its case:)
PJN0000433	The NEVADA Group
PJN0000434	While at first research and development of cybernetic implants was conducted exclusively for the military, several big companies were prepared to go the next step towards general commercialization. However, despite the fact that the technology itself was solid and more or less safe, multiple studies concluded that the public was not yet ready to accept these products. And no single company alone could change this fact.
PJN0000435	[... other problems associated with the commercialization of cybernetic implants ...]
PJN0000436	To address those issues, the NEVADA group was founded. Its members believed that by pooling their influence and ressources, they could turn the public opinion in their favor. And even after they had accomplished this goal, the group persisted to deal with various other problems that manifested when the first implants hit the market.
PJN0000437	[... more info about the general history of the NEVADA group ...]
PJN0000438	These cornerstones are:
PJN0000439	Recoverability
PJN0000440	Installation of a NEVADA-certified implant does not require in any permanent alterations to the user's body. This enables the option of a later removal. While at first sounding like a serious limitation, this constraint comes with several advantages, i.e. a lower entry barrier and the opportunity to apply more flexible business models (leasing).
PJN0000441	Interoperability
PJN0000442	Unless explicitely stated, implants constructed according to NEVADA standards can co-exist in the same body without interference.
PJN0000443	Unification
PJN0000444	While all NEVADA members pursue their own goals and interests, non-competitive areas are standardized by the group. As a result, the required training time for medical personnel is highly reduced. Costs are lowered further by allowing to use a common set of tools and devices for all implants.
PJN0000445	Project: Quantum Plasma Modulation Matter Multi-Injection Rifle
PJN0000446	Version: 39
PJN0000447	Notes: Generation of multiple quantum-modulated plasma projectiles a success. Data shows that chamber aperture stability was stressed higher than in the original Q35 derivative rifles, but still within safe thresholds. Energy yield of projectiles is intentionally low, this version is just a proof-of-concept for discharging multiple projectiles at once. Further variants will test higher yields.
PJN0000448	Version: 40
PJN0000449	Notes: Tests with higher-yield projectiles a success. Chamber aperture stability is approaching redline, however. Will need to research methods to increase the apertures' resilience to weapon discharge. Also experimenting with overcharge capacitor for a rapid-fire three-volley burst, will post results in next iteration.
PJN0000450	Version: 41
PJN0000451	Notes: Upon holding a charge-shot at full strength for nine seconds, the plasma chamber ruptured and spewed energized plasma over the tester. Fortunately, tester was wearing tesla power armor as a safety precaution, and was only lightly injured. Going over the numbers, it seems that the aperture stability in previous versions was much more tenuous than I originally surmised; wear rate was unacceptably high, which resulted in performance degradation caused automatically by the weapon's control circuitry to compensate. Primary prototype was salvagable and restored to operation. Secondary prototype to be converted to Q42 test article.
PJN0000452	Version: 42
PJN0000453	Notes: Despite putting an additional two aperture stabilizers on, the chamber still cannot handle a charged shot for any length of time without exploding. Charge shot functionality will have to be abandoned. Q-42 prototype was deemed unsalvagable after destruction in testing. Data gathered may suggest that synchronizing the alignment of the aperture stabilizers may further stabilize a conventional version, but would still not be enough to safely contain a charged shot.
PJN0000454	Version: 43
PJN0000455	Status: Inconclusive
PJN0000456	Notes: Unable to conclude testing of Q-43. The Oil Rig has been destroyed, and President Richardson has been killed. We are being ordered by a "President Eden" on the East Coast to evacuate Navarro and report to Raven Rock. I will be unable to take my testing materials with me, due to the haste in which we must leave Navarro.
PJN0000457	Frieda:
PJN0000458	One of my scouts managed to get quite a nice find out of a Hidden Valley bunker: an advanced model of tri-beam laser rifle. It seems to be a production candidate of some kind that never was produced. Overall it's a lot more durable due to its diffraction grating being encased and sealed, and of much higher grade than the specs we produce from. Of particular interest is that it has some manner of charging functionality; when it discharges after a long enough charge-up, it fires off way more than three beams.
PJN0000459	The best part? I found fabrication specs with it too. I'm sending you the prototype as well as the specs. Could you do a small run and ship them back to me? Don't let Mother in on it, the last thing I want is her bombarding me with questions about it.
PJN0000460	Take care, sis...
PJN0000461	Gloria
PJN0000462	(Attachment: Fabrication Specs)
PJN0000463	This schematic allows you to make Cryo Rounds.
PJN0000464	(Optional) Find training manuals to unlock cybernetic surgery for more doctors.
PJN0000465	Find a doctor who is able to install cybernetic implants.
PJN0000466	<<< Exit
PJN0000467	I'd like you to perform cybernetic surgery.
PJN0000468	Features
