MOD0000001	Welcome..
JSW0000038	Bent Tin Can = Tin Can!
JSW0000039	!AAO Followers Lab Coat, Reinforced
JSW0000040	12 Gauge, 4/0 Buck Mag. (Hand Load)
JSW0000041	20 Gauge, 3/0 Buck Mag. (Hand Load)
JSW0000042	Reinforced Merc Charmer Outfit
JSW0000043	Reinforced Merc Troublemaker Outfit
JSW0000044	Reinforced Merc Adventurer Outfit
JSW0000045	Reinforced Merc Veteran Outfit
JSW0000046	Reinforced Merc Grunt Outfit
JSW0000047	Reinforced Merc Cruiser Outfit
JSW0000048	Junk Rounds COND Penalty
JSW0000049	Damage Reduction
JSW0000050	New Vegas Buried Vendor Chests
JSW0000051	.45 Auto (Junk)
JSW0000052	.45 Auto Round (Junk)
JSW0000053	Quest to Set-Up JSawyer
JSW0000054	Followers Lab Coat, Reinforced
JSW0000055	Arm. Vault 21 Suit
JSW0000056	Tribal Armor
JSW0000057	Lwt. Leather Armor
JSW0000058	!AAD Stimpak, Expired
JSW0000059	Wasteland Tech Salvager
JSW0000060	Deranged Bright Follower
JSW0000061	+[%]% Attack Speed
JSW0000063	DamWar power armor
JSW0000064	DamWar Combat Ranger
JSW0000065	DamWar Combat Ranger Helmet
JSW0000066	Merc Adv. Outfit
JSW0000067	Merc Chrm. Outfit
JSW0000068	Merc Cru. Outfit
JSW0000069	Merc Trbl. Outfit
JSW0000070	Merc Vet. Outfit
JSW0000071	Raider Blast. Armor
JSW0000072	Raider Bad. Armor
JSW0000073	Raider Pain. Armor
JSW0000074	Sharp-Dressed Armor
JSW0000075	Hand-Me-Down Armor
JSW0000076	Psycho-Tic Helmet
JSW0000077	Arclight Helmet
JSW0000078	Blastmaster Helmet
JSW0000079	Wastehound Helmet
JSW0000080	Stimpak, Homemade
JSW0000081	Stimpak, Expired
TTW0000001	Train Engine To New Vegas
TTW0000002	TTW New Game Start
TTW0000003	Where would you like to start?
TTW0000004	Capital Wasteland (recommended)
TTW0000005	Travel to DC and investigate the town of Megaton for information about Dad.
TTW0000006	Choose Courier's Stash Packs
TTW0000007	Which Courier's Stash Packs would you like to enable?
TTW0000008	Enable [%] (Currently Disabled)
TTW0000009	Disable [%] (Currently Enabled)
TTW0000010	Weak Radio Signal Advertitron
TTW0000011	Judiciary Square Metro
TTW0000012	//Pick Mutant Fungus
TTW0000013	12ga S
TTW0000014	Cloud Kiss Weak
TTW0000015	Cloud Kiss Lethal
TTW0000016	Cloud Kiss Strong
TTW0000017	Scout Handbook
TTW0000018	You wrote the book on how to survive in the Wasteland, and have shared your secrets with humanity. You've gained +6% bonus to Poison Resistance and Radiation Resistance, +15 points to maximum Health, and 9 points to the Survival skill.
TTW0000019	You've been tested in some of the most dangerous parts of the wastes, and you've not only survived - you've learned a few things. You've gained +4% bonus to Poison Resistance and Radiation Resistance, +10 points to maximum Health, and 6 points to the Survival skill.
TTW0000020	You've been tested in some of the most dangerous parts of the wastes, and you're still alive to tell the tale. You've gained +2% bonus to Poison Resistance and Radiation Resistance, +5 points to maximum Health, and 3 points to the Survival skill.
TTW0000021	You've been tested in some of the most dangerous parts of the wastes, and you're still alive to tell the tale. You've gained +2% bonus to Poison Resistance and Radiation Resistance, 2 points to both the Medicine and Science skills, and 3 points to the Survival skill.
TTW0000022	You've been tested in some of the most dangerous parts of the wastes, and you're still alive to tell the tale. You've gained +2% bonus to Poison Resistance, Radiation Resistance and Damage Resistance, and 3 points to the Survival skill.
TTW0000023	You've been tested in some of the most dangerous parts of the wastes, and you're still alive to tell the tale. You've gained +2% bonus to Poison Resistance & Radiation Resistance, 2 points to both the Speech and Sneak skills, and 3 points to the Survival skill.
TTW0000024	You've been tested in some of the most dangerous parts of the wastes, and you're still alive to tell the tale. You've gained +2% bonus to Poison Resistance and Radiation Resistance, +1% bonus to Critical Chance, and 3 points to the Survival skill.
TTW0000025	You've been tested in some of the most dangerous parts of the wastes, and you've not only survived - you've learned a few things. You've gained +4% bonus to Poison Resistance and Radiation Resistance, 4 points to both the Medicine and Science skills, and 6 points to the Survival skill.
TTW0000026	You've been tested in some of the most dangerous parts of the wastes, and you've not only survived - you've learned a few things. You've gained +4% bonus to Poison Resistance, Radiation Resistance and Damage Resistance, and 6 points to the Survival skill.
TTW0000027	You've been tested in some of the most dangerous parts of the wastes, and you've not only survived - you've learned a few things. You've gained +4% bonus to Poison Resistance & Radiation Resistance, 4 points to both the Speech and Sneak skills, and 6 points to the Survival skill.
TTW0000028	You've been tested in some of the most dangerous parts of the wastes, and you've not only survived - you've learned a few things. You've gained +4% bonus to Poison Resistance and Radiation Resistance, +2% bonus to Critical Chance, and 6 points to the Survival skill.
TTW0000029	You wrote the book on how to survive in the Wasteland, and have shared your secrets with humanity. You've gained +6% bonus to Poison Resistance and Radiation Resistance, 6 points to both the Medicine and Science skills, and 9 points to the Survival skill.
TTW0000030	You wrote the book on how to survive in the Wasteland, and have shared your secrets with humanity. You've gained +6% bonus to Poison Resistance, Radiation Resistance and Damage Resistance, and 9 points to the Survival skill.
TTW0000031	You wrote the book on how to survive in the Wasteland, and have shared your secrets with humanity. You've gained +6% bonus to Poison Resistance & Radiation Resistance, 6 points to both the Speech and Sneak skills, and 9 points to the Survival skill.
TTW0000032	You wrote the book on how to survive in the Wasteland, and have shared your secrets with humanity. You've gained +6% bonus to Poison Resistance & Radiation Resistance, +3% bonus to Critical Chance, and 9 points to the Survival skill.
TTW0000033	Guns are the most common ranged weapons. They are numerous and varied and ammunition is relatively easy to acquire.
TTW0000034	Use Rad-X.
TTW0000035	Use Rad Away.
TTW0000036	Kill Super Mutants.
TTW0000037	Kill Robot enemies.
TTW0000038	Kill Abominations.[CRLF][CRLF]* Aliens[CRLF]* Centaurs[CRLF]* Deathclaws[CRLF]* Ghost people [CRLF]* Mr. House[CRLF]* Nightstalkers[CRLF]* Spore carriers[CRLF]* Spore plants[CRLF]* Think tank [CRLF]* Tunnelers
TTW0000039	Kill Mutated Animals.[CRLF][CRLF]* Brahmin[CRLF]* Mirelurk[CRLF]* Mole Rat[CRLF]* Bighorner[CRLF]* Gecko[CRLF]* Giant Rat[CRLF]* Yao Guai
TTW0000040	Discover locations.
TTW0000041	Find Vault 34.
TTW0000042	Due to disagreements over how technology should be controlled in the west, the Brotherhood of Steel waged a long and bloody war against the NCR. Despite superior equipment and training, the Brotherhood eventually went into retreat.
TTW0000043	Do damage with Melee weapons.
TTW0000044	Discover more Locations.
TTW0000045	Kill 20 Yao Guai.
TTW0000046	Cripple Right Arms with Shotguns.
TTW0000047	The Guns skill determines your damage and scope drift with any bullet-based weapon, in conjunction with meeting the Strength requirement for a weapon.
TTW0000048	You've made permanent enhancements to your body! The Cyborg perk instantly adds +10% to your Poison and Radiation Resistances, +5 to DT, and 5 points to the Energy Weapons skill.
TTW0000049	You're obsessed with really big weapons. With each rank of this perk, you gain a 10% boost to accuracy and damage when using heavy weapons.
TTW0000050	Union Pacific Station Automated Ticket Services.
TTW0000051	Union Station Automated Ticket Services.
TTW0000052	Cripple Limb
TTW0000053	== LOWER SENATE PARK EMERGENCY RESPONSE DETAIL 041B ==[CRLF][CRLF]PLEASE LOGOFF AT END OF SESSION[CRLF][CRLF]Welcome, [CRLF][CRLF]SGM. TERESA MORGAN[CRLF]CHIEF MEDICAL OFFICER
TTW0000054	Union Station Maintenance Terminal
TTW0000055	Increases Weapon Condition ([%]).
TTW0000056	Adds short-range night scope.
TTW0000058	Increases ammo capacity ([%]).
TTW0000059	Further reduces spread.
TTW0000060	Improves iron sights (reduces spread).
TTW0000061	Drammatically reduces spread.
TTW0000062	Find Vault 106.
TTW0000063	Find Vault 108.
TTW0000064	Find Vault 87.
TTW0000065	Find Vault 92.
TTW0000066	Find Vault 101.
TTW0000067	Found all alien captive recorded logs.
TTW0000068	Consume Blood Packs.
TTW0000069	Find all 100 steel ingots.
TTW0000070	Got the Pip-Boy 3000.
TTW0000071	Took the G.O.A.T.
TTW0000072	Kill sleeping enemies.
TTW0000073	Find all 20 collectible Vault-Tec Bobbleheads.
TTW0000074	Kill deathclaws.
TTW0000075	Kill mirelurks.
TTW0000076	Tip brahmin.
TTW0000077	Kill radroaches with two-handed melee weapons.
TTW0000078	Discovered all locations within Point Lookout.
TTW0000079	Kill super mutant behemoths.
TTW0000080	Collect the 10 intel suitcases.
TTW0000081	Discover locations in DC.
TTW0000082	Discover more locations in DC.
TTW0000083	Killing Glowing Ones.
TTW0000084	Kill feral ghouls.
TTW0000085	Kill feral ghoul Roamers.
TTW0000086	Kill feral ghoul Reavers.
TTW0000087	Consume alien food.
TTW0000088	Kill Swampfolks.
TTW0000089	Inflict damage with lever-action rifles
TTW0000090	Kill Trogs.
TTW0000091	Explode mole rat heads with the Mole Rat Repellent Stick.
TTW0000092	Hit enemies with the Dart Gun.
TTW0000093	Cause damage with unique Capital Wasteland weapons.
TTW0000094	Consume Wild Punga Fruit.
TTW0000095	Kill robots with the Pulse Grenade or Pulse Mine.
TTW0000096	Kill aliens.
TTW0000097	Inflict damage with alien weapons.
TTW0000098	Kill with the Auto Axe
TTW0000099	Destroy all artillery guns.
TTW0000100	Complete Paving The Way.
TTW0000101	Save all captives in VR Simulation.
TTW0000102	Consume Aqua Pura, toast to the purification of the human race.
TTW0000103	Consume Aqua Pura, toast to Dad and your sacrifice.
TTW0000104	Kill Enclave soldiers.
TTW0000105	Destroy the Krivbeknih at the obelisk in the Dunwich building.
TTW0000106	Kill more aliens.
TTW0000107	Kill any named Brotherhood of Steel officer (Knight, Paladin, Scribe, Elder) with energy rifles or pistols.
TTW0000108	Kill Arkansas with a frag mine
TTW0000109	Kill Mad Johnny Wes at Hubris Comics Building with Ant's Sting or Protectron's Gaze.
TTW0000110	Kill Sam Warrick with a Sniper Rifle.
TTW0000111	Kill Chinese Remnant Soldiers with Chinese weapons.
TTW0000112	Kill Colonel Autumn with any One-Handed Energy weapon.
TTW0000113	Kill the Talon Company Commander with a Combat or Riot Shotgun.
TTW0000114	Kill all Gary clones with a lead pipe.
TTW0000115	Kill The Roach King with a fire based weapon.
TTW0000116	Cripple legs with The Kneecapper.
TTW0000117	Shoot down vertibirds with the Tesla Cannon.
TTW0000118	Collect weapon schematics.
TTW0000119	Deal 10000 damage with crafted weapons.
TTW0000120	Kill 10 enemies with one shot from the Experimental MIRV.
TTW0000121	Kill either the AntAgonizer or the Mechanist while wearing their rival's costume.
TTW0000122	Send slaves to Paradise Falls.
TTW0000123	Kill lots of enemies in the Anchorage VR sim.
TTW0000124	It's like living in a horror movie. You do extra damage to feral ghouls.
TTW0000125	Aqua Pura tastes like life.
TTW0000126	Aqua Pura tastes like death.
TTW0000127	All that experience killing aliens has shown you the best way to do it. Ignore 3 DT when fighting aliens.
TTW0000128	Mod1 Threaded Barrel
TTW0000129	Mod2 Ext Mag
TTW0000130	Mod3 Dark Metal Frame
TTW0000131	This is the solution to The Point Lookout Problem. --TJ
TTW0000132	Final version of the PL Solution --TJ
TTW0000133	Advertitron Mark I, always at your service, dear tourist. I can provide all the information you need for a succesful trip to Las Vegas, Nevada.
TTW0000134	...processing...scanning area...it seems that there are limited travel opportunities at the moment from this particular location...scanning...
TTW0000135	Yes I found one. I mark the location on your Pipboy map and for only ... processing ...
TTW0000136	800 caps  I can offer a reduced train ticket and 5 chips for the world famous Tops Casino in Las Vegas.
TTW0000137	No problem! Come back later when you can afford the trip. I'll be around.
TTW0000138	I would never do such thing! My programming doesn't allow it. Thanks for the business.
TTW0000139	I can...
TTW0000140	Sure! But there are only regular priced tickets available now. Here you go...
TTW0000141	[Dogmeat's pup growls at Sergeant RL-3's presence.]
TTW0000142	[Dogmeat's pup growls at ED-E's presence.]
TTW0000143	[Dogmeat's pup growls at Rex's presence.]
TTW0000144	[Dogmeat growls at Sergeant RL-3's presence.]
TTW0000145	[Dogmeat growls at ED-E's presence.]
TTW0000146	[Dogmeat growls at Rex's presence.]
TTW0000147	[Rex growls at Dogmeat's presence.]
TTW0000148	[Rex growls at Sergeant RL-3's presence.]
TTW0000149	<intro>
TTW0000150	<Las Vegas Nevada>
TTW0000151	<Strip>
TTW0000152	<Hoover Dam>
TTW0000153	<Mount Charleston>
TTW0000154	<Ranches>
TTW0000155	<Strip Broadway>
TTW0000156	<Night Time>
TTW0000157	<A-Bomb>
TTW0000158	<End>
TTW0000159	How can I serve you?
TTW0000160	Taskmaster
TTW0000161	Spinebreaker
TTW0000162	Monstrosity
TTW0000163	Behemoth
TTW0000164	Initiate
TTW0000166	Journeyman Scribe
TTW0000168	Senior Scribe
TTW0000169	Squire
TTW0000170	Knight
TTW0000171	Knight Sergeant
TTW0000172	Knight Captain
TTW0000173	Star Paladin
TTW0000174	Elder
TTW0000175	"Sometimes, the best way to win is to outlast your opponent."
TTW0000176	The inscription on the base reads "Sometimes, the best way to win is to outlast your opponent."
TTW0000177	Your Survival skill has been permanently increased by 10 points.
TTW0000178	You have gained the Auto Axepert perk.
TTW0000179	This water tastes funny.
TTW0000180	This water makes you feel a little queasy.
TTW0000181	You feel somewhat better.
TTW0000182	You have gained the Ghoul Grinder perk (Rank [%])
TTW0000184	You have gained the Camel of the Wastes perk.
TTW0000185	This train leads to New Vegas, your ticket is one way only, you will not be able to return without purchasing another ticket.
TTW0000186	Are you sure you wish to travel to New Vegas?
TTW0000187	Travel to New Vegas.
TTW0000188	This train leads to New Vegas but you must first purchase a ticket. Tickets are one way only.
TTW0000189	This train leads to Washington D.C., your ticket is one way only, you will not be able to return without purchasing another ticket.
TTW0000190	Are you sure you wish to travel to Washington D.C.?
TTW0000191	Travel to Washington D.C..
TTW0000192	This train leads to Washington D.C. but you must first purchase a ticket. Tickets are one way only.
TTW0000193	Tale of Two Wastelands allows you to choose which wasteland you wish to start in. It is recommended that you start in Vault 101, starting in Goodsprings should work fine but is considered unsupported. Tale of Two Wastelands was built with the assumption that the vast majority of players would start in Vault 101,
TTW0000194	Which wasteland would you like to start in?
TTW0000195	Your grandmother invites you to tea, but you뭨e surprised when she gives you a pistol, and orders you to kill another vault resident. What do you do?
TTW0000196	Offer your most prized possession for the resident뭩 life.
TTW0000197	Ask granny for some cyanide to cook into the resident's next meal instead.
TTW0000198	Throw your tea in granny뭩 face.
TTW0000199	Edit Traits
TTW0000200	Power must be restored before security barriers can be lifted.
TTW0000201	1/4 breakers online.
TTW0000202	2/4 breakers online.
TTW0000203	3/4 breakers online.
TTW0000204	4/4 breakers online.
TTW0000205	Power has now been restored! Security sytems disengaging.
TTW0000206	The reactor isn't running
TTW0000207	Prime Reactor
TTW0000208	[Repair 50] Jury rig the starter
TTW0000209	Success, the reactor is ready to start.
TTW0000210	Without primer, the reactor can't be started.
TTW0000211	There is no power.
TTW0000212	Fire Ant Fricass?
TTW0000213	Nukalurk Sushi
TTW0000214	Regulator Combat Armor
TTW0000215	Regulator Combat Armor, Reinforced
TTW0000216	Regulator Hat
TTW0000217	Combat Shotgun Red Dot Sights
TTW0000218	Combat Shotgun Refurbished Parts
TTW0000219	Combat Shotgun Synthetic Stock
TTW0000220	.22 Revolver Light Action
TTW0000221	Chinese Assault Rifle Night Scope
TTW0000222	Chinese Assault Rifle Short Barrel
TTW0000223	Chinese Assault Rifle Forged Receiver
TTW0000224	Assault Rifle Drums
TTW0000225	Assault Rifle Heavy Barrel
TTW0000226	.22 Revolver Large Cylinder
TTW0000227	Infiltrator Laser Sight
TTW0000228	Infiltrator Tactical Stock
TTW0000229	Lever-Action Rifle Sights
TTW0000230	Lever-Action Rifle Improved Parts
TTW0000231	Double-Barreled Shotgun Turkey Chokes
TTW0000232	Double-Barreled Shotgun Maplewood Stock
TTW0000233	Brain Fungus
TTW0000234	Ammo Press
TTW0000235	Casings
TTW0000236	Powder
TTW0000237	Primers
TTW0000238	Case, 45-70 Gov't
TTW0000239	Hull, 12ga
TTW0000240	Hull, 20ga
TTW0000241	Brass
TTW0000242	Plastic
TTW0000243	Primer
TTW0000244	Brain Food
TTW0000245	Wasteland RadAway
TTW0000246	Mirelurk Special
TTW0000247	Strange Meat OR Human Flesh
TTW0000248	Wasteland Rad-X
TTW0000249	Startencle
TTW0000250	Brain Freeze
TTW0000251	Capitol Hot Dog
TTW0000252	Sangria
TTW0000253	Mutfruit Marinade
TTW0000254	Out Of This World Pie
TTW0000255	Mississippi Quantum Pie
TTW0000256	20 Ga.
TTW0000257	Find Vault 106
TTW0000258	Find Vault 108
TTW0000259	Find Vault 87
TTW0000260	Find Vault 92
TTW0000261	Find Vault 101
TTW0000262	Alien Archivist
TTW0000263	Vampire Lord
TTW0000264	Mill Worker
TTW0000265	Vault 101 Citizenship Award
TTW0000266	The G.O.A.T. Whisperer
TTW0000267	Bring Me a Dream
TTW0000268	Bauble Head
TTW0000269	Death to the Deathclaw!
TTW0000270	Lurk Liquidator
TTW0000271	Brahmin Tipper
TTW0000272	Roach Stomper
TTW0000273	Bog Walker
TTW0000274	The Bigger They Are...
TTW0000275	Tourist
TTW0000276	Glowing, Glowing, Gone!
TTW0000277	Ghoul Grinder
TTW0000278	Ghoul Grinder - Roamers
TTW0000279	Ghoul Grinder - Reavers
TTW0000280	Space Gourmet
TTW0000281	Maryland Folklore
TTW0000282	Oh Henry!
TTW0000283	Troglodyte Dundee
TTW0000284	Whack-A-Molerat
TTW0000285	Wasteland Darts Federalist
TTW0000286	Oddities and Artifacts
TTW0000287	Natural Pungaist
TTW0000288	Poppin' Pulse
TTW0000289	Enemy Unknown
TTW0000290	Alienated
TTW0000291	Grind Control
TTW0000292	Sabotage
TTW0000293	To Be Continued...
TTW0000294	Private Ryan
TTW0000295	Taste of Death
TTW0000296	Taste of Life
TTW0000297	Enemy of States
TTW0000298	A Little Touch of Evil
TTW0000299	Xenophobe
TTW0000300	Assassin Creed ***
TTW0000301	That's Mine! **
TTW0000302	Johnny Be Good **
TTW0000303	Enemy At The Gates **
TTW0000304	Chinese Zodiac *
TTW0000305	Autumn Leaves **
TTW0000306	Shotgun Diplomacy **
TTW0000307	Too Good to be Two *
TTW0000308	Roasted Roach **
TTW0000309	Capped *
TTW0000310	Don't Shoot the Dog
TTW0000311	Another Man's Treasure
TTW0000312	Junkyard Dog
TTW0000313	I Didn't Want to Do This ***
TTW0000314	Legacy Character *
TTW0000315	Violence in Videogames
TTW0000316	Chinese Pistol Threaded Barrel
TTW0000317	Chinese Pistol Ext Mag
TTW0000318	Chinese Pistol HD Frame
TTW0000319	Advertitron Mk I
TTW0000320	Reduce DT
TTW0000321	The Point Lookout Solution
TTW0000322	This Hotkey Was Unused
TTW0000323	Advertitron Radio
TTW0000324	Advanced Power Armor Mk II
TTW0000325	Advanced Power Helmet Mk II
TTW0000326	.22 Revolver
TTW0000327	Outcast T-45d Power Armor
TTW0000328	Outcast T-45d Power Helmet
TTW0000329	Survival Bobblehead
TTW0000330	Army T-45d Power Armor
TTW0000331	Camel of the Wastes
TTW0000332	Wasteland Samurai
TTW0000333	Master of the Wastes
TTW0000334	Competition Revolver
TTW0000335	Mr. Burke's 10mm Pistol
TTW0000336	Dart, Tremble
TTW0000337	Dart, Silver Sting
TTW0000338	Dart, Bleak Venom
TTW0000339	Dart, Mother Darkness
TTW0000340	House: Reloading bench
TTW0000341	House: Hot Plate
TTW0000342	Train Ticket to D.C.
TTW0000343	Train Ticket to New Vegas
TTW0000344	Union Station Ticket Info.
TTW0000345	Union Pacific Station Ticket Info.
TTW0000346	Union Pacific Station Ticket Terminal
TTW0000347	Union Station Ticket Terminal
TTW0000348	Passenger Car
TTW0000349	Dining Car
TTW0000350	Train, To the D.C. Wasteland
TTW0000351	Broken Train Engine
TTW0000352	Union A&P Station
TTW0000353	Union Station
TTW0000354	Union Station Tracks
TTW0000355	Wasteland Select Menu
TTW0000356	Mirelurk Thermador
TTW0000357	Steamed Mirelurk
TTW0000358	Water Canteen
TTW0000359	Flak 멞 Shrapnel's Trunk
TTW0000360	Linden's T-45d Power Armor
TTW0000362	Bottlecap Mine, Highly Efficient
TTW0000363	Talon Combat Armor, Reinforced
TTW0000364	Talon Combat Armor, Reinforced Mark 2
TTW0000365	Mutant Fungus
TTW0000366	Conversion, Aqua Pura to Purified Water
TTW0000367	Bobblehead - Survival
TTW0000368	Bobblehead - Guns
TTW0000369	Glowing Mushroom
TTW0000370	Yao Guai Medallions
TTW0000371	Dart, Cloud Kiss Lethal
TTW0000372	Dart, Cloud Kiss Strong
TTW0000373	Dart, Cloud Kiss Weak
TTW0000374	Dart, Dark Datura
TTW0000375	Dart, Meltdown
TTW0000376	Dart, Cloud Kiss (Lethal)
TTW0000377	Dart, Cloud Kiss (Strong)
TTW0000378	Dart, Cloud Kiss (Weak)
TTW0000379	Spicy Quantum Sauce
TTW0000380	Spicy Nukalurk Roll
TTW0000381	Brotherhood T-45d Power Helmet
TTW0000382	Advanced Power Armor
TTW0000383	Advanced Power Helmet
TTW0000384	Charon's Lever-Action Shotgun Scene
TTW0000385	Charon's Lever-Action Shotgun
TTW0000386	Mushroom Smoothie
TTW0000387	Power Breaker
TTW0000388	Blast Door
TTW0000389	Reactor Primer
TTW0000390	Goddamn Mutants
TTW0000391	Union Station Reactor Password
TTW0000392	Personal Computer
TTW0000393	Maintenance Overseer Terminal
TTW0000394	Maintenance Requests
TTW0000395	Maintenance Messages
TTW0000396	Reactor Terminal
TTW0000397	Walker of the Wastes
TTW0000398	Columbus Circle
TTW0000399	Jalape? Pepper
TTW0000400	Restaurant
TTW0000401	Colombus Circle
TTW0000402	Step 1: Load Casings, Hulls, Primers, and/or Powder into the Materials Bin.
TTW0000403	Step 2: Use terminal to melt down Items to components
TTW0000404	Step 3: Use terminal to craft new Casings, Hulls, Primers, and/or Powder
TTW0000405	Step 4: Retrieve newly crafted items from Materials Bin.
TTW0000406	Tickets are purchased at a price of 3000 caps [ERROR - Currancy invalid]
TTW0000407	Please just deposite your caps [ERROR - Currancy invalid] and press the purchase button on the previous menu.
TTW0000408	I told Joey this was a bad idea. I told him it stunk like rotten meat, yeah, but he didn't like that. No one tells Joey what to do. Joey does what he wants, and we follow.
